petal.length	petal.width	variety
8.4	1.4	Versicolor
8.6	4.8	Versicolor
8.4	2.8	Virginica
7.2	4.3	Virginica
3.1	2.6	Setosa
10.1	5.1	Virginica
5.0	1.2	Setosa
5.3	2.5	Versicolor
10.2	3.2	Virginica
8.2	3.3	Versicolor
10.3	2.1	Virginica
3.5	4.7	Setosa
4.1	1.8	Versicolor
6.8	4.8	Virginica
7.5	3.8	Virginica
6.6	5.4	Virginica
8.0	4.3	Versicolor
5.5	1.3	Versicolor
5.8	2.9	Versicolor
8.0	5.8	Versicolor
7.4	4.1	Virginica
5.1	1.6	Versicolor
1.9	0.6	Setosa
5.4	5.9	Versicolor
7.0	5.5	Virginica
4.9	3.8	Setosa
3.4	1.2	Setosa
2.4	4.8	Setosa
3.3	0.8	Setosa
4.9	3.1	Versicolor
1.3	1.2	Setosa
5.8	4.2	Setosa
10.1	4.2	Virginica
4.6	3.2	Setosa
2.7	0.3	Setosa
2.4	2.2	Setosa
8.8	5.2	Virginica
6.4	1.9	Versicolor
6.0	3.7	Versicolor
4.0	1.8	Setosa
6.6	3.3	Versicolor
2.3	2.3	Setosa
4.0	4.5	Versicolor
6.3	2.8	Virginica
5.7	4.6	Virginica
8.1	5.3	Versicolor
3.5	3.9	Setosa
8.2	7.0	Virginica
4.3	3.1	Versicolor
2.3	2.9	Setosa
5.4	3.7	Versicolor
4.5	2.0	Versicolor
1.7	4.9	Setosa
6.6	5.5	Virginica
3.5	3.6	Setosa
10.6	4.9	Virginica
4.9	2.4	Setosa
3.0	3.2	Setosa
9.3	1.8	Versicolor
6.5	4.0	Versicolor
7.7	4.1	Versicolor
4.2	4.2	Setosa
9.7	5.0	Virginica
7.5	4.6	Versicolor
5.1	3.2	Setosa
6.3	6.3	Virginica
8.0	4.8	Virginica
6.0	3.0	Versicolor
6.0	1.7	Setosa
4.7	2.2	Setosa
5.5	4.2	Setosa
3.0	2.7	Setosa
9.6	3.4	Virginica
5.6	2.4	Virginica
4.9	1.7	Setosa
4.7	3.5	Versicolor
8.4	2.8	Virginica
5.8	2.3	Versicolor
1.5	1.4	Setosa
8.5	4.2	Virginica
7.9	2.3	Virginica
6.0	4.8	Versicolor
7.1	3.4	Virginica
6.9	2.3	Virginica
7.2	2.4	Versicolor
6.6	1.5	Versicolor
10.1	5.8	Virginica
10.1	2.8	Virginica
8.6	2.5	Virginica
9.4	2.0	Virginica
7.9	3.5	Virginica
8.0	5.8	Virginica
8.6	5.5	Versicolor
3.4	2.7	Setosa
3.9	3.8	Setosa
6.8	4.8	Versicolor
6.4	1.2	Setosa
5.2	4.4	Versicolor
3.6	0.2	Setosa
5.5	5.1	Virginica
6.3	3.5	Versicolor
7.2	3.0	Versicolor
7.4	6.0	Versicolor
6.7	3.3	Virginica
2.2	2.7	Setosa
