petal.width	variety
4.8	Setosa
2.0	Versicolor
2.2	Setosa
5.1	Virginica
3.3	Virginica
2.0	Versicolor
3.7	Setosa
4.0	Virginica
4.2	Setosa
1.2	Setosa
4.8	Virginica
2.7	Setosa
2.2	Setosa
3.0	Versicolor
2.7	Versicolor
4.4	Virginica
2.8	Virginica
4.7	Setosa
4.9	Virginica
0.6	Setosa
0.6	Setosa
4.6	Virginica
0.8	Setosa
5.5	Versicolor
4.1	Versicolor
4.7	Versicolor
5.8	Versicolor
4.0	Versicolor
4.7	Setosa
4.1	Setosa
4.3	Virginica
0.2	Setosa
2.1	Virginica
5.0	Versicolor
4.8	Virginica
4.2	Versicolor
4.9	Virginica
2.9	Versicolor
4.3	Versicolor
4.6	Virginica
4.3	Virginica
1.9	Setosa
1.7	Versicolor
3.0	Virginica
3.0	Virginica
3.0	Virginica
0.2	Setosa
2.0	Versicolor
4.3	Versicolor
5.9	Virginica
2.7	Virginica
3.9	Virginica
3.3	Versicolor
4.3	Virginica
4.1	Versicolor
4.8	Virginica
6.6	Virginica
0.7	Setosa
1.8	Setosa
3.0	Virginica
2.0	Versicolor
1.5	Versicolor
3.0	Versicolor
3.2	Setosa
4.9	Setosa
3.8	Virginica
0.7	Setosa
2.8	Virginica
3.3	Versicolor
1.9	Versicolor
2.5	Virginica
1.7	Setosa
3.1	Setosa
3.9	Versicolor
1.2	Versicolor
2.3	Versicolor
3.2	Virginica
5.8	Virginica
5.2	Virginica
0.1	Setosa
4.7	Setosa
0.7	Setosa
1.2	Setosa
4.3	Virginica
3.7	Setosa
4.4	Versicolor
4.3	Versicolor
2.9	Virginica
4.9	Virginica
3.2	Setosa
1.4	Setosa
3.0	Virginica
4.7	Virginica
1.2	Setosa
2.3	Versicolor
3.2	Setosa
4.4	Versicolor
6.0	Virginica
3.4	Versicolor
1.2	Setosa
1.7	Setosa
2.0	Versicolor
4.9	Setosa
2.3	Versicolor
5.4	Virginica
