petal.width	variety
5.5	Versicolor
0.7	Setosa
2.2	Setosa
3.7	Versicolor
2.5	Versicolor
3.6	Virginica
2.9	Versicolor
4.1	Versicolor
4.3	Versicolor
2.6	Virginica
0.7	Setosa
2.9	Setosa
2.5	Versicolor
5.2	Versicolor
4.8	Virginica
4.3	Virginica
5.0	Versicolor
4.5	Versicolor
3.4	Versicolor
4.7	Versicolor
2.6	Virginica
2.9	Virginica
1.3	Versicolor
4.0	Versicolor
4.1	Versicolor
4.6	Setosa
1.8	Versicolor
2.8	Versicolor
4.2	Versicolor
4.2	Versicolor
4.0	Versicolor
5.2	Virginica
3.3	Virginica
2.0	Virginica
3.8	Virginica
0.1	Setosa
2.8	Versicolor
5.4	Virginica
4.0	Versicolor
6.4	Virginica
4.2	Setosa
3.4	Versicolor
2.7	Virginica
3.5	Virginica
4.7	Setosa
4.3	Versicolor
5.5	Virginica
3.8	Versicolor
3.3	Virginica
5.8	Versicolor
3.8	Virginica
1.7	Setosa
0.2	Setosa
0.1	Setosa
2.6	Versicolor
1.2	Setosa
0.8	Setosa
3.2	Setosa
4.3	Virginica
2.0	Versicolor
3.6	Virginica
2.5	Virginica
4.8	Virginica
4.8	Virginica
1.3	Versicolor
4.7	Setosa
3.4	Virginica
5.4	Virginica
4.0	Versicolor
4.9	Versicolor
0.2	Setosa
0.2	Setosa
0.2	Setosa
1.2	Setosa
2.2	Setosa
2.3	Versicolor
4.8	Setosa
6.6	Virginica
2.4	Setosa
1.5	Versicolor
2.4	Setosa
2.8	Setosa
0.7	Setosa
4.8	Setosa
1.6	Virginica
3.9	Virginica
2.2	Setosa
1.7	Setosa
1.1	Setosa
3.4	Setosa
4.7	Setosa
2.2	Setosa
2.8	Virginica
2.2	Virginica
2.0	Versicolor
2.0	Virginica
3.6	Versicolor
5.5	Virginica
1.8	Virginica
4.5	Versicolor
1.5	Versicolor
4.9	Setosa
1.7	Setosa
0.7	Setosa
4.1	Setosa
