petal.length	petal.width	variety
4.9	5.8	Versicolor
8.9	3.0	Virginica
7.7	5.8	Virginica
2.9	3.9	Setosa
5.1	6.1	Versicolor
6.5	5.5	Virginica
7.2	3.7	Versicolor
5.4	5.3	Virginica
8.5	2.6	Virginica
6.5	1.5	Versicolor
1.5	2.9	Setosa
5.5	3.0	Versicolor
5.0	2.8	Setosa
5.0	3.7	Versicolor
5.1	5.0	Virginica
10.3	4.3	Virginica
7.5	3.3	Versicolor
5.8	2.3	Virginica
1.4	3.7	Setosa
6.1	0.2	Setosa
4.0	3.7	Setosa
5.4	5.5	Versicolor
1.3	0.7	Setosa
8.4	3.9	Versicolor
8.0	4.5	Virginica
6.0	4.8	Versicolor
4.0	1.7	Setosa
5.8	3.4	Virginica
7.2	4.1	Versicolor
4.0	0.7	Setosa
5.4	1.5	Versicolor
5.9	1.7	Setosa
8.7	3.3	Versicolor
5.0	1.4	Setosa
8.1	3.3	Versicolor
6.0	1.5	Versicolor
6.8	2.0	Versicolor
9.1	3.4	Virginica
5.0	2.3	Versicolor
5.4	5.2	Versicolor
6.2	2.9	Setosa
9.7	5.5	Virginica
9.1	5.4	Virginica
8.4	3.2	Versicolor
6.4	4.6	Virginica
5.5	2.7	Setosa
3.7	4.3	Setosa
6.1	3.6	Setosa
5.4	0.2	Setosa
5.1	2.9	Versicolor
1.3	2.4	Setosa
8.4	4.6	Versicolor
6.5	4.0	Versicolor
8.5	5.8	Versicolor
4.1	4.6	Setosa
8.4	1.9	Versicolor
4.5	0.1	Setosa
10.1	5.1	Virginica
4.5	5.5	Versicolor
7.6	1.9	Virginica
9.0	4.9	Virginica
5.8	2.3	Virginica
1.9	4.8	Setosa
4.5	0.7	Setosa
1.7	0.5	Setosa
5.4	1.7	Setosa
8.8	3.2	Virginica
5.0	5.5	Versicolor
5.9	2.7	Setosa
7.4	3.9	Versicolor
9.2	4.2	Virginica
5.9	3.1	Setosa
3.9	0.3	Setosa
7.6	4.3	Versicolor
3.3	1.3	Setosa
2.4	4.8	Setosa
8.1	6.0	Virginica
4.8	4.7	Setosa
6.6	4.4	Virginica
3.3	1.3	Setosa
3.6	1.2	Setosa
8.1	5.3	Virginica
5.3	3.3	Virginica
9.1	6.8	Virginica
6.7	2.5	Versicolor
4.9	5.8	Virginica
7.0	5.8	Virginica
2.0	2.2	Setosa
6.6	6.4	Virginica
6.8	5.5	Versicolor
4.2	1.5	Versicolor
5.8	4.1	Versicolor
4.9	2.2	Setosa
5.9	1.2	Setosa
9.1	3.1	Virginica
5.0	6.1	Versicolor
10.7	5.0	Virginica
8.6	4.0	Virginica
2.2	3.2	Setosa
9.3	5.3	Versicolor
6.8	5.6	Virginica
6.2	2.1	Virginica
10.4	2.3	Virginica
5.0	2.0	Virginica
6.6	5.8	Versicolor
