sepal.width	variety
3.8	Virginica
4.1	Setosa
8.0	Setosa
6.7	Virginica
7.0	Virginica
4.3	Virginica
3.0	Virginica
2.8	Versicolor
7.0	Virginica
4.1	Versicolor
3.5	Versicolor
7.2	Virginica
3.9	Setosa
2.9	Versicolor
4.0	Versicolor
6.8	Versicolor
3.6	Virginica
5.9	Setosa
2.8	Virginica
3.8	Versicolor
6.8	Versicolor
4.6	Virginica
3.0	Versicolor
6.1	Setosa
6.5	Setosa
5.8	Setosa
7.5	Setosa
6.9	Versicolor
6.2	Virginica
6.0	Setosa
3.3	Virginica
5.7	Setosa
4.8	Virginica
5.3	Virginica
5.6	Versicolor
4.3	Setosa
6.2	Setosa
4.2	Virginica
3.2	Versicolor
4.5	Versicolor
4.0	Virginica
6.6	Virginica
4.9	Versicolor
4.5	Setosa
6.0	Setosa
5.2	Setosa
4.8	Versicolor
6.0	Versicolor
7.5	Setosa
4.2	Setosa
5.5	Virginica
4.9	Setosa
4.2	Setosa
5.5	Versicolor
8.1	Setosa
4.2	Versicolor
4.2	Virginica
6.4	Virginica
6.5	Setosa
4.3	Virginica
5.3	Virginica
6.6	Versicolor
6.1	Virginica
4.1	Setosa
4.8	Versicolor
4.4	Versicolor
6.7	Setosa
4.7	Virginica
6.7	Versicolor
7.9	Setosa
6.9	Versicolor
4.1	Setosa
5.8	Versicolor
7.4	Setosa
6.3	Virginica
3.5	Virginica
3.3	Setosa
6.5	Virginica
3.6	Setosa
7.6	Versicolor
6.7	Versicolor
7.4	Versicolor
7.9	Setosa
5.0	Setosa
6.0	Versicolor
4.6	Versicolor
4.6	Setosa
2.9	Versicolor
7.5	Setosa
2.8	Virginica
7.5	Virginica
4.8	Setosa
5.7	Virginica
5.1	Virginica
3.9	Versicolor
5.0	Versicolor
7.4	Setosa
6.2	Setosa
3.3	Virginica
3.9	Setosa
3.2	Virginica
4.9	Virginica
6.5	Virginica
3.5	Versicolor
7.2	Versicolor
