petal.length	variety
8.2	Virginica
8.9	Virginica
2.9	Setosa
6.5	Versicolor
5.0	Versicolor
7.0	Versicolor
2.5	Setosa
2.8	Setosa
6.4	Versicolor
7.3	Virginica
8.0	Virginica
5.9	Versicolor
1.2	Setosa
5.2	Versicolor
7.0	Virginica
7.3	Virginica
5.6	Virginica
6.9	Virginica
6.0	Setosa
7.6	Virginica
10.1	Virginica
9.6	Virginica
8.7	Versicolor
5.7	Virginica
6.8	Virginica
7.3	Versicolor
2.6	Setosa
7.3	Virginica
8.5	Virginica
1.4	Setosa
7.6	Virginica
3.6	Setosa
1.8	Setosa
8.5	Versicolor
6.5	Virginica
5.7	Versicolor
1.5	Setosa
9.0	Virginica
5.2	Versicolor
7.0	Versicolor
10.1	Virginica
8.6	Virginica
1.5	Setosa
8.2	Versicolor
4.7	Versicolor
5.4	Setosa
5.7	Versicolor
5.3	Versicolor
7.2	Versicolor
4.9	Versicolor
7.0	Virginica
7.6	Versicolor
8.9	Virginica
6.1	Setosa
6.5	Versicolor
5.3	Virginica
3.7	Setosa
7.7	Versicolor
10.4	Virginica
4.5	Versicolor
4.5	Versicolor
6.0	Versicolor
7.3	Virginica
8.1	Virginica
5.0	Versicolor
4.1	Setosa
3.5	Setosa
1.9	Setosa
8.4	Versicolor
6.0	Setosa
5.6	Versicolor
9.1	Virginica
9.2	Versicolor
4.1	Versicolor
7.5	Virginica
4.5	Setosa
3.4	Setosa
4.3	Setosa
4.3	Versicolor
4.2	Setosa
5.6	Virginica
3.9	Setosa
9.1	Versicolor
3.5	Setosa
7.6	Virginica
9.0	Versicolor
5.9	Virginica
1.9	Setosa
6.4	Versicolor
9.1	Virginica
9.8	Virginica
5.6	Versicolor
5.4	Versicolor
1.8	Setosa
1.7	Setosa
4.4	Setosa
7.0	Versicolor
9.7	Virginica
5.6	Setosa
4.0	Setosa
7.9	Virginica
5.6	Setosa
6.2	Setosa
9.1	Virginica
6.5	Versicolor
