sepal.length	sepal.width	petal.length	variety
7.6	7.5	5.4	Setosa
10.5	7.5	5.7	Virginica
9.0	6.1	5.4	Versicolor
8.3	6.9	7.1	Virginica
10.4	6.8	10.1	Virginica
9.5	4.0	3.8	Setosa
8.1	5.3	8.2	Versicolor
8.1	4.8	5.6	Setosa
9.3	6.5	2.4	Setosa
10.8	3.3	6.3	Versicolor
7.5	7.7	7.6	Virginica
8.8	5.8	7.6	Virginica
9.7	7.2	5.4	Versicolor
6.9	5.2	9.8	Virginica
7.6	7.0	4.1	Versicolor
9.5	2.9	8.2	Versicolor
11.0	4.5	5.8	Virginica
7.3	8.0	5.7	Setosa
9.0	4.8	4.9	Setosa
8.9	5.0	4.3	Setosa
10.7	3.3	8.7	Virginica
8.4	5.0	6.5	Virginica
6.4	3.7	3.8	Setosa
6.4	7.2	8.0	Versicolor
11.2	4.1	8.6	Virginica
10.9	6.6	5.5	Virginica
7.0	7.2	7.1	Versicolor
6.5	6.2	3.2	Setosa
9.9	6.6	9.4	Virginica
8.5	5.8	5.0	Versicolor
7.6	2.9	6.1	Versicolor
9.1	5.9	4.0	Setosa
11.8	3.4	9.3	Virginica
7.5	7.9	5.0	Setosa
9.8	3.7	6.1	Virginica
7.6	7.4	7.6	Versicolor
6.7	6.5	5.5	Versicolor
11.2	4.1	5.7	Versicolor
8.0	6.0	5.3	Setosa
9.7	6.9	3.0	Setosa
7.5	4.4	1.6	Setosa
7.4	7.5	3.9	Setosa
5.4	5.1	4.0	Setosa
6.2	4.9	8.3	Versicolor
5.0	5.1	1.4	Setosa
8.8	7.2	7.9	Versicolor
6.4	2.8	7.1	Virginica
5.0	4.0	3.6	Setosa
8.5	7.0	7.5	Versicolor
6.7	6.5	4.0	Setosa
4.3	4.0	2.1	Setosa
8.4	4.8	9.1	Virginica
6.5	6.0	1.6	Setosa
7.0	4.4	7.0	Versicolor
10.2	6.6	8.9	Virginica
11.2	5.8	10.2	Virginica
7.7	4.8	9.2	Virginica
5.1	3.5	5.4	Setosa
7.0	7.0	9.5	Virginica
10.0	4.5	9.3	Virginica
10.1	4.0	6.4	Versicolor
9.3	4.7	7.6	Versicolor
7.2	5.3	9.3	Virginica
9.4	3.5	6.7	Versicolor
8.8	4.0	3.9	Setosa
8.3	7.2	6.6	Virginica
8.0	3.3	4.3	Versicolor
9.9	3.5	5.1	Virginica
8.8	4.6	2.6	Setosa
8.9	2.9	6.8	Versicolor
8.2	4.5	8.7	Versicolor
7.9	7.1	1.4	Setosa
7.2	3.4	8.7	Versicolor
6.8	3.8	6.6	Virginica
7.1	4.3	2.2	Setosa
8.5	2.3	3.8	Setosa
5.9	4.1	2.5	Setosa
7.7	6.1	6.5	Versicolor
8.7	5.2	6.5	Versicolor
7.2	7.8	5.7	Virginica
5.6	4.5	3.0	Versicolor
7.3	3.3	8.4	Versicolor
5.6	5.3	5.4	Virginica
9.7	4.5	7.3	Virginica
7.4	3.9	2.2	Setosa
7.6	7.9	4.4	Setosa
8.4	7.7	6.3	Virginica
7.7	4.3	3.2	Setosa
8.2	7.3	6.5	Versicolor
7.0	6.4	5.3	Versicolor
11.2	7.5	5.2	Virginica
9.1	7.7	5.9	Setosa
7.9	3.5	6.5	Versicolor
7.5	6.8	8.1	Versicolor
10.0	5.7	1.4	Setosa
7.1	5.6	1.5	Setosa
8.2	7.1	6.1	Virginica
6.9	5.2	9.2	Virginica
8.1	5.5	5.4	Versicolor
11.2	5.0	9.3	Virginica
9.1	7.8	5.4	Setosa
10.1	6.3	5.0	Versicolor
7.1	4.6	5.5	Setosa
9.6	5.5	5.9	Virginica
7.9	5.9	4.2	Setosa
