petal.length	variety
5.2	Versicolor
3.0	Setosa
4.9	Versicolor
5.0	Versicolor
5.1	Setosa
2.5	Setosa
6.2	Virginica
8.9	Virginica
6.5	Versicolor
4.6	Versicolor
9.6	Virginica
5.6	Virginica
2.4	Setosa
4.8	Versicolor
9.1	Virginica
4.3	Setosa
4.8	Setosa
6.6	Versicolor
2.2	Setosa
5.6	Versicolor
8.5	Virginica
7.7	Versicolor
5.0	Versicolor
6.6	Versicolor
7.7	Virginica
4.7	Versicolor
4.0	Setosa
3.0	Setosa
4.4	Setosa
6.0	Virginica
2.0	Setosa
1.9	Setosa
8.5	Versicolor
5.0	Virginica
9.1	Virginica
3.4	Setosa
5.6	Versicolor
7.1	Versicolor
9.1	Virginica
5.9	Virginica
8.8	Virginica
9.3	Virginica
8.4	Versicolor
4.5	Versicolor
4.7	Versicolor
4.7	Versicolor
7.1	Virginica
6.9	Versicolor
5.6	Versicolor
8.0	Versicolor
2.5	Setosa
7.0	Versicolor
5.0	Setosa
1.5	Setosa
8.4	Virginica
6.0	Setosa
9.6	Virginica
9.7	Virginica
9.8	Virginica
6.2	Virginica
4.9	Setosa
3.0	Setosa
5.6	Setosa
4.2	Versicolor
1.9	Setosa
7.9	Virginica
4.4	Versicolor
6.3	Versicolor
8.4	Versicolor
4.8	Versicolor
5.7	Virginica
3.6	Setosa
6.4	Virginica
6.1	Setosa
1.9	Setosa
9.1	Versicolor
4.5	Versicolor
8.3	Versicolor
4.2	Setosa
2.6	Setosa
7.0	Virginica
8.1	Virginica
3.9	Setosa
5.9	Versicolor
9.6	Virginica
6.4	Virginica
7.0	Virginica
4.8	Versicolor
7.5	Virginica
1.9	Setosa
5.3	Setosa
6.3	Virginica
6.0	Setosa
5.0	Versicolor
4.2	Setosa
4.7	Versicolor
8.0	Versicolor
3.0	Setosa
2.3	Setosa
3.9	Setosa
7.5	Virginica
7.9	Virginica
9.3	Virginica
5.7	Setosa
6.7	Virginica
