sepal.length	sepal.width	petal.length	variety
9.5	3.5	6.0	Versicolor
8.4	4.2	4.5	Versicolor
8.8	7.0	7.0	Virginica
5.2	2.7	5.9	Versicolor
11.3	6.3	7.3	Versicolor
6.8	5.2	7.9	Virginica
10.9	6.3	10.6	Virginica
7.4	7.4	8.3	Versicolor
7.4	4.0	7.2	Versicolor
8.6	4.0	8.6	Versicolor
10.0	4.7	8.1	Virginica
6.2	7.5	8.2	Versicolor
6.5	6.7	2.2	Setosa
8.8	4.4	3.1	Setosa
6.4	5.1	5.0	Setosa
9.4	6.5	1.9	Setosa
9.1	3.9	6.6	Versicolor
9.6	7.7	5.5	Setosa
9.2	5.8	9.0	Versicolor
7.0	5.0	2.6	Setosa
10.7	4.0	6.1	Virginica
8.7	2.9	4.3	Versicolor
6.2	7.4	4.0	Setosa
9.7	5.6	5.9	Versicolor
6.9	3.0	7.5	Versicolor
8.5	5.9	7.2	Versicolor
7.1	8.1	2.0	Setosa
6.8	7.0	6.4	Versicolor
10.2	3.3	5.7	Virginica
5.4	4.4	4.5	Setosa
9.2	6.5	10.3	Virginica
6.2	6.0	9.0	Virginica
8.0	4.0	5.3	Setosa
6.9	4.1	5.9	Setosa
10.2	6.1	7.2	Versicolor
7.8	4.2	7.1	Virginica
5.6	7.9	4.4	Setosa
10.8	6.9	7.1	Virginica
5.0	6.0	4.0	Versicolor
9.3	7.5	1.9	Setosa
7.0	7.3	6.1	Versicolor
5.7	4.7	3.3	Setosa
7.7	5.1	8.1	Virginica
6.6	7.2	4.4	Setosa
8.9	6.9	2.8	Setosa
8.1	5.0	10.1	Virginica
8.8	7.4	6.1	Virginica
10.2	7.3	8.7	Virginica
8.8	4.4	5.4	Setosa
10.9	5.6	9.5	Virginica
5.1	5.3	3.5	Setosa
11.1	6.5	7.4	Versicolor
9.9	5.4	5.7	Setosa
9.1	5.3	4.6	Setosa
9.5	6.9	8.3	Versicolor
6.5	6.7	2.4	Setosa
7.8	5.0	5.7	Setosa
7.9	4.8	6.6	Virginica
7.1	6.9	6.7	Versicolor
11.0	3.5	9.0	Virginica
9.7	4.5	9.5	Versicolor
7.3	3.2	5.4	Virginica
9.5	4.4	4.6	Setosa
6.8	4.8	4.7	Versicolor
9.9	3.1	6.4	Virginica
7.6	5.5	5.9	Setosa
6.9	6.2	6.8	Virginica
10.5	4.9	5.0	Versicolor
9.3	2.6	4.5	Versicolor
6.8	4.5	6.0	Virginica
8.4	6.3	6.1	Virginica
8.1	5.0	7.4	Virginica
7.7	2.8	7.2	Virginica
8.4	5.5	8.5	Virginica
9.5	4.1	4.4	Versicolor
9.5	2.7	6.5	Virginica
7.8	7.3	5.6	Virginica
10.9	5.1	8.9	Versicolor
4.7	5.7	6.1	Setosa
8.9	5.2	3.0	Setosa
8.5	5.1	3.9	Setosa
9.0	6.4	5.5	Versicolor
9.7	7.0	1.5	Setosa
7.2	5.1	3.5	Setosa
4.9	4.9	4.8	Versicolor
6.2	4.7	8.5	Versicolor
9.8	7.8	10.5	Virginica
9.2	3.0	9.7	Virginica
9.8	6.4	10.8	Virginica
8.3	3.6	4.1	Setosa
7.2	4.1	7.6	Virginica
6.6	8.3	2.4	Setosa
6.2	3.9	4.7	Versicolor
10.8	6.3	4.4	Versicolor
8.0	6.5	8.8	Virginica
7.8	3.7	7.6	Versicolor
10.4	4.3	7.9	Virginica
6.8	3.2	5.4	Versicolor
9.6	4.0	7.9	Versicolor
10.6	3.6	6.6	Virginica
4.6	6.6	2.5	Setosa
9.1	6.5	3.9	Setosa
5.7	5.1	5.5	Versicolor
4.9	4.7	1.3	Setosa
6.3	5.7	6.0	Setosa
