sepal.length	sepal.width	variety
10.5	6.4	Versicolor
9.9	3.7	Setosa
7.1	3.3	Versicolor
7.4	5.1	Setosa
7.8	8.5	Setosa
9.6	6.0	Setosa
7.9	4.8	Virginica
8.8	7.2	Virginica
9.3	5.8	Virginica
10.8	2.5	Virginica
8.9	3.2	Virginica
6.0	6.6	Versicolor
6.1	4.6	Setosa
6.0	3.8	Versicolor
9.8	2.9	Virginica
8.7	5.1	Setosa
7.9	3.7	Virginica
11.2	3.5	Virginica
6.8	6.9	Virginica
9.3	5.8	Versicolor
6.4	4.0	Versicolor
6.5	4.2	Versicolor
6.0	7.5	Setosa
7.4	5.9	Setosa
9.2	6.3	Versicolor
6.2	5.9	Virginica
5.7	4.9	Setosa
9.5	7.2	Versicolor
5.5	5.0	Setosa
7.0	7.6	Setosa
7.2	7.0	Virginica
6.9	4.1	Virginica
11.7	3.6	Virginica
7.5	6.0	Virginica
9.6	3.3	Virginica
5.9	3.9	Setosa
5.8	6.1	Setosa
6.8	6.3	Versicolor
8.1	5.0	Setosa
9.1	6.3	Setosa
8.8	2.8	Virginica
5.7	3.5	Virginica
10.5	2.7	Virginica
10.9	7.8	Virginica
6.6	6.4	Setosa
5.6	6.2	Versicolor
6.4	5.5	Virginica
10.3	6.7	Virginica
5.5	8.0	Setosa
8.0	4.3	Versicolor
7.0	4.3	Versicolor
7.1	4.8	Setosa
8.2	6.3	Setosa
6.7	4.5	Versicolor
11.1	5.5	Virginica
10.5	7.7	Virginica
8.7	6.7	Virginica
9.5	3.9	Versicolor
7.9	7.6	Virginica
7.3	7.0	Versicolor
9.3	4.7	Virginica
7.6	8.1	Setosa
7.9	6.2	Versicolor
8.0	6.7	Versicolor
7.1	3.0	Versicolor
8.6	3.0	Versicolor
11.7	2.8	Virginica
8.1	6.3	Setosa
6.2	5.9	Versicolor
9.7	4.3	Versicolor
6.4	7.1	Setosa
7.5	4.7	Setosa
9.5	3.5	Virginica
7.0	7.0	Virginica
6.3	5.2	Versicolor
5.8	2.6	Versicolor
5.4	6.0	Setosa
5.6	5.7	Setosa
8.1	5.8	Setosa
6.9	3.3	Virginica
6.8	6.3	Versicolor
8.1	4.9	Setosa
8.8	4.2	Versicolor
10.3	3.9	Virginica
8.4	6.0	Setosa
5.8	5.2	Setosa
6.3	3.0	Setosa
5.6	5.0	Versicolor
9.5	4.4	Setosa
8.1	4.0	Versicolor
11.2	7.3	Virginica
6.4	7.7	Versicolor
7.1	6.4	Versicolor
7.9	6.6	Setosa
9.2	6.6	Virginica
10.0	3.5	Virginica
7.9	3.9	Setosa
6.8	5.5	Virginica
9.4	3.4	Versicolor
7.5	2.8	Setosa
8.5	6.4	Versicolor
9.2	4.4	Versicolor
9.7	7.5	Setosa
7.3	7.5	Setosa
8.4	3.1	Versicolor
