sepal.length	sepal.width	petal.length	variety
7.2	6.1	3.0	Setosa
8.7	6.4	1.4	Setosa
10.7	3.5	7.5	Versicolor
7.2	6.1	7.2	Versicolor
7.5	4.7	8.1	Versicolor
6.5	7.9	6.1	Setosa
7.2	6.3	6.2	Setosa
10.9	3.2	5.0	Versicolor
7.6	3.5	6.1	Versicolor
8.7	6.2	6.5	Virginica
5.0	6.0	1.3	Setosa
6.5	4.6	2.4	Setosa
5.1	7.8	3.6	Setosa
10.1	3.7	8.7	Versicolor
5.7	4.0	4.2	Versicolor
9.7	2.7	6.0	Versicolor
8.4	6.5	7.1	Virginica
8.2	6.4	7.7	Versicolor
8.7	6.8	10.7	Virginica
7.4	4.5	4.9	Setosa
6.7	7.0	3.5	Setosa
8.3	6.5	5.0	Virginica
5.1	3.4	3.4	Setosa
8.7	4.5	9.6	Virginica
9.4	4.9	4.3	Versicolor
9.1	6.0	4.9	Versicolor
9.8	2.8	4.9	Versicolor
9.3	3.7	4.5	Setosa
8.0	2.8	6.3	Versicolor
6.4	7.7	3.3	Setosa
10.0	2.7	8.5	Versicolor
9.1	5.5	5.0	Versicolor
7.1	7.6	2.5	Setosa
9.3	6.7	6.9	Virginica
10.0	5.6	4.4	Versicolor
11.2	5.3	5.7	Virginica
8.3	2.7	8.1	Virginica
6.9	7.7	5.5	Setosa
10.2	4.0	9.5	Virginica
7.6	7.3	5.4	Virginica
10.6	3.9	6.6	Versicolor
8.8	7.9	4.1	Setosa
4.9	6.1	5.4	Setosa
10.4	7.7	7.3	Versicolor
8.4	7.4	6.2	Setosa
7.9	4.2	8.3	Virginica
6.0	3.2	6.0	Virginica
8.0	6.7	5.4	Setosa
7.3	5.4	6.8	Virginica
10.3	4.8	8.1	Virginica
7.8	4.3	7.1	Virginica
8.8	5.6	5.0	Versicolor
8.0	6.4	3.8	Versicolor
7.1	4.0	5.4	Versicolor
8.3	4.7	5.6	Versicolor
7.4	3.6	5.4	Virginica
8.9	3.7	9.3	Virginica
7.6	5.4	4.6	Versicolor
8.5	3.2	2.7	Setosa
6.0	6.5	5.3	Virginica
6.7	3.3	7.5	Versicolor
6.0	6.5	6.0	Versicolor
9.0	5.7	6.7	Versicolor
7.6	4.1	3.5	Setosa
7.1	5.2	5.4	Setosa
9.3	2.5	7.4	Versicolor
8.4	3.4	2.4	Setosa
7.3	5.6	6.1	Setosa
7.4	3.6	6.1	Virginica
8.5	6.5	7.5	Versicolor
8.7	5.2	1.6	Setosa
10.3	3.9	5.6	Virginica
4.9	3.5	5.5	Virginica
7.0	3.5	8.5	Virginica
7.9	4.0	4.5	Versicolor
9.7	5.3	5.8	Virginica
9.8	5.0	1.7	Setosa
6.1	3.5	6.6	Versicolor
6.9	6.9	4.8	Setosa
7.6	4.0	1.9	Setosa
8.7	3.8	6.7	Virginica
6.4	5.1	8.0	Virginica
9.8	2.7	8.4	Versicolor
7.6	6.9	7.7	Versicolor
6.6	7.1	10.1	Virginica
8.6	5.3	6.0	Setosa
7.9	4.4	5.2	Setosa
6.7	3.2	2.8	Setosa
5.1	6.4	2.5	Setosa
7.8	4.8	6.3	Versicolor
8.7	6.3	9.2	Virginica
4.9	4.6	4.5	Setosa
8.5	7.3	1.9	Setosa
8.1	6.7	2.0	Setosa
9.5	5.4	5.5	Setosa
7.8	4.9	10.1	Virginica
7.0	4.5	8.7	Virginica
9.8	4.5	10.0	Virginica
11.6	5.5	9.6	Virginica
6.8	7.0	4.6	Setosa
6.2	4.6	4.0	Versicolor
8.5	2.9	5.5	Versicolor
9.1	3.8	6.2	Versicolor
7.3	4.8	6.5	Virginica
4.9	4.6	4.5	Setosa
