sepal.length	sepal.width	variety
7.6	7.5	Versicolor
5.2	3.2	Setosa
11.9	6.3	Virginica
8.7	4.5	Virginica
10.2	3.5	Virginica
9.5	2.9	Versicolor
8.2	6.6	Versicolor
9.0	2.5	Versicolor
7.7	5.9	Setosa
7.5	5.2	Setosa
7.3	7.2	Versicolor
8.6	6.8	Versicolor
6.8	7.2	Virginica
8.0	3.1	Versicolor
9.1	5.9	Versicolor
9.8	3.0	Versicolor
7.5	5.3	Setosa
7.6	7.8	Setosa
11.2	5.3	Virginica
7.9	5.6	Versicolor
8.5	4.8	Versicolor
5.6	7.5	Setosa
8.1	7.1	Virginica
10.1	5.0	Virginica
7.4	6.7	Virginica
9.4	3.7	Virginica
9.8	4.5	Virginica
8.5	5.5	Virginica
10.1	4.9	Versicolor
9.9	7.3	Virginica
5.1	6.8	Setosa
6.6	7.0	Virginica
6.3	7.8	Virginica
8.3	5.7	Versicolor
8.0	7.0	Setosa
9.4	5.1	Setosa
7.0	4.4	Versicolor
7.5	3.8	Setosa
6.9	6.5	Virginica
7.2	4.2	Virginica
6.2	6.6	Setosa
10.2	7.3	Versicolor
5.7	4.4	Setosa
9.3	7.8	Versicolor
8.2	3.8	Virginica
5.4	4.5	Setosa
9.5	4.0	Virginica
5.4	5.6	Setosa
9.1	3.5	Setosa
10.1	3.0	Versicolor
8.6	6.0	Versicolor
8.6	5.4	Versicolor
7.8	4.4	Virginica
6.6	5.1	Setosa
4.3	6.5	Setosa
6.5	5.5	Setosa
9.5	2.8	Versicolor
7.3	6.8	Virginica
7.7	6.5	Versicolor
10.2	4.3	Virginica
8.9	5.4	Setosa
9.0	5.9	Versicolor
6.5	3.7	Virginica
8.4	3.6	Virginica
8.3	5.3	Virginica
6.5	4.5	Versicolor
5.9	6.6	Setosa
6.9	5.6	Virginica
8.6	4.0	Versicolor
5.7	4.0	Setosa
9.2	5.8	Setosa
8.0	6.7	Virginica
7.5	4.4	Setosa
5.9	3.9	Setosa
6.2	3.8	Versicolor
7.4	3.0	Versicolor
8.8	6.2	Setosa
7.9	4.4	Versicolor
9.1	7.4	Setosa
8.7	2.9	Versicolor
9.5	4.7	Setosa
8.2	3.9	Versicolor
9.8	4.7	Virginica
8.7	5.0	Virginica
7.6	7.7	Setosa
5.3	7.0	Setosa
7.1	7.4	Setosa
8.9	7.0	Versicolor
5.2	7.2	Versicolor
7.2	3.4	Virginica
8.0	4.5	Virginica
7.8	4.7	Virginica
4.8	4.0	Setosa
9.2	3.3	Virginica
6.1	3.8	Virginica
9.7	6.0	Versicolor
7.5	7.4	Setosa
9.7	3.6	Virginica
8.9	4.2	Setosa
7.3	3.8	Versicolor
8.3	3.2	Virginica
5.1	6.1	Setosa
8.3	4.0	Virginica
9.0	2.2	Versicolor
8.9	3.7	Virginica
