sepal.width	variety
3.7	Versicolor
7.4	Virginica
6.8	Virginica
6.5	Virginica
6.1	Setosa
7.0	Virginica
7.1	Virginica
4.6	Setosa
4.0	Versicolor
5.1	Setosa
3.3	Virginica
6.5	Virginica
6.8	Virginica
7.9	Setosa
3.9	Setosa
5.3	Setosa
6.5	Versicolor
7.0	Virginica
5.8	Virginica
7.1	Versicolor
5.4	Versicolor
5.4	Setosa
7.1	Virginica
6.7	Versicolor
6.1	Setosa
4.3	Versicolor
3.6	Versicolor
3.4	Versicolor
5.8	Virginica
8.2	Setosa
8.0	Setosa
6.7	Virginica
2.4	Versicolor
6.7	Virginica
4.9	Versicolor
6.3	Versicolor
5.1	Virginica
3.4	Versicolor
6.9	Setosa
6.2	Setosa
3.3	Virginica
6.9	Virginica
6.1	Setosa
3.5	Virginica
5.7	Setosa
5.8	Versicolor
3.0	Virginica
5.0	Virginica
5.8	Versicolor
6.7	Versicolor
5.0	Versicolor
3.9	Setosa
5.2	Versicolor
7.5	Virginica
5.0	Setosa
5.9	Setosa
6.1	Virginica
3.8	Virginica
7.9	Virginica
3.0	Virginica
5.0	Versicolor
7.0	Setosa
7.6	Virginica
6.2	Virginica
4.0	Setosa
3.0	Setosa
3.5	Setosa
5.0	Setosa
5.1	Versicolor
5.8	Setosa
6.7	Versicolor
5.4	Setosa
5.2	Virginica
6.8	Setosa
2.7	Versicolor
2.7	Versicolor
5.5	Setosa
5.0	Setosa
2.9	Versicolor
7.8	Setosa
6.5	Versicolor
5.7	Setosa
4.2	Setosa
4.0	Virginica
4.0	Virginica
3.6	Virginica
6.2	Virginica
5.9	Versicolor
3.3	Versicolor
3.8	Versicolor
2.0	Versicolor
6.6	Versicolor
5.0	Setosa
6.5	Virginica
5.8	Virginica
7.0	Setosa
7.5	Versicolor
5.4	Versicolor
3.3	Virginica
4.0	Virginica
4.2	Versicolor
6.3	Setosa
3.8	Setosa
7.2	Setosa
3.5	Versicolor
