sepal.length	sepal.width	petal.length	variety
7.9	4.7	3.3	Setosa
8.4	7.7	2.5	Setosa
9.4	7.1	1.4	Setosa
6.7	4.4	7.9	Virginica
8.4	4.5	6.0	Versicolor
8.7	4.8	8.6	Versicolor
8.3	4.7	9.6	Virginica
6.4	6.0	7.0	Virginica
11.6	6.5	7.1	Virginica
9.4	6.7	9.8	Virginica
8.6	6.5	4.4	Versicolor
8.8	7.3	9.3	Versicolor
9.7	2.5	6.5	Virginica
8.0	5.4	9.0	Versicolor
8.3	4.0	7.5	Virginica
7.0	6.8	5.1	Versicolor
10.2	5.3	7.7	Virginica
8.5	6.7	1.7	Setosa
6.7	2.8	6.8	Virginica
6.3	6.3	5.4	Versicolor
7.1	7.2	2.9	Setosa
7.3	7.5	5.2	Setosa
10.2	6.3	7.2	Virginica
5.6	4.4	5.6	Versicolor
10.2	7.8	7.2	Virginica
6.9	3.4	1.4	Setosa
10.5	4.7	5.7	Versicolor
9.0	7.1	3.4	Setosa
10.3	6.7	6.1	Virginica
8.3	5.8	8.7	Versicolor
9.2	6.9	3.0	Setosa
8.7	3.1	5.6	Virginica
8.4	7.4	8.8	Versicolor
6.0	5.9	3.7	Versicolor
5.5	5.0	5.0	Versicolor
9.3	3.4	10.8	Virginica
7.2	3.6	9.2	Versicolor
5.5	7.5	3.8	Setosa
7.4	3.2	7.0	Versicolor
10.3	3.8	5.6	Virginica
8.6	7.3	1.7	Setosa
8.1	6.5	2.4	Setosa
9.7	3.7	7.0	Virginica
9.9	3.0	6.6	Virginica
7.4	2.9	6.3	Versicolor
7.5	5.0	8.0	Versicolor
8.8	7.4	7.6	Virginica
10.2	5.3	6.2	Virginica
10.9	3.1	8.4	Versicolor
6.2	5.2	5.5	Versicolor
8.0	3.9	7.8	Versicolor
7.5	4.7	7.0	Virginica
8.4	7.5	3.4	Setosa
9.6	5.0	6.0	Versicolor
7.6	5.1	3.0	Setosa
6.2	5.6	6.0	Versicolor
7.8	3.5	2.9	Setosa
9.2	6.1	6.9	Versicolor
8.5	4.9	5.5	Setosa
11.9	6.8	8.4	Virginica
5.8	4.4	2.4	Setosa
6.3	7.8	9.5	Virginica
9.9	5.9	3.0	Setosa
6.4	5.0	4.7	Versicolor
5.6	6.3	4.9	Virginica
7.6	3.9	2.0	Setosa
5.8	3.7	8.1	Versicolor
9.9	3.9	3.7	Setosa
11.2	5.0	6.1	Virginica
9.8	5.7	5.9	Virginica
10.3	4.1	4.5	Versicolor
6.8	3.4	6.1	Virginica
8.1	4.9	8.6	Versicolor
7.4	4.7	9.3	Virginica
9.6	7.3	3.5	Setosa
8.6	4.9	6.2	Versicolor
5.2	3.7	5.3	Setosa
10.0	7.0	6.3	Virginica
7.2	6.9	6.3	Versicolor
9.6	6.8	7.7	Versicolor
8.2	6.5	6.0	Versicolor
6.7	4.4	1.4	Setosa
8.4	7.6	8.0	Virginica
8.1	7.2	5.0	Setosa
8.4	3.3	10.1	Virginica
9.0	3.8	6.3	Versicolor
8.8	6.5	5.4	Setosa
5.9	6.0	4.8	Setosa
9.5	6.7	5.0	Versicolor
8.9	4.7	9.7	Virginica
5.3	5.7	3.5	Setosa
8.0	5.0	5.5	Virginica
6.1	5.4	3.9	Setosa
5.3	7.6	3.1	Setosa
8.4	7.9	3.7	Setosa
5.9	7.4	3.3	Setosa
7.9	6.6	1.5	Setosa
9.2	4.0	5.5	Setosa
7.0	3.1	7.4	Versicolor
10.6	6.8	8.5	Versicolor
8.4	5.8	8.1	Virginica
10.5	3.2	8.1	Virginica
8.3	5.5	5.0	Virginica
6.0	5.2	2.9	Setosa
7.3	4.5	7.9	Versicolor
