sepal.length	sepal.width	variety
6.7	4.3	Virginica
7.7	3.6	Versicolor
8.8	2.7	Versicolor
6.4	3.0	Setosa
6.9	5.4	Setosa
10.5	2.7	Versicolor
10.3	4.7	Versicolor
6.7	5.3	Versicolor
4.9	6.4	Versicolor
8.8	3.9	Setosa
9.7	4.9	Setosa
10.5	4.9	Versicolor
5.9	7.9	Setosa
5.7	5.5	Virginica
9.6	5.5	Setosa
9.2	7.1	Setosa
7.2	3.2	Versicolor
8.4	2.7	Virginica
8.1	4.2	Setosa
7.9	6.1	Virginica
8.1	4.3	Versicolor
6.5	4.3	Versicolor
9.6	3.5	Setosa
9.8	4.0	Virginica
10.6	7.5	Versicolor
10.2	6.1	Virginica
7.0	6.0	Virginica
7.0	6.7	Setosa
5.1	7.6	Setosa
9.5	3.2	Virginica
9.0	2.3	Setosa
6.0	2.5	Versicolor
7.9	4.4	Setosa
7.2	5.1	Versicolor
9.6	5.0	Versicolor
8.1	3.9	Setosa
9.9	3.2	Virginica
8.1	6.8	Setosa
5.3	3.4	Setosa
10.2	4.5	Versicolor
6.8	6.5	Virginica
8.9	5.5	Setosa
8.8	2.9	Virginica
8.5	8.0	Setosa
8.6	4.8	Virginica
10.6	5.5	Virginica
10.3	2.7	Virginica
7.2	6.4	Versicolor
10.1	2.7	Versicolor
7.3	6.2	Setosa
6.9	4.2	Setosa
7.5	5.9	Versicolor
8.1	4.8	Setosa
6.8	5.3	Virginica
7.0	7.0	Setosa
6.4	2.8	Virginica
10.3	5.9	Virginica
6.1	6.0	Virginica
9.4	4.1	Setosa
9.4	7.7	Versicolor
9.9	5.0	Versicolor
6.7	3.7	Versicolor
9.5	3.5	Setosa
4.9	3.5	Virginica
7.8	3.2	Virginica
9.4	8.3	Virginica
6.8	5.0	Versicolor
6.4	7.1	Setosa
7.4	5.3	Virginica
10.7	3.0	Virginica
9.0	3.9	Setosa
5.7	8.4	Setosa
8.3	7.6	Setosa
7.4	4.6	Versicolor
4.8	3.0	Setosa
7.0	6.6	Setosa
10.8	6.3	Versicolor
9.2	7.6	Versicolor
10.9	7.4	Versicolor
5.5	6.9	Versicolor
7.6	4.4	Setosa
6.4	4.6	Virginica
9.2	5.7	Virginica
9.3	2.8	Versicolor
6.9	5.2	Setosa
7.1	7.3	Versicolor
7.2	5.3	Virginica
5.9	5.0	Versicolor
8.5	5.4	Versicolor
9.1	5.5	Versicolor
7.9	5.7	Virginica
10.6	6.9	Versicolor
10.5	2.8	Versicolor
8.0	5.7	Versicolor
9.5	4.0	Setosa
7.0	4.7	Setosa
10.9	7.6	Virginica
6.2	5.0	Setosa
7.2	6.9	Virginica
11.0	6.0	Virginica
5.6	8.1	Setosa
10.2	6.3	Virginica
9.1	5.8	Setosa
5.9	6.9	Setosa
4.7	3.2	Setosa
