sepal.length	variety
11.2	Virginica
7.7	Setosa
8.0	Virginica
9.5	Setosa
5.9	Setosa
9.5	Versicolor
10.4	Versicolor
9.1	Setosa
10.4	Virginica
9.3	Virginica
6.1	Setosa
6.9	Virginica
7.3	Setosa
12.4	Virginica
7.5	Versicolor
9.0	Versicolor
6.3	Virginica
7.4	Setosa
6.1	Versicolor
4.8	Setosa
7.7	Virginica
10.5	Virginica
9.4	Setosa
7.7	Setosa
11.2	Virginica
8.3	Virginica
7.4	Virginica
8.9	Versicolor
9.4	Virginica
6.8	Versicolor
8.6	Virginica
9.6	Versicolor
8.5	Setosa
6.7	Virginica
5.5	Setosa
9.6	Versicolor
6.3	Versicolor
8.7	Virginica
6.5	Setosa
10.4	Versicolor
10.8	Virginica
6.7	Versicolor
10.1	Virginica
9.6	Versicolor
9.8	Virginica
6.9	Setosa
9.2	Versicolor
9.2	Setosa
6.9	Setosa
10.4	Virginica
5.5	Setosa
5.9	Setosa
9.0	Versicolor
10.1	Versicolor
6.0	Versicolor
8.0	Setosa
9.7	Versicolor
9.2	Versicolor
7.0	Versicolor
6.7	Versicolor
6.2	Virginica
7.0	Setosa
11.6	Virginica
9.7	Virginica
5.6	Versicolor
10.1	Virginica
9.3	Versicolor
8.2	Versicolor
8.6	Versicolor
7.0	Versicolor
6.3	Setosa
11.5	Versicolor
6.3	Virginica
8.8	Virginica
9.3	Virginica
7.6	Setosa
6.6	Setosa
10.2	Versicolor
10.3	Versicolor
8.9	Versicolor
9.1	Setosa
7.5	Versicolor
9.9	Virginica
10.0	Virginica
5.7	Versicolor
7.6	Setosa
6.9	Versicolor
8.2	Virginica
6.7	Setosa
10.9	Virginica
9.4	Versicolor
9.2	Versicolor
8.8	Versicolor
9.9	Setosa
7.0	Setosa
5.1	Setosa
11.7	Virginica
10.2	Versicolor
7.0	Versicolor
6.1	Versicolor
12.2	Virginica
6.9	Virginica
8.2	Virginica
4.9	Setosa
7.2	Virginica
