petal.length	variety
1.4	Setosa
1.6	Setosa
4.5	Versicolor
7.4	Virginica
7.1	Virginica
8.5	Virginica
9.1	Virginica
5.3	Setosa
2.1	Setosa
6.7	Versicolor
3.3	Setosa
9.3	Versicolor
6.8	Virginica
5.8	Virginica
7.1	Virginica
5.1	Setosa
6.5	Versicolor
7.4	Versicolor
8.4	Versicolor
5.0	Virginica
1.6	Setosa
8.1	Virginica
7.8	Versicolor
4.5	Versicolor
2.9	Setosa
4.8	Versicolor
4.3	Versicolor
3.1	Setosa
1.4	Setosa
1.5	Setosa
6.9	Virginica
7.5	Versicolor
8.9	Versicolor
5.9	Setosa
2.0	Setosa
5.9	Versicolor
9.1	Versicolor
6.5	Virginica
9.7	Virginica
8.2	Versicolor
8.1	Virginica
7.1	Versicolor
5.4	Setosa
6.1	Versicolor
9.7	Virginica
8.9	Virginica
9.2	Virginica
4.4	Versicolor
4.5	Setosa
6.3	Virginica
5.5	Setosa
1.7	Setosa
6.0	Versicolor
6.1	Versicolor
5.9	Setosa
7.8	Virginica
2.5	Setosa
6.5	Virginica
6.0	Versicolor
5.3	Setosa
6.9	Versicolor
2.2	Setosa
1.5	Setosa
5.0	Versicolor
9.6	Virginica
9.9	Virginica
6.0	Versicolor
9.6	Virginica
5.2	Virginica
6.9	Virginica
6.0	Versicolor
7.6	Virginica
1.5	Setosa
7.1	Virginica
5.5	Versicolor
2.9	Setosa
6.7	Virginica
3.8	Versicolor
4.7	Setosa
6.2	Versicolor
5.6	Setosa
5.0	Versicolor
5.5	Virginica
7.9	Virginica
1.5	Setosa
5.2	Setosa
7.0	Virginica
8.7	Versicolor
6.5	Versicolor
3.5	Setosa
3.9	Setosa
4.1	Versicolor
4.5	Setosa
6.2	Versicolor
8.0	Versicolor
4.8	Versicolor
1.4	Setosa
7.0	Virginica
6.2	Versicolor
4.4	Setosa
5.3	Setosa
5.1	Setosa
7.1	Versicolor
8.6	Virginica
7.0	Virginica
