petal.length	variety
5.2	Setosa
10.4	Virginica
6.7	Versicolor
5.8	Virginica
5.7	Setosa
4.6	Versicolor
5.1	Virginica
2.5	Setosa
5.4	Versicolor
2.5	Setosa
8.3	Virginica
2.6	Setosa
7.4	Virginica
6.2	Virginica
2.2	Setosa
2.4	Setosa
8.5	Versicolor
1.5	Setosa
3.0	Setosa
6.6	Versicolor
4.3	Setosa
6.0	Virginica
5.4	Versicolor
6.0	Versicolor
8.6	Virginica
9.0	Virginica
5.6	Versicolor
5.0	Versicolor
4.8	Virginica
8.6	Virginica
8.0	Versicolor
3.3	Versicolor
3.8	Setosa
2.6	Setosa
9.0	Virginica
10.6	Virginica
6.0	Virginica
7.2	Virginica
8.1	Virginica
3.1	Setosa
6.6	Virginica
4.8	Setosa
7.6	Virginica
7.6	Virginica
1.4	Setosa
2.0	Setosa
6.3	Virginica
3.9	Setosa
9.1	Virginica
5.4	Versicolor
8.1	Versicolor
9.3	Virginica
7.9	Virginica
9.0	Versicolor
8.0	Virginica
7.1	Virginica
6.1	Setosa
9.9	Virginica
2.5	Setosa
6.0	Setosa
8.4	Versicolor
10.2	Virginica
5.3	Versicolor
5.8	Setosa
4.0	Versicolor
5.9	Setosa
10.4	Virginica
2.2	Setosa
6.1	Setosa
4.5	Setosa
5.8	Versicolor
5.2	Virginica
5.5	Versicolor
7.6	Versicolor
5.0	Setosa
6.4	Virginica
5.9	Setosa
9.2	Versicolor
7.7	Virginica
10.1	Virginica
8.0	Virginica
3.4	Setosa
7.2	Versicolor
8.5	Virginica
8.0	Versicolor
8.2	Versicolor
6.2	Versicolor
1.9	Setosa
8.0	Virginica
8.3	Virginica
5.3	Setosa
6.5	Versicolor
5.9	Setosa
8.6	Virginica
6.9	Versicolor
7.6	Virginica
6.6	Versicolor
4.8	Virginica
4.6	Versicolor
2.4	Setosa
5.0	Versicolor
5.4	Setosa
7.7	Virginica
7.3	Virginica
8.6	Virginica
