petal.length	petal.width	variety
6.6	4.2	Virginica
9.1	3.5	Virginica
9.0	3.3	Virginica
2.0	2.6	Setosa
9.2	4.5	Versicolor
7.1	5.9	Virginica
8.3	4.3	Virginica
10.4	5.1	Virginica
8.1	5.4	Virginica
5.1	5.9	Virginica
4.2	5.0	Versicolor
9.3	6.8	Virginica
4.9	3.6	Setosa
4.2	0.7	Setosa
8.9	6.5	Virginica
2.8	0.7	Setosa
7.0	2.5	Versicolor
7.1	1.3	Versicolor
4.9	1.9	Versicolor
7.4	2.1	Virginica
7.3	3.5	Versicolor
2.9	3.2	Setosa
6.9	3.7	Versicolor
4.2	2.5	Versicolor
7.5	3.2	Versicolor
8.6	4.8	Virginica
7.0	1.0	Versicolor
8.0	2.2	Versicolor
6.1	1.5	Versicolor
5.4	4.3	Virginica
5.3	0.7	Setosa
2.3	4.8	Setosa
6.4	4.3	Virginica
5.2	5.1	Versicolor
8.7	5.5	Virginica
2.5	2.7	Setosa
5.8	6.2	Virginica
2.6	1.4	Setosa
1.6	0.2	Setosa
8.1	2.8	Versicolor
4.7	2.9	Versicolor
4.6	3.7	Setosa
7.5	5.3	Versicolor
7.6	4.8	Virginica
7.5	2.0	Versicolor
2.3	0.7	Setosa
5.4	3.6	Setosa
6.0	3.8	Versicolor
8.2	3.2	Versicolor
4.3	1.2	Setosa
5.7	6.6	Virginica
4.4	4.2	Setosa
5.3	0.8	Setosa
5.9	1.5	Versicolor
4.0	1.8	Setosa
9.7	4.2	Virginica
1.4	4.3	Setosa
5.8	3.9	Setosa
4.5	4.7	Setosa
6.7	5.8	Virginica
6.3	2.6	Virginica
5.0	1.5	Versicolor
5.9	0.4	Setosa
6.6	2.3	Virginica
5.5	5.5	Virginica
8.6	3.8	Versicolor
4.4	1.2	Setosa
4.5	5.3	Versicolor
1.5	3.9	Setosa
7.8	2.3	Versicolor
4.2	4.3	Setosa
7.5	5.3	Virginica
7.2	6.8	Virginica
7.0	5.1	Virginica
6.4	3.6	Versicolor
6.6	2.0	Virginica
10.8	5.3	Virginica
5.7	4.3	Versicolor
8.3	2.4	Virginica
3.0	2.2	Setosa
6.1	2.0	Versicolor
7.8	5.6	Versicolor
5.9	0.3	Setosa
2.1	4.2	Setosa
6.6	6.9	Virginica
4.5	2.6	Versicolor
4.1	5.8	Versicolor
5.0	2.4	Virginica
4.2	2.7	Setosa
9.1	4.0	Virginica
5.6	3.7	Setosa
5.0	1.1	Versicolor
4.1	3.1	Setosa
1.5	3.7	Setosa
5.4	1.4	Versicolor
9.2	5.4	Versicolor
7.0	3.0	Versicolor
5.7	3.5	Setosa
6.7	2.2	Versicolor
7.6	5.9	Versicolor
7.3	1.9	Versicolor
6.1	1.6	Setosa
8.1	3.1	Virginica
5.1	6.1	Versicolor
4.8	3.3	Virginica
