sepal.width	petal.length	variety
7.3	10.9	Virginica
4.5	3.1	Setosa
8.2	4.5	Setosa
5.9	4.6	Setosa
4.0	6.0	Virginica
3.0	6.1	Setosa
7.2	5.1	Virginica
5.5	5.7	Virginica
6.6	7.0	Versicolor
3.8	7.2	Virginica
4.5	4.8	Setosa
5.7	8.0	Versicolor
5.2	8.6	Versicolor
6.3	8.4	Virginica
5.6	8.4	Versicolor
5.2	4.5	Setosa
4.7	1.8	Setosa
6.4	5.6	Versicolor
5.5	1.4	Setosa
7.1	3.5	Setosa
6.2	3.6	Setosa
6.4	7.1	Versicolor
4.6	6.0	Versicolor
4.9	4.9	Setosa
5.5	4.4	Setosa
8.3	5.5	Setosa
6.7	8.5	Virginica
4.0	5.5	Setosa
2.4	5.3	Versicolor
4.7	6.6	Virginica
7.1	6.0	Setosa
7.5	7.9	Versicolor
4.2	4.5	Versicolor
3.2	9.6	Virginica
4.6	6.9	Virginica
3.8	10.6	Virginica
7.0	9.8	Virginica
4.4	2.1	Setosa
4.3	1.4	Setosa
3.2	6.2	Virginica
6.6	8.1	Virginica
8.0	5.7	Setosa
7.1	3.0	Setosa
7.3	6.5	Virginica
3.3	6.3	Versicolor
4.6	2.4	Setosa
3.9	9.9	Virginica
5.7	8.4	Virginica
3.1	10.1	Virginica
4.2	6.3	Virginica
5.1	5.9	Versicolor
4.4	7.7	Versicolor
7.2	7.4	Versicolor
5.5	3.9	Setosa
5.8	5.0	Versicolor
8.0	1.6	Setosa
7.0	7.2	Versicolor
6.3	5.7	Versicolor
5.5	4.5	Virginica
3.9	5.5	Setosa
7.7	4.4	Setosa
7.2	4.7	Versicolor
2.8	4.6	Versicolor
5.3	4.5	Versicolor
4.2	7.5	Virginica
6.0	5.6	Versicolor
6.0	5.5	Virginica
3.6	6.1	Setosa
4.3	4.5	Versicolor
5.6	10.0	Virginica
4.9	4.3	Versicolor
7.4	5.6	Virginica
3.9	2.0	Setosa
5.8	6.7	Virginica
7.5	7.5	Versicolor
4.8	7.8	Virginica
4.0	7.0	Versicolor
4.8	10.7	Virginica
6.9	8.8	Versicolor
4.7	4.6	Versicolor
3.8	6.7	Virginica
5.4	2.9	Setosa
4.4	4.9	Setosa
7.1	9.2	Versicolor
5.8	6.1	Virginica
4.3	6.2	Setosa
5.8	8.4	Versicolor
7.5	10.1	Virginica
5.5	9.0	Virginica
6.4	8.8	Virginica
3.8	5.7	Versicolor
7.6	9.6	Virginica
4.5	4.3	Setosa
3.6	4.5	Setosa
5.2	7.9	Versicolor
3.5	6.6	Versicolor
3.7	4.7	Versicolor
5.5	8.4	Virginica
4.0	6.7	Versicolor
5.3	7.3	Versicolor
6.4	5.8	Versicolor
2.8	5.3	Setosa
7.2	6.8	Versicolor
7.8	4.2	Setosa
3.9	5.7	Setosa
