petal.length	variety
7.6	Virginica
5.9	Versicolor
4.5	Setosa
10.9	Virginica
3.5	Setosa
5.8	Virginica
5.1	Virginica
9.0	Versicolor
8.7	Versicolor
3.6	Versicolor
8.7	Virginica
5.8	Setosa
7.9	Versicolor
7.4	Virginica
8.9	Virginica
9.5	Versicolor
5.0	Setosa
4.9	Setosa
7.6	Virginica
3.0	Setosa
7.5	Versicolor
7.0	Versicolor
9.6	Virginica
6.6	Virginica
4.3	Versicolor
1.7	Setosa
6.7	Versicolor
6.1	Virginica
1.8	Setosa
4.8	Virginica
4.8	Versicolor
7.5	Virginica
3.5	Setosa
2.0	Setosa
8.8	Virginica
5.0	Versicolor
7.3	Virginica
2.0	Setosa
10.4	Virginica
4.7	Setosa
4.4	Setosa
6.7	Virginica
4.7	Versicolor
2.8	Setosa
9.1	Virginica
8.0	Versicolor
8.1	Versicolor
9.5	Virginica
8.5	Virginica
8.9	Virginica
8.9	Virginica
3.9	Setosa
3.6	Setosa
10.7	Virginica
4.6	Setosa
2.0	Setosa
6.6	Virginica
6.4	Versicolor
4.4	Versicolor
6.0	Setosa
8.6	Versicolor
1.4	Setosa
3.9	Setosa
6.8	Versicolor
1.9	Setosa
4.7	Versicolor
3.4	Setosa
9.1	Virginica
7.9	Versicolor
5.9	Setosa
8.1	Virginica
3.2	Setosa
4.5	Versicolor
5.9	Versicolor
5.3	Versicolor
5.1	Versicolor
6.4	Versicolor
2.2	Setosa
8.4	Virginica
8.8	Virginica
3.0	Setosa
7.0	Virginica
7.4	Virginica
8.8	Virginica
3.6	Setosa
6.5	Versicolor
4.5	Setosa
5.6	Virginica
7.5	Virginica
6.1	Virginica
7.4	Virginica
4.3	Setosa
4.7	Versicolor
8.1	Virginica
4.2	Versicolor
7.7	Virginica
5.0	Setosa
7.1	Virginica
5.4	Versicolor
4.1	Setosa
1.6	Setosa
2.4	Setosa
6.9	Versicolor
4.6	Versicolor
6.0	Versicolor
