sepal.length	sepal.width	variety
7.5	5.7	Setosa
8.2	4.9	Versicolor
7.7	7.1	Versicolor
6.9	7.4	Setosa
5.3	7.0	Setosa
5.6	7.7	Setosa
8.8	7.4	Virginica
7.8	2.9	Virginica
7.6	4.9	Setosa
8.1	5.3	Setosa
8.7	3.2	Versicolor
6.9	6.2	Virginica
7.4	3.2	Versicolor
8.8	4.2	Virginica
7.3	4.7	Versicolor
11.2	4.5	Versicolor
8.5	5.9	Versicolor
8.4	6.1	Setosa
7.8	6.3	Virginica
11.2	4.5	Virginica
7.6	3.1	Setosa
5.6	4.8	Virginica
6.7	6.5	Virginica
6.5	3.0	Versicolor
9.2	3.1	Versicolor
9.0	6.0	Setosa
6.9	4.7	Setosa
5.5	7.8	Setosa
7.0	2.6	Versicolor
7.1	5.2	Versicolor
8.5	7.6	Setosa
9.2	4.1	Virginica
8.2	7.7	Setosa
11.2	4.0	Virginica
8.3	5.2	Virginica
7.6	7.3	Versicolor
7.3	7.4	Virginica
8.9	6.5	Virginica
6.6	6.5	Versicolor
4.9	4.5	Setosa
8.8	7.0	Virginica
9.8	5.3	Versicolor
9.9	4.2	Virginica
8.1	3.0	Versicolor
7.7	3.0	Versicolor
7.8	3.5	Versicolor
10.8	2.3	Versicolor
9.2	7.2	Versicolor
10.9	3.6	Virginica
6.7	2.8	Versicolor
9.3	5.2	Virginica
8.9	2.8	Virginica
7.1	3.5	Versicolor
7.0	7.2	Versicolor
6.0	4.9	Versicolor
7.8	5.0	Virginica
11.0	4.0	Virginica
9.0	6.3	Versicolor
9.0	7.5	Setosa
7.0	4.5	Setosa
9.5	7.5	Setosa
10.1	4.5	Versicolor
8.2	3.2	Virginica
6.8	7.9	Setosa
8.0	4.5	Virginica
7.5	2.8	Setosa
9.4	5.1	Setosa
8.6	6.8	Setosa
6.7	6.1	Versicolor
5.8	8.2	Setosa
9.4	3.5	Versicolor
7.7	6.8	Virginica
8.1	8.3	Setosa
6.9	2.7	Virginica
6.1	7.4	Setosa
10.1	4.4	Versicolor
7.9	6.5	Setosa
10.2	5.1	Virginica
8.0	3.7	Virginica
7.4	5.0	Versicolor
9.2	7.4	Setosa
7.7	7.0	Setosa
5.6	8.0	Setosa
7.5	7.7	Setosa
6.0	2.8	Versicolor
9.0	5.5	Virginica
9.4	6.8	Virginica
8.9	6.3	Virginica
5.0	5.9	Setosa
5.1	6.6	Setosa
7.4	2.8	Virginica
8.5	2.7	Versicolor
8.6	7.0	Virginica
6.4	4.4	Versicolor
9.5	2.8	Versicolor
4.8	5.5	Setosa
9.6	3.5	Versicolor
7.4	4.7	Setosa
10.3	3.7	Virginica
8.0	3.9	Versicolor
9.1	6.5	Setosa
8.3	7.3	Virginica
10.4	3.9	Versicolor
10.0	3.2	Versicolor
11.4	4.1	Versicolor
