petal.length	petal.width	variety
5.5	2.9	Setosa
5.1	5.3	Virginica
4.7	4.5	Versicolor
8.2	2.2	Versicolor
6.7	5.5	Virginica
9.8	2.6	Virginica
7.1	4.0	Versicolor
4.0	1.3	Setosa
1.5	2.9	Setosa
7.5	4.8	Virginica
4.8	4.2	Setosa
7.0	5.8	Versicolor
2.2	2.7	Setosa
5.2	5.8	Versicolor
7.3	4.3	Virginica
4.5	4.2	Versicolor
8.4	6.3	Virginica
3.5	4.1	Setosa
6.3	1.3	Versicolor
8.1	2.4	Virginica
9.0	4.0	Virginica
6.3	2.8	Virginica
4.8	5.9	Versicolor
8.3	3.8	Virginica
8.6	3.3	Versicolor
1.5	0.2	Setosa
7.4	2.4	Versicolor
6.2	5.3	Virginica
4.4	0.2	Setosa
1.8	2.7	Setosa
7.3	6.3	Virginica
2.4	4.7	Setosa
4.5	2.0	Versicolor
7.4	5.3	Virginica
4.8	1.7	Setosa
7.9	1.1	Versicolor
6.8	1.6	Versicolor
5.5	3.2	Setosa
5.8	6.2	Virginica
6.3	2.4	Virginica
5.2	5.8	Versicolor
10.0	5.5	Virginica
4.8	3.7	Setosa
9.1	5.1	Virginica
8.6	6.2	Virginica
6.0	1.9	Virginica
5.0	5.5	Versicolor
8.6	3.9	Virginica
7.8	3.8	Virginica
3.9	2.6	Setosa
3.3	4.5	Versicolor
5.5	4.6	Versicolor
9.6	4.4	Virginica
4.6	3.4	Setosa
4.4	2.7	Versicolor
7.1	2.4	Virginica
6.0	4.0	Versicolor
9.0	2.7	Virginica
5.2	2.7	Setosa
2.4	3.7	Setosa
5.0	3.2	Setosa
5.3	4.3	Setosa
4.1	2.2	Setosa
5.5	2.0	Versicolor
5.4	2.1	Setosa
6.6	5.3	Versicolor
5.4	0.7	Setosa
7.7	3.2	Virginica
3.0	0.2	Setosa
8.2	5.5	Versicolor
6.6	4.9	Virginica
2.6	1.7	Setosa
5.9	3.3	Setosa
5.7	5.4	Versicolor
2.4	2.3	Setosa
5.7	3.2	Versicolor
3.6	1.6	Setosa
9.4	5.6	Virginica
6.1	1.4	Versicolor
6.4	4.3	Virginica
7.0	3.5	Virginica
2.7	2.0	Setosa
7.5	4.5	Versicolor
10.2	5.3	Virginica
2.0	3.4	Setosa
4.6	4.2	Setosa
6.4	3.8	Virginica
3.9	2.2	Setosa
6.4	3.4	Setosa
2.2	4.2	Setosa
1.3	2.8	Setosa
6.9	5.3	Versicolor
1.6	4.7	Setosa
5.1	2.1	Setosa
9.6	3.3	Virginica
5.1	2.5	Virginica
2.2	0.3	Setosa
5.5	4.7	Versicolor
5.4	1.3	Setosa
5.1	4.9	Virginica
8.7	5.9	Versicolor
1.6	1.2	Setosa
2.0	2.7	Setosa
5.9	1.7	Setosa
5.0	5.3	Versicolor
