petal.length	variety
9.8	Virginica
6.8	Virginica
9.7	Virginica
4.1	Versicolor
6.3	Virginica
5.2	Versicolor
2.1	Setosa
6.8	Versicolor
9.1	Virginica
7.7	Virginica
6.0	Versicolor
8.5	Versicolor
6.5	Virginica
4.9	Setosa
5.4	Virginica
3.1	Setosa
7.3	Virginica
7.6	Versicolor
5.9	Setosa
6.2	Setosa
9.0	Virginica
10.8	Virginica
7.0	Virginica
8.0	Versicolor
8.6	Versicolor
6.6	Virginica
4.6	Versicolor
8.0	Versicolor
5.5	Setosa
7.5	Versicolor
3.3	Setosa
5.9	Setosa
7.7	Versicolor
4.4	Versicolor
5.1	Virginica
5.0	Versicolor
3.6	Setosa
3.9	Setosa
2.5	Setosa
7.1	Virginica
8.4	Virginica
4.9	Versicolor
8.1	Versicolor
4.9	Setosa
1.7	Setosa
6.8	Virginica
6.5	Versicolor
5.5	Virginica
7.6	Versicolor
2.2	Setosa
5.0	Virginica
8.9	Versicolor
4.3	Setosa
8.0	Versicolor
6.2	Setosa
4.7	Versicolor
5.2	Versicolor
7.4	Versicolor
7.9	Virginica
8.0	Virginica
9.6	Virginica
6.1	Setosa
3.8	Setosa
8.3	Versicolor
6.0	Setosa
10.7	Virginica
2.9	Setosa
2.9	Setosa
10.2	Virginica
9.6	Virginica
8.9	Virginica
7.1	Versicolor
1.5	Setosa
6.7	Versicolor
9.1	Versicolor
5.5	Versicolor
7.0	Versicolor
7.8	Versicolor
5.3	Versicolor
8.1	Virginica
6.0	Versicolor
2.4	Setosa
4.5	Setosa
7.1	Virginica
4.9	Setosa
5.7	Versicolor
2.5	Setosa
8.8	Versicolor
2.0	Setosa
1.4	Setosa
9.3	Virginica
7.4	Versicolor
4.5	Setosa
1.5	Setosa
9.5	Virginica
4.6	Setosa
8.1	Virginica
7.1	Virginica
2.1	Setosa
9.7	Virginica
6.9	Virginica
9.5	Virginica
5.5	Setosa
4.9	Setosa
5.2	Versicolor
