petal.length	variety
8.5	Versicolor
4.3	Setosa
6.7	Versicolor
10.1	Virginica
5.8	Virginica
8.5	Versicolor
6.4	Virginica
1.4	Setosa
4.1	Setosa
7.8	Versicolor
6.0	Virginica
5.1	Virginica
10.6	Virginica
5.6	Virginica
5.2	Setosa
7.1	Virginica
6.9	Virginica
8.9	Virginica
5.9	Setosa
1.9	Setosa
5.7	Versicolor
6.5	Versicolor
5.6	Setosa
5.9	Virginica
6.5	Versicolor
6.4	Versicolor
7.2	Versicolor
5.9	Virginica
4.7	Versicolor
7.9	Versicolor
7.9	Versicolor
1.5	Setosa
6.7	Virginica
5.5	Setosa
10.4	Virginica
8.8	Versicolor
5.6	Setosa
2.3	Setosa
3.0	Setosa
6.4	Versicolor
6.6	Virginica
6.0	Versicolor
1.9	Setosa
5.5	Versicolor
2.1	Setosa
8.1	Versicolor
6.1	Virginica
9.6	Virginica
5.7	Setosa
6.6	Virginica
6.6	Versicolor
5.5	Versicolor
6.7	Virginica
7.7	Virginica
5.5	Setosa
5.8	Virginica
6.0	Setosa
5.9	Versicolor
1.4	Setosa
4.8	Setosa
4.5	Setosa
7.9	Versicolor
6.0	Setosa
2.1	Setosa
5.7	Setosa
2.4	Setosa
5.5	Setosa
5.7	Versicolor
5.9	Virginica
9.9	Virginica
6.2	Versicolor
2.5	Setosa
7.7	Virginica
4.8	Setosa
2.8	Setosa
1.4	Setosa
9.2	Versicolor
6.6	Virginica
5.3	Virginica
9.3	Virginica
8.1	Virginica
3.7	Setosa
4.4	Setosa
7.6	Virginica
3.3	Setosa
6.0	Virginica
7.6	Virginica
8.0	Virginica
7.3	Versicolor
5.6	Versicolor
8.8	Virginica
7.0	Versicolor
7.6	Versicolor
9.6	Virginica
7.4	Versicolor
3.9	Setosa
3.4	Setosa
7.6	Virginica
5.0	Versicolor
7.1	Versicolor
6.8	Virginica
9.4	Virginica
8.8	Virginica
1.0	Setosa
6.3	Versicolor
