sepal.width	petal.length	variety
6.4	3.4	Setosa
6.8	6.4	Virginica
5.5	1.3	Setosa
6.9	2.1	Setosa
4.0	5.8	Virginica
5.8	4.3	Setosa
4.0	6.0	Setosa
3.5	7.1	Virginica
6.6	9.4	Versicolor
7.7	5.2	Setosa
3.6	1.5	Setosa
2.6	7.6	Virginica
5.4	8.0	Versicolor
6.3	10.2	Virginica
3.7	4.3	Setosa
4.8	3.2	Setosa
7.2	7.1	Virginica
6.7	6.9	Virginica
5.7	5.8	Setosa
3.5	1.4	Setosa
3.7	9.8	Virginica
4.5	9.0	Versicolor
4.5	4.6	Setosa
7.3	9.2	Virginica
3.0	7.2	Virginica
3.0	6.2	Virginica
5.1	8.9	Virginica
6.0	3.4	Setosa
3.6	3.0	Setosa
7.2	2.0	Setosa
7.2	9.2	Versicolor
4.1	7.6	Virginica
6.1	10.0	Virginica
4.5	9.1	Virginica
6.7	8.5	Versicolor
5.8	3.5	Setosa
3.2	7.5	Virginica
5.3	6.3	Versicolor
4.0	5.0	Virginica
6.7	6.9	Versicolor
6.2	6.1	Versicolor
3.8	5.2	Setosa
2.8	3.8	Versicolor
3.8	6.1	Virginica
7.9	3.5	Setosa
6.5	1.8	Setosa
7.6	4.9	Setosa
6.0	2.4	Setosa
3.3	5.2	Versicolor
7.4	1.5	Setosa
4.7	4.4	Setosa
3.0	6.9	Versicolor
6.9	5.0	Versicolor
3.4	3.2	Setosa
2.9	6.8	Versicolor
4.1	4.0	Versicolor
5.8	4.9	Versicolor
5.0	5.8	Virginica
2.9	3.3	Versicolor
5.0	6.5	Virginica
6.3	2.9	Setosa
6.3	3.4	Setosa
7.0	7.9	Virginica
7.4	7.9	Virginica
3.9	3.5	Setosa
6.0	9.5	Virginica
6.3	9.1	Versicolor
6.1	5.6	Virginica
4.5	8.0	Versicolor
7.7	4.9	Setosa
5.1	2.5	Setosa
2.8	9.1	Virginica
2.8	6.6	Virginica
3.5	8.5	Versicolor
6.0	8.0	Virginica
5.0	7.0	Versicolor
6.5	7.0	Versicolor
3.8	4.0	Versicolor
3.3	7.0	Virginica
4.6	5.4	Versicolor
5.6	4.0	Setosa
3.8	6.5	Versicolor
4.1	1.4	Setosa
4.1	9.9	Virginica
5.9	4.8	Versicolor
6.7	8.4	Virginica
6.8	5.4	Virginica
4.4	3.7	Setosa
3.6	5.1	Setosa
2.6	5.0	Versicolor
5.0	1.9	Setosa
4.2	7.3	Virginica
3.9	4.0	Setosa
6.4	6.2	Versicolor
7.0	5.3	Setosa
5.5	6.6	Versicolor
3.8	6.8	Virginica
6.3	9.1	Virginica
4.4	1.8	Setosa
3.3	4.5	Versicolor
2.7	8.5	Versicolor
5.0	6.9	Versicolor
3.9	10.3	Virginica
4.1	6.2	Versicolor
3.3	6.1	Versicolor
