petal.width	variety
4.7	Versicolor
0.6	Setosa
4.7	Setosa
5.3	Virginica
1.2	Setosa
0.7	Setosa
6.3	Virginica
5.0	Versicolor
2.4	Versicolor
4.6	Virginica
3.8	Virginica
4.9	Versicolor
3.5	Virginica
5.8	Versicolor
4.8	Virginica
1.2	Versicolor
3.2	Versicolor
5.3	Versicolor
3.3	Virginica
2.5	Versicolor
1.2	Setosa
2.2	Setosa
0.4	Setosa
2.6	Versicolor
2.0	Virginica
3.3	Virginica
2.9	Virginica
1.7	Setosa
4.3	Versicolor
2.9	Virginica
6.1	Virginica
4.4	Virginica
4.5	Versicolor
3.0	Versicolor
4.7	Virginica
2.2	Setosa
1.9	Versicolor
5.8	Virginica
3.5	Virginica
2.3	Virginica
2.2	Setosa
1.4	Setosa
0.7	Setosa
3.5	Virginica
2.4	Setosa
4.3	Virginica
2.0	Versicolor
4.3	Virginica
5.5	Versicolor
2.7	Virginica
1.4	Virginica
5.6	Versicolor
1.8	Versicolor
3.0	Setosa
3.4	Setosa
4.6	Versicolor
3.1	Setosa
2.0	Virginica
3.3	Virginica
2.7	Setosa
2.6	Virginica
6.6	Virginica
1.7	Setosa
3.2	Setosa
5.3	Versicolor
4.6	Setosa
2.8	Virginica
2.6	Setosa
4.7	Setosa
2.7	Setosa
3.8	Setosa
0.7	Setosa
1.3	Versicolor
0.8	Setosa
5.2	Versicolor
0.2	Setosa
4.4	Versicolor
5.8	Virginica
3.8	Setosa
4.9	Versicolor
4.5	Versicolor
3.7	Setosa
2.4	Setosa
4.3	Virginica
4.5	Virginica
1.9	Setosa
0.8	Setosa
1.0	Versicolor
2.3	Versicolor
4.2	Setosa
0.7	Setosa
0.7	Setosa
2.6	Versicolor
4.5	Versicolor
2.6	Virginica
4.7	Virginica
4.5	Versicolor
5.0	Virginica
3.8	Versicolor
1.7	Setosa
2.0	Virginica
4.9	Setosa
1.2	Setosa
2.0	Versicolor
4.7	Setosa
