petal.width	variety
5.0	Virginica
4.7	Setosa
6.0	Versicolor
3.3	Virginica
1.6	Versicolor
1.5	Versicolor
1.8	Versicolor
2.1	Setosa
3.8	Setosa
3.7	Setosa
4.2	Virginica
2.4	Setosa
1.5	Versicolor
2.3	Versicolor
2.8	Versicolor
4.4	Setosa
1.7	Setosa
1.8	Virginica
4.0	Virginica
3.7	Setosa
6.3	Virginica
2.3	Versicolor
4.8	Versicolor
3.0	Versicolor
5.5	Versicolor
2.0	Versicolor
3.2	Setosa
6.3	Virginica
3.2	Setosa
2.7	Versicolor
3.7	Setosa
5.7	Virginica
6.5	Virginica
2.4	Versicolor
2.6	Versicolor
4.2	Setosa
5.8	Virginica
1.4	Virginica
4.6	Setosa
4.0	Versicolor
0.6	Setosa
5.6	Virginica
0.2	Setosa
5.5	Virginica
2.2	Setosa
4.3	Setosa
2.5	Versicolor
2.2	Setosa
2.6	Virginica
1.2	Versicolor
2.7	Setosa
1.8	Virginica
4.3	Versicolor
1.8	Versicolor
4.6	Setosa
1.1	Versicolor
2.8	Versicolor
3.1	Virginica
3.2	Setosa
3.8	Virginica
3.7	Versicolor
6.3	Virginica
2.4	Versicolor
1.8	Setosa
1.7	Setosa
1.1	Versicolor
1.9	Virginica
2.6	Virginica
3.7	Setosa
2.7	Setosa
3.5	Setosa
0.7	Setosa
4.8	Virginica
3.3	Virginica
4.2	Setosa
4.3	Virginica
4.8	Versicolor
2.2	Versicolor
3.9	Setosa
3.9	Setosa
3.3	Setosa
4.9	Virginica
3.1	Versicolor
3.2	Setosa
5.0	Versicolor
4.3	Virginica
1.7	Setosa
3.2	Setosa
2.9	Virginica
3.0	Versicolor
2.0	Versicolor
2.9	Setosa
2.3	Virginica
3.8	Setosa
5.3	Versicolor
2.9	Versicolor
4.5	Virginica
2.0	Virginica
6.9	Virginica
3.2	Versicolor
1.8	Setosa
3.5	Virginica
3.7	Setosa
0.7	Setosa
5.8	Versicolor
