sepal.length	sepal.width	petal.length	petal.width	variety
5.9	5.0	6.0	5.0	Versicolor
9.3	3.8	8.6	2.0	Virginica
8.0	4.0	1.6	4.2	Setosa
7.7	2.2	6.0	4.5	Versicolor
8.6	7.3	7.5	5.3	Versicolor
6.8	5.4	2.1	2.2	Setosa
10.2	5.3	6.7	6.6	Virginica
5.9	4.9	4.8	4.9	Setosa
7.2	4.0	8.3	1.8	Virginica
7.6	4.9	4.1	5.3	Versicolor
6.5	5.0	3.8	3.2	Setosa
5.1	4.0	2.4	2.2	Setosa
6.9	4.5	2.8	1.2	Setosa
7.4	4.9	6.3	5.0	Versicolor
11.9	6.8	8.4	5.0	Virginica
4.7	7.2	4.1	0.7	Setosa
9.7	5.8	9.7	7.0	Virginica
10.5	5.7	7.5	5.0	Virginica
11.4	6.6	5.9	3.1	Virginica
10.8	7.2	9.4	6.3	Virginica
5.7	8.6	5.5	3.6	Setosa
9.7	6.8	7.5	5.8	Versicolor
8.8	4.4	8.3	4.3	Virginica
5.1	6.7	1.5	2.9	Setosa
9.8	5.2	4.4	1.7	Versicolor
5.8	8.5	3.2	4.7	Setosa
8.0	5.9	6.5	5.5	Versicolor
8.7	7.3	1.7	1.8	Setosa
8.0	7.6	1.4	0.7	Setosa
10.0	5.5	8.8	4.7	Virginica
9.4	3.1	3.5	4.6	Setosa
4.8	3.0	5.9	2.8	Setosa
6.1	5.3	4.7	5.0	Setosa
7.8	5.7	7.6	5.0	Versicolor
11.1	3.9	5.6	4.3	Versicolor
9.4	5.7	10.2	5.3	Virginica
6.1	3.6	3.5	2.7	Setosa
8.0	6.4	4.6	0.9	Setosa
8.9	4.7	2.8	0.7	Setosa
8.2	3.0	7.6	4.3	Virginica
8.9	5.3	6.6	4.2	Virginica
9.1	4.0	7.5	1.5	Versicolor
6.9	6.4	5.7	4.9	Setosa
11.1	4.0	5.9	5.4	Versicolor
9.2	5.6	6.9	3.4	Versicolor
6.5	7.0	8.0	3.8	Versicolor
8.0	4.3	5.8	2.0	Versicolor
4.8	3.0	2.4	2.6	Setosa
7.9	5.4	1.5	2.4	Setosa
9.0	6.2	4.5	2.0	Versicolor
6.2	6.9	7.2	4.3	Versicolor
10.1	4.8	6.2	5.7	Versicolor
8.1	4.9	5.5	2.2	Setosa
10.2	5.0	5.0	2.2	Versicolor
9.3	7.9	2.4	3.7	Setosa
9.2	5.4	3.4	2.2	Setosa
7.7	4.0	6.3	2.6	Virginica
7.3	3.8	8.1	5.9	Virginica
6.0	7.2	2.4	2.2	Setosa
9.1	3.2	4.7	4.8	Versicolor
7.7	3.6	3.5	4.5	Versicolor
9.9	3.2	8.8	6.3	Virginica
9.0	7.7	6.7	2.4	Versicolor
8.1	7.1	8.6	2.9	Virginica
8.1	4.8	7.9	5.0	Virginica
6.4	7.2	7.8	5.8	Versicolor
6.9	6.9	4.9	0.7	Setosa
9.8	4.8	7.8	3.9	Versicolor
5.1	7.2	4.4	2.2	Setosa
11.7	6.3	6.7	2.0	Virginica
7.3	3.4	7.1	3.3	Virginica
7.4	7.5	7.7	4.5	Versicolor
6.2	3.8	8.3	5.8	Virginica
7.9	6.6	9.6	3.3	Virginica
10.7	7.5	6.7	2.3	Virginica
7.2	7.0	9.5	5.0	Virginica
10.6	3.0	8.6	2.4	Versicolor
6.9	5.6	3.9	1.6	Setosa
9.9	6.7	8.3	2.9	Virginica
8.0	7.3	2.4	3.2	Setosa
8.0	7.5	9.5	1.8	Virginica
7.3	6.8	5.4	1.8	Versicolor
7.0	6.0	5.8	2.8	Virginica
10.8	3.3	8.2	2.1	Versicolor
10.1	7.5	8.6	2.1	Virginica
7.7	6.5	2.0	2.7	Setosa
8.6	6.8	2.6	1.7	Setosa
5.8	5.2	9.1	3.9	Virginica
8.4	6.4	3.7	2.2	Setosa
5.6	7.5	4.1	5.3	Versicolor
10.2	6.9	7.8	5.8	Versicolor
8.8	7.3	7.0	3.5	Virginica
7.8	5.6	3.1	1.7	Setosa
10.3	3.0	9.4	6.0	Versicolor
8.7	8.4	1.5	0.4	Setosa
9.7	5.6	5.2	3.0	Versicolor
7.8	3.0	7.5	3.6	Virginica
7.7	4.5	4.7	5.2	Versicolor
11.7	3.1	10.9	4.8	Virginica
6.8	4.7	6.0	1.2	Setosa
10.7	4.7	9.0	2.8	Virginica
6.6	6.3	3.9	4.9	Setosa
5.5	3.9	7.8	1.6	Versicolor
9.9	3.3	8.6	2.6	Virginica
10.9	4.2	6.5	3.0	Versicolor
