sepal.length	sepal.width	petal.length	petal.width	variety
9.4	5.9	2.7	3.4	Setosa
4.8	5.6	6.1	0.2	Setosa
10.0	6.0	8.8	5.3	Virginica
7.4	6.7	6.3	2.9	Virginica
9.7	6.9	4.0	3.4	Setosa
6.1	6.8	3.9	4.9	Setosa
8.5	3.7	6.6	4.1	Versicolor
5.6	4.0	7.0	3.5	Versicolor
7.2	4.5	7.0	5.2	Versicolor
10.4	5.8	7.6	6.4	Virginica
8.1	4.4	4.7	2.9	Versicolor
8.3	3.7	8.9	6.3	Virginica
6.5	7.5	8.8	2.2	Virginica
5.5	8.0	6.1	3.1	Setosa
9.7	2.8	6.0	5.3	Versicolor
10.0	4.7	5.5	2.0	Virginica
7.4	4.9	1.5	0.9	Setosa
8.5	7.5	5.6	0.7	Setosa
8.8	7.2	6.9	5.2	Versicolor
8.6	4.6	5.0	0.2	Setosa
7.7	5.5	5.8	4.6	Virginica
9.7	5.1	7.6	5.4	Virginica
5.6	4.5	2.4	4.2	Setosa
7.9	6.0	4.7	5.0	Versicolor
9.9	6.3	5.6	5.7	Virginica
7.5	6.4	5.0	4.7	Setosa
10.3	4.4	10.8	2.3	Virginica
8.2	6.9	4.8	4.8	Versicolor
6.4	7.0	9.0	4.7	Virginica
6.4	6.6	6.0	2.6	Setosa
10.7	2.6	6.9	4.3	Virginica
8.6	7.7	4.5	3.4	Setosa
5.1	7.9	3.0	1.7	Setosa
10.1	3.0	7.1	3.1	Virginica
7.5	6.7	9.6	6.5	Virginica
7.9	3.7	4.5	2.5	Versicolor
6.2	4.7	2.8	0.7	Setosa
7.9	4.3	7.1	4.1	Virginica
6.8	5.9	5.6	3.4	Virginica
7.4	7.1	9.9	6.1	Virginica
8.5	3.8	6.3	4.0	Versicolor
8.6	6.5	4.9	2.8	Setosa
7.1	6.0	8.9	4.4	Versicolor
7.5	2.3	7.5	3.3	Versicolor
5.9	3.7	1.8	4.2	Setosa
8.7	4.8	9.2	5.7	Virginica
6.5	4.8	6.1	1.5	Versicolor
7.8	3.3	7.3	2.9	Versicolor
7.7	6.7	8.0	2.5	Versicolor
6.2	8.3	5.7	3.8	Setosa
8.5	7.2	3.9	0.2	Setosa
9.6	7.5	6.9	5.3	Virginica
8.4	6.5	7.1	4.8	Virginica
11.2	3.3	10.2	6.1	Virginica
11.2	5.0	8.3	6.3	Virginica
10.7	3.9	9.4	4.3	Virginica
7.8	4.7	8.1	5.4	Virginica
11.2	6.2	7.0	5.8	Virginica
5.7	4.6	5.0	1.0	Versicolor
9.0	5.7	6.7	3.9	Versicolor
9.7	7.9	3.9	2.2	Setosa
8.2	5.3	9.2	4.5	Virginica
9.1	6.1	2.5	0.7	Setosa
6.5	2.9	9.0	2.5	Versicolor
8.7	7.5	8.7	4.7	Versicolor
6.6	6.4	6.6	2.3	Versicolor
8.0	7.6	2.4	1.2	Setosa
7.9	6.6	3.0	0.7	Setosa
7.6	6.0	7.4	6.6	Virginica
6.6	3.5	4.6	1.9	Versicolor
10.7	3.0	8.1	6.8	Virginica
6.8	6.7	8.6	2.4	Virginica
7.0	4.4	5.0	5.6	Versicolor
6.0	3.5	1.8	3.7	Setosa
7.6	5.0	7.4	3.1	Versicolor
8.4	5.1	5.9	2.1	Setosa
5.6	7.2	7.2	2.3	Versicolor
6.0	3.3	2.4	3.2	Setosa
7.7	7.3	6.1	2.3	Versicolor
4.4	5.0	4.8	4.7	Setosa
8.3	3.4	9.1	5.8	Virginica
7.0	7.0	5.5	5.3	Versicolor
7.5	2.2	7.5	3.0	Versicolor
7.9	5.2	8.8	3.8	Virginica
8.6	5.6	10.1	3.9	Virginica
7.1	5.0	3.5	3.6	Versicolor
8.3	7.4	4.6	1.7	Setosa
4.6	3.7	1.4	2.2	Setosa
7.4	7.4	6.3	3.3	Versicolor
6.3	3.4	5.9	0.2	Setosa
7.7	7.6	3.0	1.6	Setosa
8.5	3.5	6.2	6.0	Virginica
6.8	5.1	4.5	3.2	Versicolor
9.8	8.0	5.7	2.2	Setosa
6.3	6.0	8.9	5.0	Versicolor
7.4	6.9	3.2	1.2	Setosa
11.2	5.1	6.9	5.4	Versicolor
7.0	4.4	6.7	1.0	Versicolor
9.3	7.7	5.0	2.2	Setosa
9.7	2.8	9.7	6.5	Virginica
6.3	4.8	6.5	3.0	Virginica
8.8	6.3	7.1	2.0	Virginica
6.7	4.7	3.6	4.7	Setosa
9.0	3.8	5.3	0.8	Setosa
9.3	6.0	7.5	6.4	Virginica
