petal.length	variety
7.8	Versicolor
8.1	Versicolor
8.4	Versicolor
6.1	Setosa
3.4	Setosa
5.2	Versicolor
2.8	Setosa
6.5	Virginica
6.2	Virginica
1.9	Setosa
5.4	Setosa
4.5	Versicolor
7.5	Virginica
5.5	Versicolor
3.2	Setosa
8.6	Virginica
8.7	Virginica
1.3	Setosa
7.7	Versicolor
5.0	Versicolor
5.5	Setosa
7.6	Versicolor
6.3	Virginica
7.4	Versicolor
8.0	Versicolor
1.7	Setosa
6.4	Virginica
6.4	Virginica
8.2	Versicolor
7.2	Versicolor
5.6	Virginica
7.4	Versicolor
4.3	Setosa
6.5	Versicolor
2.4	Setosa
7.9	Virginica
1.5	Setosa
5.9	Versicolor
6.2	Virginica
1.2	Setosa
1.8	Setosa
4.1	Versicolor
7.3	Versicolor
5.1	Virginica
7.3	Virginica
4.4	Setosa
3.6	Setosa
3.6	Setosa
7.3	Virginica
5.0	Versicolor
8.6	Virginica
6.4	Virginica
5.6	Setosa
5.2	Versicolor
10.2	Virginica
5.0	Setosa
7.6	Virginica
1.5	Setosa
7.3	Virginica
8.0	Virginica
6.0	Virginica
6.0	Versicolor
6.6	Versicolor
3.3	Versicolor
4.6	Versicolor
3.9	Setosa
5.8	Versicolor
8.3	Virginica
7.3	Versicolor
3.2	Setosa
5.3	Setosa
6.1	Virginica
7.4	Virginica
5.5	Setosa
7.5	Versicolor
10.3	Virginica
5.3	Setosa
4.7	Versicolor
6.5	Versicolor
4.5	Versicolor
2.5	Setosa
1.5	Setosa
10.2	Virginica
8.2	Versicolor
4.9	Setosa
6.1	Virginica
6.5	Versicolor
7.0	Versicolor
4.2	Setosa
5.6	Setosa
6.6	Versicolor
6.9	Versicolor
8.4	Virginica
1.5	Setosa
8.6	Virginica
5.0	Virginica
4.5	Setosa
5.5	Setosa
5.9	Versicolor
1.4	Setosa
7.2	Versicolor
8.5	Versicolor
4.3	Versicolor
5.6	Virginica
8.7	Versicolor
