sepal.length	sepal.width	petal.length	petal.width	variety
7.7	3.0	9.0	4.2	Versicolor
6.1	6.3	4.2	0.5	Setosa
10.3	3.7	6.1	2.9	Virginica
9.3	3.5	10.0	3.1	Virginica
9.2	4.6	6.1	4.4	Virginica
10.3	2.8	9.6	4.4	Virginica
6.2	5.4	7.7	3.8	Versicolor
6.3	5.8	9.5	4.0	Virginica
6.2	7.2	5.6	0.7	Setosa
7.6	2.5	4.9	2.1	Versicolor
9.2	3.8	7.7	4.6	Virginica
4.9	3.2	3.8	0.2	Setosa
8.8	4.7	4.4	1.7	Versicolor
9.0	4.4	6.3	1.1	Versicolor
5.1	7.2	5.9	1.7	Setosa
5.6	7.1	3.5	2.7	Setosa
8.8	6.5	1.1	1.1	Setosa
6.7	4.4	4.4	4.7	Setosa
7.6	7.3	4.6	1.7	Setosa
9.3	4.4	9.6	6.3	Virginica
6.1	6.6	1.0	1.2	Setosa
7.5	2.2	5.5	4.0	Virginica
7.1	4.9	1.5	2.2	Setosa
8.8	6.9	2.4	1.7	Setosa
8.3	2.5	8.9	5.5	Versicolor
6.4	5.1	4.5	0.6	Setosa
8.9	3.7	6.7	5.8	Virginica
10.0	5.0	4.5	1.8	Versicolor
8.0	6.5	3.8	1.2	Setosa
6.7	5.9	6.9	2.8	Virginica
8.0	6.0	9.3	5.7	Virginica
6.4	6.5	5.4	1.2	Setosa
9.5	4.0	2.3	3.3	Setosa
8.7	3.7	7.5	4.8	Virginica
6.3	6.0	1.2	3.2	Setosa
9.2	5.0	2.0	0.7	Setosa
7.3	7.2	6.0	1.2	Setosa
6.1	4.0	9.4	5.3	Virginica
8.8	6.7	4.9	1.8	Virginica
7.1	5.5	8.1	5.9	Versicolor
6.1	3.5	6.6	3.3	Versicolor
10.9	3.2	9.3	4.9	Virginica
5.6	4.5	3.9	3.7	Setosa
5.9	7.7	5.3	4.8	Versicolor
7.7	3.3	10.2	3.0	Virginica
7.7	5.1	10.9	6.8	Virginica
11.0	4.5	8.2	5.0	Virginica
8.5	4.7	7.0	2.5	Versicolor
7.0	5.7	5.4	3.7	Setosa
9.6	4.8	3.9	0.9	Setosa
11.1	6.0	11.1	6.6	Virginica
6.1	7.2	4.7	1.8	Versicolor
6.0	5.7	5.1	4.1	Versicolor
6.0	7.9	4.6	4.9	Setosa
6.7	3.5	8.7	5.8	Virginica
7.4	6.7	8.8	5.3	Virginica
10.0	5.5	6.0	5.8	Virginica
10.7	5.0	6.3	2.3	Virginica
10.3	5.8	8.8	3.9	Versicolor
9.9	4.4	1.5	2.9	Setosa
7.6	7.4	8.1	3.8	Versicolor
8.5	3.6	5.9	3.2	Setosa
10.2	3.0	6.0	2.0	Virginica
6.6	6.4	4.7	2.4	Versicolor
8.1	6.5	7.4	2.9	Versicolor
9.0	7.7	8.6	4.5	Virginica
6.9	7.6	9.5	3.8	Virginica
9.2	6.3	9.3	1.8	Virginica
6.4	5.4	4.7	1.9	Setosa
5.1	5.0	3.4	0.8	Setosa
6.2	5.6	6.0	4.6	Setosa
6.4	5.3	6.6	5.6	Virginica
9.1	5.0	5.5	5.1	Versicolor
9.1	4.5	7.0	4.0	Versicolor
6.5	3.1	8.9	3.7	Versicolor
8.8	3.5	4.4	1.3	Setosa
11.2	3.6	8.2	1.5	Versicolor
10.8	2.8	5.6	5.0	Virginica
6.4	3.0	5.0	6.0	Versicolor
8.6	4.8	6.9	2.0	Virginica
8.4	6.5	6.6	5.8	Virginica
5.7	8.4	4.0	0.4	Setosa
7.7	5.1	6.6	7.0	Virginica
11.1	5.9	5.1	1.3	Versicolor
6.2	2.7	4.9	5.9	Versicolor
8.9	4.1	2.0	0.2	Setosa
11.7	6.5	7.8	6.1	Virginica
8.0	4.5	4.6	0.7	Setosa
8.3	2.9	9.8	1.8	Virginica
8.4	6.8	8.1	4.9	Virginica
6.4	7.7	2.5	2.7	Setosa
7.7	5.8	6.2	7.0	Virginica
7.3	6.2	9.1	4.9	Virginica
10.4	6.1	8.1	3.3	Virginica
9.5	7.9	2.0	3.7	Setosa
6.2	5.8	6.1	1.8	Versicolor
9.4	4.8	8.4	5.0	Virginica
8.9	4.4	3.9	1.7	Setosa
8.1	5.6	10.1	3.4	Virginica
8.0	6.8	7.0	3.8	Versicolor
9.8	4.6	8.5	2.7	Versicolor
9.7	6.6	4.0	2.0	Versicolor
6.0	4.2	5.2	3.2	Setosa
9.7	2.8	7.0	1.8	Versicolor
6.9	4.4	3.8	4.4	Setosa
