sepal.width	petal.length	petal.width	variety
6.8	6.2	3.6	Versicolor
8.0	4.7	4.7	Setosa
6.1	3.5	2.0	Versicolor
7.0	6.9	4.9	Versicolor
3.8	7.1	6.4	Virginica
7.3	4.1	0.7	Setosa
3.4	6.8	1.8	Versicolor
5.9	9.6	5.8	Virginica
5.2	6.9	5.8	Virginica
8.3	5.7	4.8	Setosa
6.6	9.6	5.0	Virginica
5.5	10.1	5.6	Virginica
6.4	9.2	5.9	Versicolor
4.0	4.0	4.3	Versicolor
5.9	5.2	2.8	Versicolor
7.1	5.9	3.7	Versicolor
6.0	3.8	0.2	Setosa
5.7	2.5	0.7	Setosa
7.9	2.0	3.4	Setosa
6.0	6.2	5.5	Virginica
8.2	3.0	4.7	Setosa
3.6	8.0	2.8	Virginica
7.3	5.7	1.0	Setosa
3.9	9.3	4.3	Virginica
6.8	5.3	2.5	Versicolor
7.9	10.1	5.9	Virginica
7.6	4.7	1.5	Versicolor
7.9	1.4	3.2	Setosa
5.5	7.5	3.0	Versicolor
6.8	7.0	7.0	Virginica
5.2	7.0	2.5	Versicolor
4.5	3.4	2.3	Setosa
6.8	10.9	6.5	Virginica
5.3	7.5	3.8	Versicolor
3.5	3.0	1.7	Setosa
7.3	10.1	4.1	Virginica
7.7	6.1	4.5	Virginica
5.2	7.1	4.6	Versicolor
4.0	7.8	1.8	Virginica
3.1	10.9	3.3	Virginica
6.5	1.3	4.7	Setosa
3.5	5.9	4.2	Setosa
5.2	5.7	4.8	Versicolor
3.9	1.5	3.2	Setosa
4.5	2.4	3.3	Setosa
3.3	8.0	5.3	Versicolor
6.0	4.9	1.1	Versicolor
4.0	7.9	5.6	Virginica
6.8	2.8	1.3	Setosa
5.8	8.3	5.9	Versicolor
5.2	1.9	1.7	Setosa
2.5	5.5	4.5	Virginica
4.3	7.1	1.5	Virginica
4.9	1.6	0.9	Setosa
6.7	4.0	3.5	Versicolor
2.3	8.5	2.3	Versicolor
5.9	5.3	4.9	Setosa
6.6	4.5	3.7	Versicolor
5.1	4.4	4.6	Setosa
5.7	3.7	0.7	Setosa
6.5	3.9	4.6	Setosa
3.7	3.3	2.2	Setosa
6.0	10.1	3.3	Virginica
4.0	7.4	6.0	Versicolor
5.9	4.7	2.9	Setosa
6.2	9.0	1.5	Virginica
3.4	5.5	1.5	Versicolor
2.8	6.4	4.0	Virginica
5.9	3.0	0.4	Setosa
4.4	4.2	4.5	Versicolor
5.9	6.1	1.3	Versicolor
4.3	3.4	4.2	Setosa
4.6	4.9	2.9	Versicolor
6.3	10.6	4.4	Virginica
4.5	6.5	1.0	Versicolor
3.4	6.0	1.6	Versicolor
3.8	7.7	4.5	Virginica
5.3	10.7	3.7	Virginica
6.6	6.1	4.9	Virginica
3.8	4.6	3.5	Versicolor
4.6	2.0	1.1	Setosa
5.2	6.4	1.2	Versicolor
6.2	3.9	5.4	Versicolor
3.6	5.4	1.2	Setosa
4.0	6.0	3.2	Virginica
4.5	7.5	2.7	Versicolor
3.4	3.7	0.7	Setosa
7.2	5.6	1.9	Virginica
2.8	4.1	4.8	Versicolor
3.8	3.4	2.4	Setosa
6.3	3.0	4.3	Setosa
3.2	9.8	4.8	Virginica
3.6	8.4	3.1	Virginica
5.2	6.6	3.4	Virginica
4.2	3.3	0.2	Setosa
5.2	9.9	5.3	Virginica
7.4	5.1	3.2	Setosa
3.5	7.1	4.4	Versicolor
6.9	7.1	1.3	Versicolor
4.8	8.2	2.7	Versicolor
7.6	3.5	1.7	Setosa
4.6	1.5	2.2	Setosa
3.6	8.4	5.5	Versicolor
3.4	5.4	2.7	Setosa
7.1	5.0	4.6	Setosa
