petal.width	variety
2.8	Versicolor
6.0	Versicolor
2.7	Versicolor
6.5	Virginica
2.4	Virginica
1.7	Versicolor
2.2	Setosa
3.7	Setosa
2.5	Virginica
4.7	Setosa
2.6	Setosa
3.8	Virginica
1.9	Setosa
3.1	Virginica
1.8	Setosa
3.2	Versicolor
1.9	Setosa
5.8	Virginica
4.8	Versicolor
4.6	Virginica
3.4	Virginica
0.3	Setosa
3.3	Virginica
4.6	Versicolor
3.7	Setosa
3.1	Virginica
1.8	Virginica
1.1	Setosa
4.2	Setosa
2.8	Virginica
2.0	Versicolor
4.6	Setosa
4.8	Versicolor
5.0	Versicolor
3.0	Versicolor
5.0	Virginica
5.3	Virginica
2.9	Virginica
0.7	Setosa
2.6	Setosa
0.8	Setosa
2.6	Versicolor
3.3	Versicolor
3.3	Versicolor
5.0	Versicolor
4.0	Virginica
3.4	Setosa
3.6	Versicolor
5.5	Versicolor
3.6	Versicolor
1.5	Virginica
2.7	Setosa
2.0	Versicolor
4.9	Versicolor
4.5	Virginica
0.9	Setosa
6.2	Virginica
1.9	Virginica
3.3	Virginica
3.7	Setosa
4.5	Virginica
3.7	Setosa
4.7	Setosa
4.9	Versicolor
3.2	Virginica
2.6	Versicolor
6.4	Virginica
3.9	Setosa
3.7	Setosa
4.3	Virginica
2.7	Setosa
4.3	Virginica
3.2	Versicolor
4.1	Setosa
5.1	Virginica
3.7	Setosa
3.2	Setosa
4.2	Setosa
4.2	Setosa
5.0	Versicolor
1.5	Versicolor
0.2	Setosa
3.5	Versicolor
4.7	Setosa
5.3	Virginica
3.3	Virginica
4.4	Virginica
3.8	Versicolor
4.2	Virginica
2.3	Virginica
0.2	Setosa
6.1	Virginica
3.2	Versicolor
3.8	Virginica
5.5	Versicolor
4.8	Virginica
6.0	Versicolor
3.8	Versicolor
2.0	Virginica
2.7	Setosa
6.3	Virginica
5.6	Versicolor
3.3	Virginica
3.0	Versicolor
2.7	Setosa
