sepal.width	petal.length	variety
4.2	5.5	Setosa
3.7	7.0	Virginica
7.4	5.4	Setosa
6.0	8.2	Virginica
3.3	10.5	Virginica
5.8	6.1	Virginica
4.3	5.1	Virginica
3.2	5.4	Setosa
4.3	6.7	Virginica
5.5	3.9	Setosa
4.0	1.3	Setosa
5.2	2.0	Setosa
5.8	2.4	Setosa
5.2	5.9	Versicolor
5.9	8.2	Versicolor
8.1	7.6	Virginica
3.8	5.3	Versicolor
3.2	9.6	Virginica
5.5	5.1	Setosa
3.2	5.2	Setosa
3.0	9.6	Virginica
3.8	4.0	Versicolor
6.6	7.9	Versicolor
4.4	4.9	Setosa
4.3	8.6	Virginica
3.9	6.4	Virginica
5.4	6.0	Setosa
4.9	8.6	Virginica
4.5	8.5	Virginica
4.0	5.3	Setosa
3.1	9.9	Virginica
6.0	6.0	Versicolor
6.0	2.0	Setosa
3.5	8.8	Virginica
5.5	6.3	Virginica
7.5	2.4	Setosa
2.7	5.9	Versicolor
3.3	8.2	Versicolor
7.9	2.2	Setosa
5.1	6.6	Virginica
5.2	5.6	Setosa
5.2	6.7	Versicolor
5.7	6.6	Versicolor
6.3	7.3	Versicolor
3.4	1.5	Setosa
4.9	5.0	Versicolor
3.0	10.6	Virginica
4.4	4.5	Setosa
4.0	1.9	Setosa
7.0	6.4	Versicolor
3.9	8.3	Versicolor
3.0	7.5	Virginica
4.1	6.0	Setosa
7.3	2.5	Setosa
6.7	5.8	Setosa
4.0	3.0	Versicolor
7.5	8.7	Versicolor
4.7	9.2	Versicolor
6.6	7.9	Versicolor
6.8	6.1	Versicolor
7.7	7.3	Virginica
4.4	2.5	Setosa
4.4	4.5	Versicolor
7.2	7.3	Virginica
7.5	1.6	Setosa
7.1	4.9	Setosa
3.7	6.8	Versicolor
6.3	8.7	Virginica
3.4	7.2	Versicolor
3.5	8.1	Versicolor
2.6	8.5	Versicolor
6.8	9.1	Versicolor
5.0	7.5	Versicolor
7.5	5.0	Versicolor
4.6	8.1	Virginica
7.3	2.6	Setosa
5.9	5.9	Setosa
5.5	6.9	Virginica
5.3	9.2	Virginica
6.7	5.9	Virginica
5.2	7.1	Versicolor
5.3	1.8	Setosa
4.0	8.3	Virginica
5.4	5.7	Versicolor
5.4	2.1	Setosa
6.2	9.4	Virginica
4.2	4.5	Versicolor
5.5	5.5	Versicolor
7.3	8.4	Virginica
6.0	4.6	Setosa
7.2	3.5	Setosa
7.0	7.9	Versicolor
5.0	8.9	Versicolor
2.9	8.3	Versicolor
4.1	6.1	Virginica
5.1	4.1	Setosa
3.0	6.3	Virginica
4.5	6.1	Versicolor
2.8	6.8	Virginica
5.1	6.0	Virginica
4.3	2.2	Setosa
5.9	5.8	Setosa
4.0	3.3	Setosa
2.9	8.6	Versicolor
3.3	5.7	Setosa
