sepal.length	sepal.width	petal.length	petal.width	variety
7.9	5.2	8.8	3.8	Versicolor
5.0	3.9	2.0	0.2	Setosa
8.7	8.3	2.7	2.3	Setosa
7.2	6.1	3.5	3.1	Setosa
8.2	6.8	6.5	5.3	Versicolor
7.4	5.9	1.5	1.4	Setosa
8.7	5.5	7.5	2.5	Virginica
8.2	4.5	6.7	1.2	Versicolor
9.6	5.0	4.6	2.9	Versicolor
10.2	3.8	10.2	5.0	Virginica
6.7	4.8	6.6	5.8	Versicolor
8.4	7.5	3.8	2.7	Setosa
8.1	6.5	8.4	5.6	Versicolor
8.6	4.3	4.0	4.8	Versicolor
8.6	7.1	4.5	4.2	Setosa
5.8	6.7	3.5	2.2	Setosa
9.3	7.0	6.9	5.5	Versicolor
8.2	5.1	7.4	3.4	Versicolor
7.7	6.7	5.9	1.9	Versicolor
7.8	3.8	5.7	3.1	Versicolor
8.2	8.1	10.6	3.0	Virginica
8.8	7.2	6.1	3.4	Virginica
8.1	2.5	6.0	4.1	Versicolor
6.9	4.4	5.4	4.2	Setosa
10.1	5.1	9.6	1.9	Virginica
11.9	6.3	7.4	3.5	Virginica
10.5	4.0	9.7	6.0	Virginica
7.8	3.7	6.4	5.7	Versicolor
6.7	7.4	2.0	3.4	Setosa
11.8	4.4	9.8	6.3	Virginica
10.3	7.4	8.1	6.3	Virginica
8.6	5.2	7.7	3.8	Versicolor
7.3	6.0	4.9	0.1	Setosa
8.9	7.5	4.7	6.0	Versicolor
6.2	4.9	4.7	2.3	Versicolor
9.8	3.2	8.1	1.0	Versicolor
9.9	3.6	6.1	3.8	Virginica
7.0	3.7	8.1	4.1	Versicolor
10.8	7.0	7.0	6.4	Virginica
10.5	3.9	7.5	3.5	Versicolor
9.9	3.0	9.6	4.8	Virginica
4.9	3.6	6.0	2.6	Setosa
5.7	5.7	4.3	2.2	Setosa
10.2	7.2	6.0	2.3	Virginica
8.5	6.0	2.6	5.1	Setosa
7.7	2.9	8.3	5.3	Versicolor
9.0	2.9	6.3	2.6	Versicolor
7.9	5.4	1.7	2.2	Setosa
8.5	3.4	5.5	4.6	Versicolor
6.5	5.8	5.5	3.3	Versicolor
8.1	5.3	1.7	2.5	Setosa
9.8	2.7	8.9	5.3	Virginica
11.2	3.6	6.6	6.4	Virginica
7.3	6.0	5.9	2.3	Setosa
6.2	3.8	8.3	6.3	Virginica
11.0	4.7	7.7	1.9	Versicolor
5.3	5.4	3.6	4.7	Setosa
7.8	6.1	5.6	0.2	Setosa
11.4	6.6	5.9	6.6	Virginica
7.7	3.2	5.1	2.7	Setosa
8.5	3.0	6.5	4.8	Versicolor
8.3	3.8	7.6	3.5	Virginica
10.6	4.0	5.9	3.1	Virginica
4.8	5.5	2.1	0.6	Setosa
5.4	3.0	6.0	5.5	Versicolor
6.2	4.6	5.0	3.0	Versicolor
6.5	5.8	7.8	5.5	Versicolor
5.4	7.5	3.9	4.7	Setosa
9.2	5.8	10.2	5.7	Virginica
6.2	6.0	2.0	4.7	Setosa
8.1	7.0	6.9	4.4	Versicolor
11.7	5.5	7.3	3.1	Virginica
10.7	4.3	7.7	3.1	Virginica
7.6	6.4	6.2	5.9	Versicolor
6.4	3.8	9.6	3.1	Virginica
10.3	3.2	5.6	4.9	Virginica
8.6	6.0	2.4	0.8	Setosa
10.8	4.9	9.6	3.9	Virginica
11.7	4.5	8.1	2.3	Virginica
7.5	2.7	4.0	4.0	Versicolor
8.9	6.7	8.7	2.8	Virginica
8.8	5.8	7.1	4.9	Virginica
6.6	7.4	7.1	4.8	Versicolor
9.3	6.7	7.9	3.3	Virginica
8.6	3.9	9.1	2.8	Versicolor
11.4	4.3	6.6	3.4	Virginica
7.6	7.5	8.1	3.1	Virginica
8.9	4.9	6.8	3.3	Versicolor
7.3	6.3	8.8	3.9	Versicolor
6.2	5.4	6.4	3.8	Virginica
9.2	6.0	8.2	6.8	Virginica
10.4	4.1	6.5	5.3	Virginica
6.3	4.8	4.9	3.3	Versicolor
7.7	4.0	7.0	2.7	Versicolor
7.6	5.4	2.0	4.7	Setosa
6.6	4.3	1.5	4.8	Setosa
7.6	5.7	5.9	4.2	Setosa
10.4	7.7	8.0	5.5	Versicolor
9.1	4.4	4.4	3.3	Setosa
10.0	3.9	7.7	5.5	Versicolor
10.7	4.5	6.3	2.3	Virginica
9.0	5.0	8.8	4.2	Virginica
6.0	7.0	2.8	2.8	Setosa
7.0	3.5	5.0	3.5	Versicolor
9.6	2.8	7.9	6.5	Virginica
