sepal.width	variety
7.3	Virginica
3.3	Setosa
3.9	Setosa
3.4	Virginica
6.1	Setosa
3.3	Versicolor
7.7	Setosa
5.1	Virginica
6.5	Setosa
5.8	Virginica
6.5	Versicolor
2.9	Versicolor
2.3	Versicolor
7.4	Setosa
2.9	Versicolor
5.4	Versicolor
3.3	Versicolor
5.7	Setosa
7.8	Virginica
5.6	Virginica
3.7	Versicolor
7.3	Setosa
7.2	Virginica
4.1	Versicolor
6.2	Versicolor
7.3	Versicolor
4.0	Setosa
6.2	Versicolor
5.0	Virginica
6.9	Setosa
7.2	Versicolor
5.7	Virginica
7.3	Versicolor
3.5	Versicolor
4.0	Versicolor
3.9	Versicolor
3.6	Virginica
7.3	Virginica
7.4	Versicolor
6.5	Setosa
7.1	Versicolor
6.5	Virginica
4.5	Virginica
4.5	Versicolor
3.9	Versicolor
5.3	Setosa
7.4	Setosa
4.9	Setosa
4.6	Versicolor
3.5	Virginica
2.2	Virginica
5.3	Setosa
3.7	Virginica
5.0	Versicolor
4.0	Versicolor
4.5	Virginica
3.8	Virginica
6.5	Versicolor
4.9	Versicolor
3.7	Virginica
5.4	Setosa
4.8	Virginica
3.8	Versicolor
6.5	Setosa
4.2	Setosa
4.5	Virginica
5.9	Virginica
4.6	Versicolor
4.5	Setosa
2.7	Versicolor
6.3	Virginica
5.5	Virginica
6.7	Virginica
5.6	Setosa
5.9	Virginica
7.4	Setosa
4.5	Versicolor
4.1	Setosa
4.9	Versicolor
6.2	Versicolor
8.0	Setosa
6.4	Versicolor
5.8	Versicolor
5.7	Versicolor
3.5	Virginica
7.0	Setosa
2.7	Virginica
6.6	Setosa
7.5	Versicolor
4.7	Virginica
6.4	Versicolor
7.4	Setosa
8.3	Setosa
6.5	Virginica
5.8	Virginica
5.3	Virginica
5.0	Versicolor
7.7	Setosa
5.4	Virginica
5.2	Setosa
7.4	Setosa
5.5	Setosa
7.2	Setosa
4.0	Setosa
7.3	Setosa
