sepal.length	sepal.width	petal.length	variety
8.7	5.1	7.4	Versicolor
5.6	5.0	7.0	Versicolor
8.7	6.6	10.1	Virginica
9.6	7.5	7.4	Versicolor
7.5	6.7	7.5	Versicolor
7.1	8.0	3.4	Setosa
7.3	7.4	4.4	Setosa
10.0	6.1	4.9	Versicolor
10.2	7.7	8.0	Virginica
12.2	3.1	9.4	Virginica
7.0	3.5	7.5	Versicolor
7.6	7.3	6.0	Versicolor
9.9	3.9	1.7	Setosa
8.4	5.9	7.3	Versicolor
6.5	2.4	7.7	Versicolor
5.6	4.3	6.0	Setosa
7.6	4.2	1.4	Setosa
9.1	5.4	5.0	Setosa
4.4	4.2	2.8	Setosa
9.9	7.2	7.3	Virginica
8.5	6.5	5.8	Virginica
6.5	4.0	3.3	Setosa
6.2	6.7	1.8	Setosa
10.3	2.5	5.4	Versicolor
7.1	7.3	1.7	Setosa
7.7	6.0	9.5	Versicolor
6.7	5.6	4.5	Versicolor
9.3	3.2	4.9	Versicolor
8.1	6.6	3.5	Setosa
7.8	5.9	9.8	Virginica
9.6	6.1	8.1	Virginica
10.7	6.5	6.6	Virginica
8.9	2.7	8.3	Virginica
10.6	5.8	9.2	Versicolor
9.6	3.0	7.4	Versicolor
8.0	5.7	4.9	Setosa
9.3	7.2	7.1	Virginica
6.6	4.0	5.9	Setosa
7.0	6.0	3.8	Setosa
8.0	2.7	6.0	Virginica
6.2	8.9	2.5	Setosa
9.5	7.0	6.8	Virginica
6.4	3.7	8.5	Versicolor
10.4	7.3	6.6	Virginica
7.2	6.1	3.5	Setosa
8.4	7.4	5.9	Setosa
6.9	5.6	5.4	Virginica
7.5	7.4	1.5	Setosa
9.7	5.3	7.7	Virginica
7.1	6.4	8.2	Versicolor
7.9	4.8	6.4	Virginica
8.9	6.6	8.6	Virginica
4.9	3.0	4.9	Setosa
9.2	3.9	5.3	Versicolor
6.5	6.4	8.5	Versicolor
6.4	7.6	6.0	Virginica
9.3	6.5	5.5	Virginica
8.7	6.0	6.3	Virginica
8.9	4.3	7.1	Virginica
7.0	4.2	8.2	Versicolor
10.9	3.9	4.8	Versicolor
9.5	3.0	5.0	Versicolor
10.7	5.3	8.2	Virginica
7.3	4.9	6.6	Virginica
5.7	6.9	2.4	Setosa
6.2	6.5	5.2	Versicolor
6.5	3.2	4.2	Setosa
9.4	4.0	5.5	Versicolor
7.0	4.3	5.0	Versicolor
10.7	6.3	9.3	Virginica
5.0	7.3	3.9	Setosa
6.5	6.9	8.5	Versicolor
7.2	4.3	9.0	Versicolor
8.4	8.4	5.2	Setosa
9.8	7.4	6.1	Virginica
4.8	5.0	5.1	Setosa
7.8	6.5	6.0	Virginica
9.9	5.7	7.8	Versicolor
6.4	4.6	3.4	Setosa
6.4	7.3	5.6	Virginica
8.9	4.5	8.7	Versicolor
8.2	2.7	5.5	Versicolor
11.0	5.5	8.0	Virginica
7.6	6.8	8.4	Virginica
7.5	4.7	9.6	Versicolor
7.1	5.4	5.6	Versicolor
7.8	6.3	7.7	Versicolor
10.2	4.8	8.2	Virginica
8.8	5.5	5.4	Setosa
6.8	3.3	8.0	Virginica
7.4	5.5	8.1	Virginica
6.9	4.4	2.0	Setosa
9.6	7.0	6.4	Virginica
8.2	6.2	5.1	Setosa
8.1	3.0	6.6	Versicolor
5.0	7.9	4.6	Setosa
6.9	3.2	10.2	Virginica
8.1	5.4	5.4	Setosa
6.3	4.8	4.4	Versicolor
8.0	4.2	7.6	Virginica
7.3	6.7	4.9	Virginica
7.7	6.5	8.7	Virginica
7.6	6.2	7.7	Versicolor
7.2	6.5	7.8	Virginica
7.7	6.1	6.6	Virginica
