sepal.width	petal.length	petal.width	variety
6.8	2.4	2.4	Setosa
3.6	6.2	3.0	Versicolor
3.4	5.6	2.2	Setosa
3.4	8.8	1.3	Versicolor
7.6	8.0	4.8	Virginica
6.2	5.8	3.3	Virginica
7.8	6.0	2.8	Setosa
7.0	5.6	4.7	Setosa
4.5	5.0	1.9	Virginica
3.6	6.1	3.8	Virginica
7.4	7.6	4.3	Versicolor
8.3	4.6	0.2	Setosa
5.2	5.7	3.8	Virginica
6.1	4.5	4.5	Versicolor
6.4	5.0	0.4	Setosa
7.9	6.1	0.4	Setosa
5.7	6.8	5.3	Versicolor
3.5	6.6	2.3	Virginica
5.2	7.9	1.2	Versicolor
6.0	8.9	2.0	Versicolor
6.4	4.7	1.4	Versicolor
3.8	5.7	4.3	Setosa
3.9	4.0	1.2	Setosa
3.1	6.6	3.4	Virginica
6.0	8.3	3.2	Virginica
8.0	3.9	0.8	Setosa
5.0	6.6	3.4	Versicolor
7.1	2.5	0.7	Setosa
3.0	8.5	4.7	Versicolor
5.1	7.1	5.0	Virginica
3.8	8.2	4.7	Versicolor
5.3	8.5	2.3	Versicolor
7.3	9.7	5.2	Virginica
4.7	6.1	3.6	Versicolor
3.8	7.9	3.5	Virginica
3.7	3.5	4.7	Setosa
3.0	5.2	3.2	Versicolor
4.0	8.9	6.6	Virginica
3.2	4.4	1.4	Versicolor
7.2	2.4	1.2	Setosa
7.0	4.9	0.2	Setosa
7.6	3.0	4.1	Setosa
7.7	1.2	4.2	Setosa
7.0	4.3	0.2	Setosa
2.9	4.8	3.0	Versicolor
2.8	4.9	2.8	Versicolor
5.6	7.9	3.1	Virginica
3.5	5.2	6.8	Virginica
5.5	6.0	5.7	Virginica
5.8	9.1	6.4	Virginica
6.2	5.0	3.5	Versicolor
4.8	7.6	4.3	Versicolor
5.9	4.9	4.2	Setosa
7.3	10.2	3.5	Virginica
5.5	3.3	2.2	Setosa
6.4	6.0	4.7	Setosa
6.6	5.0	5.2	Versicolor
7.9	5.5	5.1	Versicolor
6.2	9.0	3.3	Virginica
7.2	5.3	1.7	Setosa
5.7	4.5	3.4	Setosa
5.2	4.9	1.7	Setosa
3.5	8.5	2.3	Versicolor
4.1	1.5	4.2	Setosa
5.2	7.6	5.0	Virginica
2.0	5.0	2.5	Versicolor
4.3	7.9	6.5	Virginica
7.0	3.3	4.3	Setosa
7.1	5.4	4.0	Versicolor
3.9	5.8	1.9	Setosa
6.0	8.1	2.3	Versicolor
7.1	7.6	3.9	Virginica
6.5	7.0	4.6	Virginica
7.1	4.4	3.4	Versicolor
3.2	6.5	1.5	Versicolor
4.2	8.5	6.0	Versicolor
4.4	4.9	0.7	Setosa
4.0	5.2	3.0	Versicolor
8.1	5.4	2.6	Setosa
4.5	4.4	3.1	Setosa
3.2	9.9	6.8	Virginica
4.5	6.9	2.3	Virginica
5.0	1.6	4.6	Setosa
5.8	5.1	3.5	Versicolor
6.7	5.8	2.7	Setosa
7.5	2.1	1.6	Setosa
7.9	3.9	3.7	Setosa
6.8	7.1	5.4	Virginica
2.8	5.8	3.0	Versicolor
6.5	2.7	1.2	Setosa
7.9	5.2	3.7	Setosa
2.8	10.1	2.6	Virginica
3.5	8.5	5.8	Virginica
3.0	9.3	2.1	Virginica
5.4	7.2	1.3	Versicolor
4.3	7.3	5.9	Versicolor
4.5	5.9	5.9	Versicolor
4.0	7.0	3.5	Versicolor
7.5	4.9	0.2	Setosa
5.6	7.4	3.3	Virginica
3.6	2.5	3.2	Setosa
7.3	3.9	3.2	Setosa
3.9	9.1	3.3	Versicolor
6.0	9.3	3.3	Virginica
6.4	7.2	2.0	Versicolor
