petal.width	variety
2.2	Setosa
4.7	Setosa
4.2	Versicolor
0.7	Setosa
6.4	Virginica
2.7	Setosa
4.7	Setosa
4.3	Setosa
6.3	Virginica
2.6	Virginica
4.8	Virginica
1.4	Setosa
6.4	Virginica
5.0	Virginica
2.7	Setosa
3.1	Versicolor
5.4	Virginica
1.5	Virginica
5.3	Virginica
3.4	Setosa
3.7	Versicolor
3.9	Setosa
3.3	Versicolor
4.6	Setosa
6.1	Virginica
0.7	Setosa
3.9	Versicolor
4.8	Setosa
4.4	Virginica
6.3	Virginica
2.5	Versicolor
2.0	Virginica
3.7	Setosa
5.7	Virginica
3.3	Versicolor
1.3	Versicolor
2.3	Virginica
1.2	Setosa
5.6	Versicolor
3.7	Setosa
4.8	Versicolor
1.7	Setosa
1.7	Versicolor
1.6	Virginica
2.2	Setosa
4.7	Setosa
4.4	Versicolor
2.2	Setosa
2.2	Setosa
5.1	Virginica
3.2	Setosa
1.5	Versicolor
3.3	Virginica
2.0	Setosa
3.4	Virginica
2.8	Virginica
0.7	Setosa
3.7	Setosa
3.2	Setosa
2.3	Virginica
4.3	Versicolor
5.9	Virginica
6.3	Virginica
4.3	Virginica
2.5	Virginica
2.4	Virginica
4.9	Versicolor
1.7	Setosa
4.5	Versicolor
1.8	Setosa
2.4	Versicolor
5.3	Versicolor
6.0	Virginica
5.4	Versicolor
4.0	Versicolor
3.0	Versicolor
2.7	Setosa
1.8	Setosa
2.3	Setosa
5.5	Virginica
3.8	Versicolor
4.1	Versicolor
2.9	Setosa
0.9	Setosa
2.6	Virginica
3.6	Setosa
4.3	Virginica
4.5	Versicolor
1.1	Setosa
0.8	Setosa
4.8	Versicolor
1.5	Versicolor
4.6	Versicolor
2.7	Virginica
0.4	Setosa
4.0	Versicolor
1.1	Versicolor
3.8	Virginica
5.9	Versicolor
1.7	Virginica
3.0	Virginica
5.6	Versicolor
2.6	Setosa
5.4	Versicolor
5.6	Virginica
