petal.width	variety
3.7	Versicolor
3.2	Setosa
1.2	Setosa
2.0	Virginica
2.3	Versicolor
2.8	Versicolor
1.3	Setosa
1.5	Virginica
4.0	Versicolor
5.9	Versicolor
6.0	Versicolor
2.3	Versicolor
5.4	Virginica
6.3	Virginica
4.6	Virginica
6.1	Virginica
2.7	Versicolor
0.9	Setosa
6.8	Virginica
3.4	Virginica
1.7	Versicolor
1.7	Versicolor
2.3	Versicolor
2.3	Virginica
2.8	Versicolor
3.8	Versicolor
6.3	Virginica
2.2	Setosa
3.5	Versicolor
6.3	Virginica
3.0	Virginica
2.6	Virginica
2.2	Setosa
1.8	Setosa
1.9	Setosa
2.2	Setosa
2.6	Setosa
0.2	Setosa
5.1	Versicolor
4.9	Virginica
2.9	Versicolor
0.7	Setosa
5.8	Virginica
4.5	Versicolor
3.8	Virginica
4.8	Versicolor
5.4	Virginica
4.4	Versicolor
6.5	Virginica
3.0	Virginica
4.0	Versicolor
3.3	Virginica
1.2	Setosa
3.1	Versicolor
0.4	Setosa
5.9	Virginica
1.3	Setosa
3.7	Setosa
4.8	Virginica
5.3	Virginica
5.0	Setosa
5.0	Virginica
0.1	Setosa
0.4	Setosa
4.2	Virginica
1.5	Versicolor
0.7	Setosa
0.7	Setosa
4.3	Virginica
6.6	Virginica
6.3	Virginica
2.8	Versicolor
3.8	Versicolor
2.9	Versicolor
3.4	Virginica
5.7	Versicolor
3.4	Virginica
1.2	Setosa
0.1	Setosa
4.8	Virginica
4.1	Versicolor
0.2	Setosa
3.3	Virginica
4.5	Versicolor
0.1	Setosa
6.6	Virginica
3.6	Virginica
1.9	Setosa
4.5	Virginica
4.5	Versicolor
1.4	Versicolor
5.8	Versicolor
3.8	Versicolor
6.0	Versicolor
2.8	Virginica
5.0	Versicolor
2.1	Versicolor
2.5	Versicolor
2.0	Virginica
6.3	Virginica
4.2	Setosa
2.0	Virginica
6.7	Virginica
3.7	Setosa
2.8	Setosa
