sepal.length	sepal.width	variety
10.2	3.5	Virginica
5.9	6.9	Setosa
6.0	3.4	Setosa
6.6	4.0	Setosa
5.8	5.9	Setosa
7.0	3.7	Virginica
11.7	4.8	Virginica
9.7	5.4	Setosa
7.6	6.1	Setosa
7.1	5.0	Versicolor
7.1	4.0	Versicolor
8.5	7.5	Virginica
7.5	3.7	Versicolor
7.0	5.5	Setosa
10.2	6.3	Virginica
9.6	3.5	Versicolor
10.3	7.2	Virginica
6.7	3.1	Versicolor
8.6	6.3	Setosa
9.4	4.1	Versicolor
7.7	6.6	Versicolor
10.2	8.3	Setosa
8.3	2.7	Versicolor
8.1	4.5	Versicolor
9.7	3.8	Virginica
8.6	4.2	Setosa
10.5	4.4	Versicolor
6.8	3.5	Virginica
8.4	7.2	Virginica
7.1	2.5	Versicolor
9.8	3.9	Virginica
7.3	2.6	Versicolor
9.5	5.5	Setosa
5.4	4.1	Setosa
9.5	6.2	Versicolor
9.6	5.6	Virginica
6.8	3.0	Setosa
9.8	7.2	Setosa
9.2	3.7	Setosa
6.6	5.8	Setosa
10.8	6.4	Virginica
8.2	7.0	Versicolor
10.7	5.2	Versicolor
5.0	4.1	Setosa
9.3	5.9	Virginica
9.2	3.1	Versicolor
8.4	4.2	Virginica
7.7	5.8	Versicolor
9.0	3.9	Versicolor
8.2	6.6	Virginica
7.2	7.3	Versicolor
7.9	4.4	Setosa
7.4	3.8	Virginica
7.1	6.3	Versicolor
7.5	2.4	Versicolor
5.5	5.4	Setosa
7.4	7.6	Virginica
9.6	6.4	Versicolor
9.5	4.0	Virginica
7.1	6.5	Virginica
9.8	4.7	Virginica
10.4	2.8	Virginica
5.7	4.7	Setosa
11.7	5.5	Virginica
6.1	5.3	Setosa
7.1	3.2	Versicolor
8.4	6.1	Virginica
10.1	3.9	Versicolor
9.4	3.5	Versicolor
10.0	5.5	Versicolor
10.2	4.1	Virginica
7.4	3.4	Versicolor
9.2	4.7	Virginica
7.8	6.8	Versicolor
9.3	6.3	Virginica
6.6	5.8	Setosa
6.4	6.0	Versicolor
7.7	2.9	Versicolor
9.5	5.8	Versicolor
6.6	3.6	Setosa
9.2	5.0	Versicolor
6.6	3.7	Setosa
9.4	4.2	Virginica
6.9	4.0	Setosa
5.9	4.4	Setosa
6.7	5.4	Setosa
8.0	6.8	Versicolor
6.9	2.5	Virginica
5.9	6.2	Versicolor
5.7	8.0	Setosa
12.2	7.3	Virginica
5.8	4.2	Virginica
5.5	5.7	Setosa
8.7	6.1	Virginica
7.7	3.9	Versicolor
6.5	7.0	Virginica
5.6	3.4	Setosa
8.0	2.8	Setosa
6.4	7.9	Setosa
9.2	4.3	Virginica
6.9	7.7	Setosa
7.1	6.5	Versicolor
8.3	5.5	Setosa
5.5	4.0	Versicolor
10.1	7.5	Virginica
