sepal.length	variety
7.2	Versicolor
8.7	Versicolor
8.9	Virginica
10.6	Versicolor
5.4	Setosa
9.5	Versicolor
8.5	Setosa
7.9	Virginica
7.5	Setosa
7.0	Setosa
5.6	Setosa
6.1	Setosa
7.2	Virginica
8.7	Virginica
8.4	Versicolor
8.9	Virginica
5.7	Setosa
8.8	Virginica
4.3	Setosa
10.5	Versicolor
6.6	Setosa
9.6	Versicolor
8.0	Virginica
9.9	Versicolor
7.2	Versicolor
5.2	Setosa
6.8	Setosa
10.2	Setosa
7.4	Virginica
6.6	Versicolor
9.9	Setosa
7.8	Virginica
11.2	Versicolor
9.3	Versicolor
10.9	Virginica
9.4	Setosa
8.8	Virginica
7.8	Setosa
6.7	Virginica
6.1	Setosa
9.9	Virginica
6.9	Virginica
9.4	Versicolor
6.4	Setosa
9.7	Virginica
9.2	Versicolor
11.7	Virginica
5.8	Setosa
6.5	Versicolor
7.8	Virginica
8.0	Virginica
8.8	Versicolor
7.8	Virginica
9.2	Setosa
9.3	Setosa
10.7	Virginica
8.8	Virginica
9.3	Versicolor
8.2	Setosa
6.4	Versicolor
10.8	Virginica
10.8	Virginica
7.9	Setosa
7.3	Versicolor
4.4	Setosa
6.1	Versicolor
6.6	Versicolor
7.1	Setosa
8.5	Versicolor
9.1	Versicolor
9.5	Setosa
7.1	Versicolor
9.8	Versicolor
6.5	Virginica
8.5	Versicolor
9.1	Versicolor
7.3	Virginica
9.8	Virginica
7.0	Setosa
6.4	Setosa
5.6	Setosa
5.7	Versicolor
9.1	Setosa
6.0	Versicolor
4.8	Setosa
6.2	Versicolor
7.4	Setosa
9.2	Virginica
6.5	Versicolor
9.2	Setosa
6.4	Virginica
8.9	Versicolor
10.0	Virginica
5.5	Setosa
7.4	Virginica
9.7	Virginica
7.9	Setosa
8.5	Setosa
10.3	Virginica
7.2	Setosa
7.5	Virginica
11.6	Virginica
9.2	Virginica
10.2	Versicolor
5.8	Versicolor
