sepal.length	variety
4.6	Setosa
10.5	Virginica
6.1	Versicolor
7.3	Setosa
4.8	Setosa
8.3	Virginica
9.2	Setosa
7.4	Virginica
8.5	Setosa
8.2	Virginica
5.9	Virginica
8.7	Virginica
9.6	Setosa
6.8	Versicolor
6.9	Setosa
5.4	Setosa
7.5	Versicolor
6.3	Versicolor
11.1	Versicolor
6.7	Virginica
10.9	Virginica
6.7	Virginica
7.4	Versicolor
8.8	Virginica
6.4	Virginica
9.4	Versicolor
9.1	Versicolor
8.5	Virginica
7.1	Versicolor
6.6	Setosa
8.7	Versicolor
8.3	Virginica
8.7	Setosa
10.2	Virginica
5.1	Setosa
7.6	Versicolor
7.3	Versicolor
7.2	Versicolor
10.3	Virginica
10.0	Versicolor
5.6	Versicolor
6.1	Versicolor
9.4	Virginica
4.4	Setosa
9.3	Virginica
9.4	Setosa
8.5	Versicolor
8.9	Versicolor
8.4	Setosa
9.5	Versicolor
9.7	Versicolor
7.0	Setosa
9.0	Versicolor
9.2	Virginica
6.7	Versicolor
4.9	Setosa
10.3	Virginica
7.9	Setosa
7.4	Versicolor
7.7	Virginica
8.0	Setosa
6.4	Setosa
4.8	Setosa
8.9	Virginica
7.4	Virginica
7.0	Setosa
6.6	Setosa
7.9	Virginica
11.5	Versicolor
7.6	Setosa
8.1	Setosa
10.6	Virginica
8.3	Virginica
4.9	Setosa
7.4	Versicolor
8.2	Versicolor
11.2	Virginica
5.8	Setosa
7.7	Virginica
8.7	Setosa
10.8	Virginica
10.9	Virginica
7.2	Setosa
7.5	Setosa
9.3	Setosa
5.6	Virginica
5.5	Setosa
6.7	Virginica
7.2	Setosa
8.1	Setosa
7.6	Versicolor
6.0	Setosa
6.4	Versicolor
10.1	Virginica
10.7	Virginica
6.4	Virginica
10.0	Versicolor
7.7	Versicolor
10.9	Versicolor
7.8	Setosa
7.0	Versicolor
5.4	Setosa
8.7	Versicolor
8.7	Virginica
5.4	Virginica
