sepal.width	petal.length	variety
3.9	8.3	Virginica
4.1	5.4	Virginica
6.7	6.0	Setosa
3.0	5.5	Versicolor
6.5	9.7	Virginica
5.8	5.7	Virginica
4.1	10.1	Virginica
4.8	7.8	Versicolor
7.8	4.2	Setosa
5.1	1.4	Setosa
7.4	6.4	Setosa
6.4	1.4	Setosa
7.4	9.1	Virginica
2.8	8.7	Versicolor
7.8	5.5	Setosa
4.0	5.5	Virginica
3.8	6.1	Versicolor
5.6	3.5	Versicolor
5.9	6.1	Setosa
6.1	2.5	Setosa
4.0	8.6	Versicolor
7.3	5.8	Virginica
3.8	6.6	Versicolor
6.2	5.1	Setosa
3.0	5.2	Versicolor
6.0	5.5	Versicolor
3.0	3.1	Setosa
7.4	6.0	Setosa
7.1	8.9	Versicolor
8.1	7.6	Virginica
3.7	8.1	Versicolor
4.4	3.5	Setosa
4.2	4.1	Versicolor
5.9	4.3	Versicolor
4.2	3.9	Versicolor
6.8	8.9	Virginica
6.6	2.6	Setosa
6.0	8.0	Virginica
4.4	2.2	Setosa
7.7	9.6	Virginica
7.6	5.1	Virginica
5.1	6.7	Versicolor
6.5	6.9	Versicolor
3.7	7.4	Virginica
3.7	4.9	Setosa
3.5	2.9	Setosa
3.5	3.9	Setosa
3.5	7.1	Virginica
7.4	3.6	Versicolor
6.5	6.4	Virginica
5.7	9.1	Virginica
4.5	2.8	Setosa
5.1	1.5	Setosa
5.5	5.2	Setosa
4.8	7.2	Virginica
7.4	2.6	Setosa
5.9	6.1	Virginica
6.5	9.0	Virginica
6.8	6.2	Setosa
7.1	4.9	Setosa
5.1	8.9	Versicolor
4.7	5.6	Virginica
3.4	5.9	Setosa
6.9	3.7	Setosa
4.5	6.5	Versicolor
7.4	8.7	Versicolor
4.8	6.4	Versicolor
4.9	2.5	Setosa
4.1	2.5	Setosa
4.9	4.8	Versicolor
5.0	2.9	Setosa
4.7	5.2	Versicolor
5.0	9.0	Virginica
4.1	3.5	Setosa
4.3	2.3	Setosa
6.9	7.4	Virginica
4.7	2.5	Setosa
2.8	5.6	Virginica
2.7	5.0	Versicolor
4.0	7.5	Versicolor
6.5	7.8	Virginica
6.9	7.0	Versicolor
4.8	8.0	Versicolor
3.7	1.3	Setosa
6.7	8.0	Virginica
7.2	5.3	Setosa
3.8	7.6	Virginica
3.8	8.7	Versicolor
4.2	6.7	Versicolor
4.6	6.4	Versicolor
3.5	4.6	Setosa
5.0	4.5	Setosa
5.8	4.9	Setosa
4.5	1.4	Setosa
2.5	8.5	Versicolor
6.1	1.5	Setosa
5.1	5.5	Versicolor
4.8	4.1	Setosa
4.7	5.5	Versicolor
6.0	3.8	Setosa
6.4	9.1	Versicolor
6.7	9.7	Virginica
4.3	3.4	Setosa
4.5	10.6	Virginica
5.2	7.8	Versicolor
