petal.width	variety
2.3	Setosa
4.3	Versicolor
2.0	Virginica
4.5	Versicolor
0.1	Setosa
2.9	Versicolor
4.2	Setosa
3.7	Setosa
3.3	Virginica
5.8	Virginica
5.4	Versicolor
4.2	Setosa
2.7	Setosa
3.8	Virginica
4.7	Setosa
4.0	Virginica
3.5	Setosa
3.7	Setosa
1.7	Setosa
3.6	Virginica
6.0	Virginica
2.6	Setosa
5.6	Virginica
6.3	Virginica
6.1	Versicolor
2.2	Versicolor
5.8	Virginica
3.7	Versicolor
1.2	Setosa
4.0	Versicolor
3.8	Virginica
3.4	Setosa
3.2	Versicolor
4.9	Versicolor
2.5	Versicolor
4.7	Setosa
5.8	Virginica
2.3	Virginica
2.5	Versicolor
3.9	Setosa
3.7	Setosa
1.2	Setosa
2.5	Versicolor
5.2	Versicolor
4.2	Setosa
1.5	Versicolor
5.9	Virginica
2.7	Virginica
4.4	Setosa
5.5	Virginica
1.9	Setosa
5.5	Versicolor
5.6	Versicolor
3.0	Virginica
3.4	Virginica
4.8	Setosa
2.1	Versicolor
5.5	Versicolor
6.4	Virginica
3.6	Setosa
1.7	Setosa
4.2	Setosa
3.8	Versicolor
6.0	Versicolor
2.7	Setosa
3.5	Virginica
4.6	Virginica
6.3	Virginica
4.2	Setosa
4.4	Virginica
0.6	Setosa
0.7	Setosa
1.9	Virginica
5.8	Virginica
4.8	Versicolor
2.1	Versicolor
2.5	Versicolor
1.9	Versicolor
3.5	Virginica
3.1	Virginica
5.4	Virginica
2.2	Virginica
5.9	Virginica
2.9	Setosa
4.3	Virginica
2.7	Setosa
2.6	Setosa
0.7	Setosa
4.3	Virginica
2.2	Versicolor
3.1	Virginica
1.3	Versicolor
4.6	Virginica
2.3	Virginica
2.2	Setosa
2.2	Virginica
4.4	Virginica
4.8	Versicolor
4.4	Versicolor
1.3	Versicolor
4.7	Setosa
3.6	Versicolor
1.8	Setosa
5.8	Virginica
5.0	Virginica
