sepal.width	petal.length	variety
4.0	1.4	Setosa
3.9	8.3	Versicolor
7.5	4.7	Versicolor
7.0	1.9	Setosa
7.5	3.6	Setosa
4.3	6.9	Virginica
2.6	6.6	Virginica
5.9	7.1	Virginica
5.8	5.0	Setosa
7.4	8.7	Versicolor
5.4	1.4	Setosa
7.6	6.9	Versicolor
5.7	6.8	Virginica
7.8	7.2	Virginica
3.4	4.6	Versicolor
7.7	3.3	Setosa
3.0	7.0	Versicolor
7.9	5.5	Setosa
7.1	6.9	Versicolor
5.1	6.0	Versicolor
3.9	3.9	Setosa
3.3	6.1	Virginica
5.5	7.0	Versicolor
5.5	6.5	Virginica
6.4	5.0	Versicolor
8.3	3.9	Setosa
4.0	5.8	Setosa
6.7	2.3	Setosa
7.8	5.1	Setosa
4.9	1.5	Setosa
5.2	9.0	Versicolor
4.5	3.9	Setosa
4.8	7.2	Virginica
7.6	5.1	Virginica
4.9	5.6	Versicolor
3.1	9.9	Virginica
7.6	4.0	Setosa
2.9	5.3	Versicolor
4.4	6.5	Versicolor
4.0	5.1	Virginica
4.0	9.4	Virginica
3.5	2.8	Setosa
6.0	6.1	Versicolor
4.7	2.0	Setosa
4.0	4.5	Setosa
4.9	8.7	Versicolor
3.4	5.6	Setosa
3.8	6.1	Virginica
4.9	1.9	Setosa
5.2	4.0	Setosa
6.1	2.0	Setosa
3.5	3.6	Setosa
6.3	5.7	Setosa
3.5	7.7	Virginica
7.2	2.2	Setosa
5.7	5.1	Virginica
7.2	6.2	Versicolor
7.6	6.6	Virginica
6.4	8.3	Versicolor
6.8	5.3	Versicolor
7.5	2.6	Setosa
8.5	1.2	Setosa
4.5	7.0	Virginica
3.2	8.0	Versicolor
2.7	6.4	Virginica
7.7	9.1	Virginica
5.9	4.5	Setosa
4.8	7.7	Versicolor
3.9	8.6	Virginica
4.4	4.4	Setosa
3.6	1.9	Setosa
2.8	5.8	Versicolor
6.8	5.0	Versicolor
4.5	5.7	Versicolor
5.8	7.0	Virginica
8.1	9.6	Virginica
5.0	6.5	Versicolor
5.3	6.8	Virginica
6.8	7.0	Versicolor
2.7	6.5	Versicolor
6.8	9.9	Virginica
6.0	5.7	Virginica
7.0	5.0	Virginica
7.4	9.4	Virginica
6.6	3.0	Setosa
4.5	5.0	Versicolor
5.3	8.4	Versicolor
6.1	6.0	Virginica
7.2	9.0	Virginica
3.7	7.6	Virginica
5.2	7.8	Versicolor
2.8	10.7	Virginica
2.9	8.8	Virginica
4.3	8.6	Virginica
5.6	4.9	Setosa
5.3	5.2	Setosa
7.0	7.3	Virginica
5.5	7.6	Virginica
7.7	8.4	Virginica
5.3	5.1	Virginica
2.7	5.9	Versicolor
6.5	6.8	Virginica
3.3	1.9	Setosa
4.5	4.1	Versicolor
3.3	7.6	Versicolor
