sepal.width	variety
6.4	Setosa
3.6	Setosa
4.8	Versicolor
6.5	Virginica
3.7	Setosa
7.5	Setosa
3.3	Virginica
4.5	Virginica
6.4	Virginica
6.5	Virginica
6.4	Setosa
6.7	Virginica
4.2	Versicolor
4.5	Versicolor
5.4	Setosa
5.7	Versicolor
4.1	Virginica
6.2	Virginica
5.8	Versicolor
2.9	Versicolor
4.3	Versicolor
4.8	Virginica
6.9	Setosa
5.7	Versicolor
5.7	Versicolor
3.9	Versicolor
4.1	Versicolor
4.0	Versicolor
8.2	Setosa
4.9	Setosa
7.5	Versicolor
4.7	Versicolor
2.8	Versicolor
6.2	Setosa
6.4	Setosa
4.9	Virginica
3.9	Versicolor
4.9	Versicolor
6.1	Virginica
3.8	Virginica
4.0	Virginica
5.8	Setosa
5.6	Virginica
4.0	Versicolor
4.8	Versicolor
5.8	Virginica
5.4	Setosa
4.2	Setosa
4.8	Virginica
6.6	Versicolor
4.9	Setosa
6.6	Setosa
6.6	Versicolor
5.5	Setosa
4.7	Virginica
4.5	Virginica
6.9	Setosa
2.8	Virginica
6.2	Versicolor
7.5	Setosa
4.0	Setosa
4.2	Virginica
5.0	Setosa
6.4	Versicolor
5.9	Versicolor
6.7	Virginica
4.3	Versicolor
6.4	Virginica
3.2	Virginica
6.3	Versicolor
4.5	Versicolor
5.2	Virginica
8.3	Virginica
3.0	Virginica
7.6	Setosa
6.2	Setosa
4.4	Virginica
4.1	Setosa
7.5	Setosa
7.3	Virginica
8.1	Setosa
6.5	Versicolor
5.1	Virginica
2.7	Virginica
6.1	Versicolor
6.0	Versicolor
4.1	Setosa
7.0	Virginica
4.3	Setosa
3.4	Setosa
5.7	Virginica
7.0	Virginica
5.7	Versicolor
5.6	Setosa
6.7	Setosa
5.2	Setosa
4.5	Virginica
4.3	Versicolor
6.0	Virginica
4.7	Versicolor
5.5	Setosa
3.8	Virginica
5.9	Versicolor
6.3	Setosa
7.5	Virginica
