sepal.width	variety
3.8	Virginica
6.9	Versicolor
3.1	Virginica
5.5	Setosa
7.9	Virginica
6.0	Virginica
6.1	Setosa
4.1	Virginica
4.3	Virginica
4.1	Setosa
5.3	Setosa
5.7	Setosa
4.1	Versicolor
6.6	Virginica
5.4	Virginica
6.6	Setosa
6.6	Virginica
7.2	Versicolor
4.6	Versicolor
3.0	Setosa
6.7	Versicolor
2.8	Virginica
4.0	Virginica
6.3	Setosa
3.0	Virginica
6.0	Versicolor
3.1	Virginica
6.6	Virginica
7.0	Setosa
7.5	Virginica
6.7	Versicolor
5.3	Virginica
7.2	Setosa
5.0	Versicolor
4.8	Versicolor
6.0	Versicolor
6.3	Setosa
4.8	Setosa
4.3	Setosa
6.4	Virginica
4.7	Versicolor
6.5	Versicolor
3.0	Versicolor
7.2	Versicolor
7.8	Setosa
5.9	Setosa
4.5	Setosa
7.0	Versicolor
2.8	Virginica
3.9	Setosa
6.7	Setosa
6.4	Versicolor
4.0	Virginica
2.9	Versicolor
3.8	Versicolor
3.1	Versicolor
4.5	Versicolor
6.9	Versicolor
5.5	Setosa
7.7	Virginica
6.4	Setosa
3.7	Virginica
5.4	Setosa
6.8	Versicolor
4.4	Versicolor
6.2	Setosa
8.0	Setosa
6.5	Virginica
3.7	Virginica
4.4	Versicolor
3.7	Setosa
3.0	Virginica
5.3	Virginica
6.7	Setosa
4.7	Virginica
3.5	Versicolor
5.2	Versicolor
7.4	Setosa
6.4	Versicolor
7.4	Versicolor
3.8	Versicolor
3.2	Virginica
7.3	Virginica
3.0	Setosa
3.5	Versicolor
4.7	Setosa
4.6	Virginica
7.6	Versicolor
5.5	Virginica
3.4	Setosa
2.3	Versicolor
6.8	Virginica
5.6	Setosa
6.4	Setosa
2.7	Versicolor
7.0	Versicolor
7.0	Setosa
4.6	Setosa
7.5	Setosa
3.8	Virginica
3.9	Setosa
6.0	Virginica
7.4	Setosa
5.0	Virginica
5.5	Virginica
