sepal.width	variety
5.8	Versicolor
2.7	Virginica
7.3	Virginica
3.5	Setosa
8.0	Setosa
7.2	Virginica
6.9	Versicolor
4.2	Versicolor
6.4	Versicolor
6.5	Versicolor
5.3	Setosa
8.3	Virginica
6.8	Versicolor
4.1	Virginica
2.9	Versicolor
5.0	Virginica
2.9	Setosa
5.3	Virginica
6.4	Versicolor
3.6	Setosa
5.8	Setosa
3.5	Versicolor
6.6	Setosa
5.4	Virginica
3.2	Virginica
6.3	Virginica
3.7	Setosa
5.2	Versicolor
6.6	Virginica
4.9	Setosa
3.5	Versicolor
4.0	Virginica
7.4	Virginica
4.8	Setosa
5.2	Virginica
3.3	Virginica
2.4	Versicolor
7.3	Versicolor
5.4	Versicolor
7.4	Setosa
6.1	Versicolor
6.0	Setosa
4.0	Setosa
4.5	Setosa
7.2	Virginica
6.1	Setosa
3.5	Virginica
7.4	Versicolor
6.2	Versicolor
6.5	Setosa
4.3	Versicolor
6.3	Virginica
5.4	Setosa
6.3	Versicolor
2.5	Virginica
4.3	Setosa
3.9	Versicolor
5.5	Versicolor
3.2	Versicolor
7.6	Setosa
6.0	Virginica
3.1	Setosa
3.3	Versicolor
5.5	Virginica
4.3	Virginica
5.5	Virginica
7.1	Setosa
4.7	Setosa
4.0	Setosa
3.0	Virginica
6.4	Setosa
3.7	Versicolor
7.7	Versicolor
5.7	Setosa
5.0	Setosa
3.8	Virginica
2.8	Versicolor
6.1	Versicolor
3.0	Versicolor
3.4	Virginica
7.0	Versicolor
3.9	Setosa
6.8	Versicolor
3.6	Virginica
7.4	Setosa
6.7	Versicolor
3.2	Virginica
5.2	Versicolor
4.7	Versicolor
6.0	Virginica
3.5	Setosa
5.7	Virginica
4.2	Virginica
5.6	Virginica
3.8	Virginica
3.4	Versicolor
5.4	Versicolor
2.8	Versicolor
4.5	Virginica
6.7	Versicolor
7.7	Setosa
6.7	Setosa
4.9	Setosa
7.0	Virginica
3.9	Setosa
