sepal.length	variety
7.2	Setosa
8.8	Virginica
5.9	Setosa
6.1	Setosa
6.2	Versicolor
10.5	Versicolor
11.7	Virginica
9.2	Setosa
9.1	Setosa
5.6	Versicolor
7.4	Versicolor
9.1	Virginica
7.2	Versicolor
7.2	Setosa
6.2	Setosa
8.3	Setosa
8.6	Setosa
5.1	Setosa
9.1	Virginica
7.8	Virginica
5.4	Setosa
6.6	Setosa
7.1	Setosa
5.4	Setosa
6.8	Versicolor
5.4	Setosa
9.4	Virginica
10.0	Versicolor
6.3	Setosa
6.5	Setosa
8.0	Setosa
6.0	Versicolor
10.8	Virginica
6.5	Virginica
9.4	Setosa
10.1	Versicolor
9.0	Setosa
6.2	Versicolor
10.5	Versicolor
9.8	Virginica
6.5	Versicolor
7.4	Virginica
6.4	Virginica
10.8	Virginica
7.9	Setosa
9.1	Setosa
8.4	Setosa
9.3	Setosa
4.8	Setosa
10.4	Versicolor
8.1	Versicolor
7.3	Versicolor
11.2	Virginica
9.6	Versicolor
10.2	Virginica
10.0	Virginica
7.8	Setosa
8.1	Virginica
5.1	Setosa
7.2	Versicolor
5.9	Versicolor
5.8	Virginica
5.5	Setosa
7.6	Setosa
8.3	Virginica
7.9	Virginica
4.9	Setosa
10.3	Versicolor
6.5	Versicolor
6.7	Setosa
9.5	Setosa
6.7	Versicolor
10.9	Virginica
7.1	Virginica
10.8	Virginica
11.8	Virginica
11.2	Virginica
10.1	Versicolor
7.3	Virginica
9.0	Setosa
6.7	Virginica
11.9	Virginica
8.4	Setosa
7.5	Virginica
7.6	Versicolor
8.8	Setosa
6.7	Virginica
10.4	Virginica
9.9	Setosa
9.7	Virginica
6.8	Virginica
6.5	Virginica
10.3	Versicolor
8.6	Versicolor
7.5	Versicolor
5.5	Versicolor
7.9	Versicolor
8.9	Virginica
7.2	Virginica
9.2	Versicolor
9.0	Virginica
7.2	Virginica
9.3	Virginica
6.1	Versicolor
6.5	Setosa
