sepal.length	sepal.width	variety
10.0	4.0	Versicolor
7.6	7.0	Versicolor
5.4	7.4	Setosa
8.7	5.5	Setosa
5.5	7.8	Setosa
8.1	3.0	Virginica
10.6	6.6	Virginica
6.4	6.9	Setosa
10.0	5.7	Versicolor
7.4	5.1	Virginica
8.2	7.1	Virginica
7.5	7.0	Virginica
6.5	4.0	Virginica
8.1	7.0	Setosa
9.4	5.0	Virginica
9.1	3.7	Setosa
8.8	5.2	Virginica
9.4	5.1	Setosa
8.1	6.5	Versicolor
9.2	7.6	Virginica
8.8	6.4	Virginica
9.8	6.8	Virginica
6.9	3.1	Virginica
8.7	3.3	Virginica
9.5	2.6	Versicolor
8.8	3.1	Versicolor
10.2	3.4	Versicolor
7.1	6.4	Versicolor
11.1	6.4	Versicolor
9.2	7.3	Setosa
7.5	4.0	Setosa
10.2	5.7	Virginica
7.2	5.8	Versicolor
7.2	5.0	Virginica
9.9	3.7	Setosa
11.0	6.7	Virginica
11.0	6.0	Virginica
5.8	4.0	Setosa
6.5	4.3	Versicolor
9.5	5.2	Virginica
8.0	5.8	Versicolor
7.5	5.0	Setosa
9.5	4.8	Versicolor
8.0	5.4	Versicolor
6.7	4.9	Versicolor
10.8	4.7	Virginica
8.0	5.4	Versicolor
6.1	8.1	Setosa
8.1	2.5	Versicolor
7.8	2.8	Virginica
6.2	7.9	Setosa
7.6	3.9	Setosa
10.8	3.0	Virginica
5.6	5.0	Setosa
7.4	4.7	Virginica
6.6	4.2	Setosa
9.3	4.7	Virginica
7.3	7.3	Virginica
7.0	7.9	Setosa
7.4	4.2	Versicolor
9.4	8.4	Setosa
8.4	6.0	Setosa
5.6	6.3	Virginica
6.3	4.0	Virginica
10.7	5.4	Virginica
8.6	5.4	Setosa
5.7	5.1	Setosa
11.2	6.6	Virginica
8.7	4.1	Versicolor
8.5	5.1	Setosa
10.3	5.0	Setosa
11.9	5.3	Virginica
7.2	6.5	Virginica
10.6	4.8	Versicolor
6.1	6.0	Versicolor
6.6	5.3	Setosa
6.1	4.7	Versicolor
7.4	5.3	Virginica
6.5	7.0	Virginica
8.7	5.6	Versicolor
7.8	4.9	Setosa
6.0	6.4	Versicolor
9.3	3.3	Versicolor
7.8	3.4	Virginica
10.2	3.3	Virginica
7.2	4.8	Virginica
8.5	3.9	Versicolor
5.8	5.9	Setosa
7.6	6.0	Virginica
8.7	2.8	Versicolor
10.5	4.7	Versicolor
10.7	6.6	Versicolor
7.9	3.7	Setosa
6.7	5.5	Versicolor
6.4	7.4	Versicolor
9.3	2.8	Versicolor
9.7	2.7	Versicolor
8.4	5.5	Setosa
10.7	6.3	Virginica
6.4	6.1	Setosa
7.0	2.8	Setosa
7.6	4.3	Setosa
7.9	3.0	Virginica
10.3	6.3	Versicolor
9.0	3.9	Setosa
