sepal.width	petal.length	variety
5.3	3.2	Setosa
7.9	6.9	Virginica
5.4	5.8	Setosa
5.6	8.4	Versicolor
5.1	8.5	Virginica
6.5	5.5	Versicolor
4.1	6.9	Versicolor
3.1	6.1	Setosa
4.9	8.2	Versicolor
6.1	7.0	Versicolor
6.4	5.5	Versicolor
4.2	7.1	Virginica
3.1	6.9	Virginica
3.0	6.5	Virginica
3.7	6.8	Virginica
5.7	7.7	Virginica
5.2	7.9	Virginica
5.4	7.8	Versicolor
3.0	5.1	Setosa
6.3	5.3	Virginica
7.0	6.1	Versicolor
4.9	4.8	Versicolor
6.7	5.3	Virginica
6.1	9.6	Virginica
4.0	1.2	Setosa
3.5	7.2	Versicolor
6.3	4.6	Versicolor
5.0	7.5	Versicolor
6.7	10.5	Virginica
3.6	9.1	Virginica
6.2	6.0	Versicolor
4.7	7.0	Versicolor
2.9	4.3	Versicolor
6.8	5.3	Versicolor
4.8	5.7	Setosa
3.0	9.1	Virginica
3.8	10.1	Virginica
4.0	3.4	Setosa
4.3	10.9	Virginica
4.0	8.6	Virginica
8.2	3.5	Setosa
2.7	8.6	Versicolor
7.0	4.4	Setosa
5.5	4.6	Setosa
6.4	4.7	Setosa
4.0	9.2	Virginica
6.9	6.6	Versicolor
5.5	1.8	Setosa
5.0	3.9	Setosa
3.8	11.2	Virginica
8.0	5.3	Setosa
5.5	2.4	Setosa
4.8	7.5	Versicolor
3.9	3.4	Setosa
5.0	7.8	Virginica
7.4	1.7	Setosa
7.3	6.0	Versicolor
4.6	6.4	Versicolor
4.2	5.7	Versicolor
4.8	9.2	Virginica
4.9	4.0	Setosa
6.0	5.0	Virginica
6.9	2.5	Setosa
5.0	9.2	Virginica
4.5	9.9	Virginica
8.2	4.5	Setosa
3.1	3.0	Setosa
6.3	9.2	Virginica
5.3	3.3	Versicolor
3.5	3.5	Setosa
4.6	2.9	Setosa
5.5	6.3	Virginica
8.0	2.3	Setosa
4.2	4.7	Setosa
7.2	2.9	Setosa
3.5	7.0	Versicolor
3.6	9.1	Virginica
4.2	3.6	Setosa
7.6	1.0	Setosa
7.9	2.5	Setosa
6.8	1.4	Setosa
7.4	3.9	Setosa
7.5	7.8	Virginica
6.7	9.4	Virginica
5.5	5.6	Versicolor
6.9	5.6	Setosa
6.7	5.8	Setosa
3.6	9.1	Virginica
4.6	1.9	Setosa
7.3	2.0	Setosa
4.6	7.9	Virginica
6.5	6.9	Virginica
3.7	6.4	Versicolor
3.6	6.2	Versicolor
5.5	7.3	Virginica
7.1	2.0	Setosa
7.4	10.1	Virginica
3.4	4.7	Versicolor
2.8	9.1	Virginica
3.7	3.4	Setosa
2.2	8.5	Virginica
6.3	8.0	Virginica
4.5	4.4	Versicolor
6.8	7.4	Versicolor
4.2	2.8	Setosa
