sepal.width	variety
6.1	Virginica
3.5	Setosa
3.6	Virginica
4.0	Virginica
6.0	Versicolor
4.2	Setosa
3.2	Versicolor
4.0	Virginica
6.4	Versicolor
7.5	Versicolor
7.9	Setosa
5.2	Setosa
4.8	Versicolor
5.8	Versicolor
5.7	Versicolor
2.8	Versicolor
7.3	Virginica
4.5	Virginica
7.3	Setosa
6.4	Setosa
3.6	Versicolor
4.4	Setosa
5.7	Versicolor
3.5	Versicolor
3.9	Setosa
5.3	Versicolor
5.7	Virginica
5.6	Virginica
3.0	Setosa
4.4	Setosa
3.6	Versicolor
6.6	Virginica
5.3	Versicolor
3.8	Virginica
5.2	Versicolor
4.1	Virginica
5.5	Versicolor
4.1	Versicolor
7.4	Setosa
7.5	Setosa
6.3	Virginica
7.9	Virginica
3.3	Virginica
6.6	Setosa
8.0	Setosa
7.7	Versicolor
6.7	Virginica
3.4	Versicolor
5.4	Versicolor
5.9	Versicolor
6.9	Versicolor
6.8	Versicolor
4.4	Versicolor
4.2	Virginica
3.2	Virginica
3.2	Versicolor
7.0	Versicolor
6.7	Virginica
3.9	Setosa
7.4	Setosa
7.7	Virginica
6.0	Virginica
7.2	Virginica
7.7	Setosa
4.5	Versicolor
7.8	Setosa
5.2	Versicolor
3.0	Virginica
3.8	Versicolor
4.0	Setosa
6.3	Virginica
4.4	Setosa
6.5	Virginica
6.2	Setosa
5.5	Setosa
7.9	Virginica
6.0	Versicolor
6.6	Virginica
6.2	Versicolor
7.0	Virginica
2.9	Virginica
7.6	Setosa
6.0	Virginica
7.5	Versicolor
3.5	Virginica
7.3	Virginica
7.4	Virginica
5.1	Versicolor
3.6	Versicolor
5.3	Virginica
7.8	Setosa
5.5	Virginica
4.5	Versicolor
6.4	Setosa
6.2	Setosa
3.9	Setosa
7.0	Virginica
4.8	Setosa
6.0	Versicolor
3.6	Virginica
5.2	Virginica
8.3	Virginica
7.6	Setosa
4.0	Virginica
4.6	Setosa
