sepal.width	petal.length	petal.width	variety
6.7	2.5	4.4	Setosa
4.2	8.5	2.8	Virginica
6.6	11.4	2.3	Virginica
4.3	6.0	1.8	Versicolor
4.0	5.8	4.7	Virginica
3.0	9.1	3.8	Virginica
3.0	4.1	2.7	Setosa
7.6	2.4	4.1	Setosa
6.0	2.8	2.7	Setosa
5.1	7.1	1.4	Virginica
3.3	8.0	2.5	Virginica
4.6	4.5	1.2	Versicolor
5.8	5.1	3.5	Versicolor
3.3	7.8	2.4	Versicolor
4.3	6.4	5.5	Virginica
3.5	7.0	3.4	Virginica
6.8	3.6	1.7	Setosa
2.7	4.2	5.3	Versicolor
3.5	8.2	3.0	Versicolor
6.7	3.4	1.7	Setosa
3.8	4.4	2.7	Setosa
5.5	8.8	2.1	Virginica
4.0	8.6	2.4	Versicolor
6.8	6.5	2.8	Versicolor
6.4	6.2	3.9	Versicolor
4.7	8.3	2.3	Virginica
2.8	8.6	4.5	Virginica
3.5	3.8	3.2	Setosa
6.3	7.3	2.3	Virginica
6.3	7.7	6.5	Virginica
7.3	9.4	2.0	Virginica
7.5	4.7	2.2	Versicolor
4.2	5.0	6.0	Virginica
6.5	3.4	3.2	Setosa
6.3	3.8	4.3	Setosa
3.4	1.4	0.7	Setosa
5.2	3.5	3.2	Setosa
7.1	5.6	5.3	Virginica
4.6	9.0	4.8	Virginica
6.2	9.3	3.3	Versicolor
7.1	4.5	2.1	Setosa
6.2	1.7	4.2	Setosa
5.6	4.9	4.7	Setosa
3.8	5.6	4.3	Versicolor
7.4	4.7	1.2	Setosa
5.7	5.6	0.7	Setosa
3.0	5.5	4.0	Versicolor
6.9	9.8	5.8	Virginica
4.4	8.3	4.3	Versicolor
5.1	6.9	4.7	Versicolor
8.2	2.5	3.2	Setosa
5.8	7.7	3.6	Versicolor
4.5	5.8	2.3	Virginica
7.9	2.0	4.4	Setosa
5.0	7.9	4.1	Virginica
3.8	9.2	6.6	Virginica
5.6	6.0	1.7	Setosa
6.2	4.5	3.0	Versicolor
6.8	9.2	3.7	Virginica
8.3	4.9	2.4	Setosa
6.9	4.0	2.4	Setosa
7.0	5.1	3.3	Versicolor
7.5	3.7	4.7	Setosa
6.4	10.1	4.9	Virginica
6.2	1.3	4.2	Setosa
7.4	8.5	4.0	Versicolor
6.7	5.6	4.4	Virginica
3.4	5.4	1.7	Setosa
6.6	7.4	4.9	Versicolor
4.3	3.7	1.3	Setosa
4.5	5.5	2.6	Versicolor
7.2	8.2	6.8	Virginica
6.8	7.6	6.9	Virginica
4.4	3.0	0.7	Setosa
4.0	2.4	0.3	Setosa
6.6	9.1	7.0	Virginica
5.5	4.9	5.4	Versicolor
4.0	3.9	1.6	Versicolor
7.1	6.1	6.9	Virginica
3.3	8.1	4.2	Virginica
7.6	7.9	6.1	Virginica
4.3	4.2	2.0	Setosa
7.4	8.9	5.8	Virginica
4.4	1.7	1.4	Setosa
5.0	7.5	5.1	Virginica
3.2	1.8	4.2	Setosa
6.5	3.1	4.6	Setosa
6.4	8.2	5.3	Versicolor
6.0	4.4	2.6	Setosa
7.1	3.6	3.2	Setosa
3.2	6.6	3.0	Virginica
7.0	6.6	5.1	Virginica
6.2	6.1	4.4	Virginica
3.5	9.5	2.3	Virginica
6.0	6.4	4.0	Versicolor
7.0	7.7	6.8	Virginica
5.7	8.4	5.3	Virginica
3.7	6.4	5.9	Versicolor
8.1	4.5	4.7	Setosa
3.0	8.8	2.3	Virginica
6.5	8.7	6.0	Virginica
4.1	5.0	3.0	Versicolor
6.3	1.5	3.8	Setosa
5.1	9.2	5.0	Versicolor
5.0	6.0	2.7	Versicolor
