sepal.length	sepal.width	petal.length	petal.width	variety
11.2	3.1	6.9	6.8	Virginica
7.3	2.7	5.9	3.2	Versicolor
10.1	6.0	6.1	3.9	Versicolor
7.4	3.2	7.8	2.8	Versicolor
10.0	4.7	6.0	2.0	Virginica
7.8	3.0	1.6	4.6	Setosa
5.9	3.0	5.3	4.7	Setosa
5.2	3.7	2.6	2.7	Setosa
5.6	5.3	2.2	4.0	Setosa
7.1	7.0	1.4	2.7	Setosa
6.3	5.0	7.5	5.4	Virginica
8.8	4.8	7.9	2.3	Versicolor
8.4	5.8	9.4	2.5	Virginica
7.3	3.1	8.5	2.2	Versicolor
11.2	6.0	7.2	2.8	Virginica
6.2	5.5	7.0	3.5	Virginica
9.4	4.1	3.9	0.6	Setosa
11.0	6.5	5.5	4.3	Virginica
10.4	5.7	7.7	6.8	Virginica
9.1	7.3	3.6	0.7	Setosa
9.6	5.0	8.4	4.6	Versicolor
5.4	7.7	4.0	0.2	Setosa
9.7	6.6	3.5	4.6	Setosa
6.3	4.2	3.0	0.7	Setosa
9.8	5.2	7.4	4.3	Virginica
10.7	3.4	5.8	1.3	Versicolor
10.2	7.7	9.5	4.8	Virginica
5.9	3.6	2.5	3.2	Setosa
7.0	5.2	8.1	6.0	Virginica
5.5	6.0	2.8	0.8	Setosa
8.1	7.0	4.5	3.1	Versicolor
9.1	5.3	7.2	2.7	Versicolor
11.0	6.0	9.7	2.0	Virginica
7.1	7.5	7.1	1.3	Versicolor
10.6	4.9	4.7	5.4	Versicolor
7.3	3.0	3.9	2.3	Setosa
9.0	5.2	5.9	1.2	Setosa
9.2	4.1	8.6	6.4	Virginica
7.2	5.9	3.5	4.4	Setosa
9.7	6.6	6.9	5.9	Versicolor
8.2	3.5	6.7	3.2	Versicolor
9.1	5.4	5.6	3.8	Versicolor
10.8	6.3	9.5	5.0	Virginica
7.3	3.9	9.1	2.3	Virginica
10.5	5.4	6.5	4.5	Versicolor
6.0	3.9	5.8	1.1	Versicolor
8.1	7.4	1.9	1.3	Setosa
7.7	3.8	9.7	6.5	Virginica
6.9	7.6	7.5	4.3	Virginica
6.3	5.7	6.6	3.9	Virginica
7.3	3.7	6.1	6.4	Virginica
5.5	4.0	2.8	1.7	Setosa
12.2	7.0	9.6	2.3	Virginica
9.2	4.7	9.0	3.5	Versicolor
6.4	7.2	6.8	2.8	Virginica
9.8	7.2	5.1	4.5	Versicolor
8.4	5.0	1.9	0.7	Setosa
9.8	6.2	6.9	1.8	Virginica
11.2	7.3	7.2	4.6	Virginica
10.1	3.5	9.0	5.0	Versicolor
7.0	8.0	1.6	5.1	Setosa
8.0	7.4	1.5	3.2	Setosa
10.0	6.5	6.0	4.8	Versicolor
7.6	5.0	8.4	2.6	Virginica
8.9	5.8	6.6	6.6	Virginica
6.4	7.5	8.0	1.5	Versicolor
7.0	3.2	8.7	4.9	Versicolor
9.3	7.4	7.8	5.3	Virginica
6.7	3.3	4.8	2.3	Virginica
5.2	4.2	5.9	3.9	Versicolor
7.9	3.1	6.4	4.5	Versicolor
6.9	6.9	4.8	4.9	Setosa
8.4	4.1	5.6	4.3	Virginica
7.8	3.1	2.6	3.2	Setosa
4.9	4.4	6.3	4.5	Versicolor
9.4	7.9	5.0	1.9	Setosa
5.6	6.3	3.0	4.3	Setosa
10.0	4.1	5.9	3.7	Versicolor
10.8	6.3	5.6	5.0	Virginica
10.5	3.9	7.5	5.1	Versicolor
6.3	4.9	4.4	3.7	Setosa
8.6	4.7	5.4	4.7	Setosa
9.3	5.8	6.7	2.6	Versicolor
5.6	7.3	4.4	2.4	Setosa
8.6	4.3	4.9	5.5	Virginica
8.4	4.4	7.3	1.8	Versicolor
7.4	4.4	3.2	3.4	Setosa
10.2	5.3	8.2	5.0	Virginica
9.8	6.5	9.5	6.6	Virginica
7.3	2.5	8.9	5.5	Versicolor
4.9	7.1	2.0	4.6	Setosa
8.7	5.6	9.6	4.0	Virginica
8.0	4.7	6.0	3.0	Versicolor
6.2	6.8	8.0	5.8	Versicolor
7.8	6.8	5.1	4.9	Virginica
9.7	3.5	8.5	5.7	Versicolor
9.1	5.1	1.0	0.7	Setosa
7.5	6.5	7.3	6.2	Virginica
8.3	3.9	6.1	3.7	Setosa
8.5	2.9	4.2	5.5	Versicolor
10.4	3.5	8.2	2.0	Versicolor
7.4	3.4	1.4	1.2	Setosa
6.4	7.9	2.2	0.7	Setosa
7.5	3.8	4.9	4.2	Setosa
6.8	3.5	2.4	4.6	Setosa
