sepal.width	petal.length	petal.width	variety
2.8	8.6	2.0	Virginica
3.9	2.3	4.9	Setosa
5.7	6.1	4.5	Virginica
6.9	5.3	4.3	Versicolor
6.4	5.8	5.5	Versicolor
3.2	5.2	1.3	Versicolor
4.5	6.8	5.3	Virginica
3.0	6.0	6.4	Virginica
3.9	3.5	4.7	Setosa
6.4	3.5	4.4	Setosa
5.7	5.7	3.4	Versicolor
6.6	8.1	2.3	Virginica
3.8	1.7	2.3	Setosa
5.5	7.5	2.5	Virginica
6.0	7.5	1.1	Versicolor
5.0	6.2	5.5	Versicolor
7.0	5.5	3.2	Virginica
4.8	7.2	4.2	Virginica
3.5	4.4	1.8	Setosa
3.4	9.0	4.0	Versicolor
7.9	5.1	0.4	Setosa
7.4	7.8	1.8	Virginica
5.2	7.9	4.4	Versicolor
5.1	9.1	5.9	Virginica
7.5	4.3	0.8	Setosa
6.3	6.3	1.0	Versicolor
5.0	6.8	2.1	Virginica
4.4	3.9	4.8	Setosa
2.5	10.3	2.8	Virginica
5.0	6.4	2.1	Virginica
3.7	9.4	1.8	Virginica
8.0	4.4	2.2	Setosa
3.1	9.5	4.8	Virginica
6.6	9.4	5.6	Virginica
7.1	5.0	2.1	Setosa
4.1	2.5	0.2	Setosa
7.5	5.6	0.7	Setosa
5.0	7.0	2.7	Versicolor
6.8	5.3	3.8	Setosa
3.7	8.1	3.4	Virginica
6.3	8.4	3.0	Virginica
6.2	5.8	1.9	Virginica
7.5	7.2	4.5	Virginica
6.3	7.5	5.8	Versicolor
6.2	8.1	3.6	Versicolor
5.1	2.5	3.1	Setosa
3.2	6.6	4.4	Virginica
5.9	4.8	3.1	Versicolor
6.3	7.6	5.4	Virginica
2.5	5.0	1.8	Versicolor
7.7	6.2	3.3	Virginica
5.5	5.6	4.1	Setosa
6.5	5.0	4.0	Versicolor
7.4	9.2	3.4	Versicolor
5.2	9.5	3.5	Virginica
6.7	8.5	4.0	Versicolor
3.0	7.5	4.3	Virginica
2.2	6.5	5.0	Versicolor
6.9	6.7	3.3	Versicolor
7.8	6.7	4.6	Versicolor
7.0	5.5	5.5	Versicolor
6.0	1.3	0.2	Setosa
3.6	5.1	2.2	Setosa
3.2	6.8	4.3	Virginica
5.0	10.0	3.1	Virginica
7.9	6.4	4.7	Setosa
6.0	10.3	3.7	Virginica
5.0	8.1	3.8	Versicolor
7.7	2.1	3.7	Setosa
6.2	3.4	1.7	Setosa
3.0	8.9	3.4	Versicolor
3.8	6.2	3.2	Versicolor
5.5	5.4	4.8	Setosa
6.6	5.9	3.7	Setosa
4.2	4.3	1.7	Setosa
8.0	2.0	0.2	Setosa
3.9	8.1	2.3	Virginica
3.8	7.6	1.5	Versicolor
3.4	5.4	0.7	Setosa
6.8	9.0	5.5	Virginica
3.8	8.2	2.0	Virginica
5.7	6.8	3.3	Versicolor
3.0	6.1	5.3	Virginica
6.9	7.2	3.0	Versicolor
3.3	6.8	3.3	Virginica
4.8	7.6	6.7	Virginica
3.1	5.0	4.0	Versicolor
4.5	9.4	5.0	Versicolor
6.8	5.5	1.3	Setosa
7.4	8.4	2.8	Virginica
5.0	2.2	2.7	Setosa
6.5	4.8	2.2	Setosa
4.4	7.6	2.4	Virginica
4.1	4.5	1.7	Setosa
7.5	6.6	4.3	Virginica
3.4	7.1	3.8	Versicolor
7.2	4.0	0.2	Setosa
8.3	4.6	2.7	Setosa
6.6	8.6	5.4	Virginica
4.1	10.1	7.0	Virginica
8.1	5.4	0.1	Setosa
4.7	5.5	4.9	Setosa
7.7	2.7	3.2	Setosa
4.1	4.9	3.0	Versicolor
5.3	8.0	4.8	Versicolor
