sepal.length	variety
8.5	Versicolor
9.7	Versicolor
9.4	Setosa
7.1	Versicolor
9.1	Versicolor
8.4	Setosa
7.3	Virginica
7.4	Versicolor
6.1	Versicolor
6.3	Setosa
8.6	Versicolor
12.2	Virginica
8.7	Virginica
7.2	Versicolor
9.7	Setosa
9.1	Versicolor
10.2	Virginica
8.7	Versicolor
9.0	Virginica
6.1	Versicolor
5.9	Setosa
7.9	Virginica
7.6	Setosa
9.1	Versicolor
8.5	Versicolor
5.4	Setosa
8.7	Versicolor
9.8	Setosa
9.4	Virginica
6.0	Setosa
11.2	Virginica
7.2	Versicolor
8.5	Virginica
6.5	Setosa
7.0	Setosa
5.6	Versicolor
6.1	Setosa
7.1	Virginica
5.5	Setosa
7.5	Versicolor
8.5	Setosa
7.3	Virginica
11.4	Versicolor
9.2	Versicolor
7.0	Versicolor
5.8	Virginica
8.6	Setosa
4.8	Setosa
6.0	Versicolor
9.1	Setosa
8.7	Virginica
8.1	Setosa
8.5	Versicolor
5.4	Setosa
8.9	Setosa
8.4	Versicolor
8.9	Virginica
8.7	Versicolor
8.0	Versicolor
9.7	Virginica
7.6	Versicolor
9.3	Versicolor
8.0	Versicolor
7.9	Setosa
10.5	Versicolor
8.1	Setosa
11.3	Versicolor
7.2	Versicolor
5.5	Setosa
9.9	Virginica
9.3	Virginica
6.3	Versicolor
5.9	Virginica
4.6	Setosa
5.9	Versicolor
8.8	Versicolor
9.7	Setosa
7.3	Setosa
9.9	Virginica
5.5	Setosa
5.6	Virginica
10.0	Versicolor
6.9	Setosa
7.5	Virginica
9.4	Virginica
8.8	Virginica
9.5	Versicolor
7.4	Versicolor
6.2	Setosa
6.3	Virginica
6.8	Virginica
7.4	Virginica
8.4	Setosa
9.9	Versicolor
9.2	Virginica
6.7	Setosa
6.8	Versicolor
11.2	Versicolor
6.3	Setosa
9.2	Setosa
6.0	Versicolor
9.0	Virginica
8.5	Setosa
6.9	Virginica
7.6	Setosa
