sepal.length	sepal.width	variety
6.9	6.6	Setosa
8.1	3.5	Versicolor
5.9	3.0	Versicolor
10.3	2.5	Virginica
8.1	6.2	Versicolor
9.5	4.1	Setosa
6.7	5.0	Versicolor
7.9	5.2	Setosa
7.7	6.6	Virginica
10.9	3.2	Versicolor
5.4	5.0	Setosa
10.2	2.5	Virginica
6.6	3.5	Virginica
8.2	4.0	Virginica
5.7	2.8	Versicolor
10.0	6.8	Versicolor
8.7	3.6	Versicolor
6.3	4.5	Setosa
6.7	4.8	Virginica
8.6	8.3	Setosa
7.9	4.9	Setosa
7.4	6.6	Versicolor
7.3	5.9	Virginica
8.8	6.8	Versicolor
8.4	3.5	Setosa
9.0	7.8	Setosa
5.4	5.6	Setosa
8.1	3.9	Versicolor
5.3	6.9	Setosa
5.1	5.9	Setosa
9.3	4.2	Setosa
7.1	5.5	Setosa
7.2	3.1	Versicolor
8.5	4.9	Versicolor
9.4	5.1	Setosa
7.9	7.0	Virginica
11.2	4.8	Virginica
8.4	5.9	Setosa
8.7	7.7	Setosa
4.3	7.0	Setosa
6.5	2.6	Versicolor
10.1	3.4	Versicolor
7.1	5.0	Versicolor
5.2	3.7	Setosa
10.3	5.8	Versicolor
10.5	6.2	Versicolor
7.7	6.8	Setosa
8.6	5.4	Versicolor
7.5	6.3	Versicolor
9.7	4.9	Versicolor
9.0	6.4	Setosa
10.9	5.2	Virginica
6.9	3.6	Virginica
8.5	5.5	Virginica
11.4	5.8	Virginica
5.6	4.0	Versicolor
9.5	2.4	Versicolor
8.1	6.3	Virginica
7.4	5.7	Setosa
8.6	7.3	Setosa
8.4	3.2	Versicolor
6.8	6.0	Virginica
7.8	6.8	Virginica
10.6	7.5	Versicolor
9.6	7.3	Setosa
8.7	7.2	Virginica
9.9	3.9	Setosa
5.1	5.6	Setosa
9.4	4.8	Virginica
6.6	3.0	Versicolor
9.5	6.5	Setosa
9.5	4.0	Setosa
10.0	3.4	Versicolor
10.7	4.7	Versicolor
9.5	5.5	Virginica
7.2	5.5	Setosa
5.9	5.5	Virginica
6.2	5.7	Versicolor
5.6	5.9	Setosa
7.5	6.7	Versicolor
7.4	5.4	Setosa
9.7	3.4	Setosa
9.5	5.0	Virginica
9.6	6.0	Virginica
7.5	5.7	Virginica
6.8	6.2	Virginica
7.6	7.7	Setosa
7.9	5.1	Virginica
9.4	6.9	Versicolor
9.6	6.3	Setosa
5.7	4.8	Versicolor
6.6	3.1	Virginica
6.6	5.5	Setosa
11.4	3.1	Virginica
8.9	7.5	Versicolor
9.7	3.0	Versicolor
8.1	5.8	Versicolor
7.7	3.4	Virginica
6.0	4.7	Setosa
5.5	4.2	Setosa
7.3	4.6	Versicolor
5.3	3.6	Setosa
10.3	5.4	Virginica
6.3	5.7	Versicolor
9.3	4.5	Setosa
