petal.length	variety
6.4	Virginica
7.7	Versicolor
9.2	Virginica
7.3	Virginica
9.3	Virginica
5.5	Versicolor
5.1	Virginica
2.5	Setosa
4.1	Setosa
8.7	Virginica
7.5	Versicolor
7.7	Versicolor
5.0	Versicolor
7.3	Virginica
4.5	Setosa
10.1	Virginica
4.9	Setosa
7.1	Versicolor
2.9	Setosa
2.8	Setosa
8.9	Virginica
3.0	Setosa
6.9	Versicolor
5.0	Virginica
4.0	Versicolor
7.4	Versicolor
8.1	Virginica
10.0	Virginica
1.6	Setosa
9.6	Virginica
3.9	Versicolor
9.6	Virginica
8.1	Virginica
3.6	Setosa
8.9	Virginica
7.9	Virginica
4.2	Versicolor
2.0	Setosa
7.3	Versicolor
7.1	Versicolor
3.5	Setosa
8.2	Virginica
1.9	Setosa
5.5	Versicolor
2.7	Setosa
3.6	Setosa
7.6	Versicolor
3.5	Setosa
8.2	Versicolor
4.8	Versicolor
6.0	Versicolor
8.0	Versicolor
5.1	Versicolor
2.4	Setosa
1.5	Setosa
7.1	Virginica
2.2	Setosa
3.0	Setosa
7.7	Versicolor
8.6	Versicolor
7.1	Virginica
9.1	Virginica
1.6	Setosa
8.1	Virginica
7.5	Versicolor
6.0	Versicolor
8.7	Virginica
3.6	Setosa
1.8	Setosa
2.5	Setosa
6.5	Versicolor
4.9	Versicolor
8.2	Virginica
3.5	Setosa
3.9	Setosa
6.6	Virginica
3.2	Setosa
6.5	Virginica
8.2	Virginica
8.1	Virginica
5.8	Setosa
6.8	Virginica
4.2	Setosa
4.4	Setosa
8.1	Versicolor
7.1	Versicolor
9.6	Virginica
2.9	Setosa
8.7	Versicolor
3.5	Setosa
7.3	Versicolor
5.8	Virginica
7.8	Virginica
5.5	Virginica
6.0	Virginica
6.7	Virginica
9.2	Versicolor
4.4	Setosa
8.5	Versicolor
6.7	Versicolor
9.8	Virginica
3.8	Setosa
4.7	Setosa
6.1	Virginica
7.2	Versicolor
