petal.length	petal.width	variety
6.4	6.8	Virginica
2.4	1.3	Setosa
7.2	1.5	Versicolor
8.2	6.0	Versicolor
2.1	0.1	Setosa
2.7	4.2	Setosa
6.0	1.3	Versicolor
8.5	4.5	Versicolor
6.3	5.3	Virginica
4.8	3.0	Versicolor
9.2	3.4	Versicolor
1.8	1.8	Setosa
8.6	5.9	Virginica
5.0	3.2	Versicolor
1.8	4.4	Setosa
1.9	4.1	Setosa
5.8	4.9	Virginica
4.4	1.2	Setosa
1.4	3.7	Setosa
4.2	2.8	Setosa
7.4	1.3	Versicolor
7.1	5.0	Versicolor
7.1	2.4	Virginica
5.7	3.4	Setosa
4.0	3.2	Setosa
4.6	0.2	Setosa
7.6	5.7	Virginica
6.4	4.9	Versicolor
7.6	4.8	Virginica
7.2	2.4	Versicolor
3.8	4.7	Setosa
5.3	5.3	Virginica
7.6	5.5	Virginica
8.4	1.9	Versicolor
4.6	1.2	Setosa
3.8	1.7	Setosa
6.3	2.8	Virginica
7.8	5.3	Virginica
8.8	3.9	Versicolor
2.5	0.7	Setosa
6.7	4.3	Virginica
7.1	1.8	Versicolor
7.0	1.8	Versicolor
2.4	0.2	Setosa
9.6	2.6	Virginica
7.0	4.2	Versicolor
6.7	5.2	Versicolor
6.6	2.8	Virginica
9.2	2.0	Virginica
9.7	2.1	Virginica
5.3	1.8	Versicolor
6.5	6.5	Virginica
9.6	1.9	Virginica
7.3	4.6	Versicolor
5.9	4.5	Versicolor
8.4	6.8	Virginica
3.4	4.2	Setosa
10.9	2.5	Virginica
3.2	2.0	Setosa
6.1	0.4	Setosa
3.0	1.1	Versicolor
9.9	6.1	Virginica
2.0	2.7	Setosa
4.7	0.7	Setosa
6.0	2.4	Setosa
5.6	4.4	Versicolor
8.1	2.6	Versicolor
8.7	4.5	Virginica
3.5	3.2	Setosa
4.5	1.6	Setosa
5.4	2.9	Setosa
7.8	5.8	Versicolor
7.5	1.8	Versicolor
1.6	0.7	Setosa
1.9	3.8	Setosa
1.4	0.2	Setosa
1.0	2.2	Setosa
7.1	5.6	Virginica
6.0	1.6	Setosa
9.6	5.4	Virginica
5.5	2.3	Versicolor
8.8	3.1	Virginica
8.4	2.4	Versicolor
7.6	6.3	Virginica
7.5	1.5	Versicolor
8.0	2.0	Versicolor
6.0	5.5	Versicolor
5.5	0.9	Setosa
3.2	3.7	Setosa
6.0	3.5	Virginica
8.1	5.5	Virginica
8.5	4.6	Versicolor
6.0	3.1	Virginica
1.3	1.8	Setosa
7.0	1.0	Versicolor
8.6	4.8	Versicolor
1.5	4.3	Setosa
5.9	5.0	Versicolor
5.8	3.2	Virginica
5.8	2.0	Versicolor
3.5	3.2	Setosa
8.0	1.8	Virginica
3.6	4.3	Versicolor
4.9	1.6	Versicolor
8.2	5.3	Versicolor
