sepal.length	variety
7.4	Virginica
7.9	Versicolor
4.9	Versicolor
10.9	Virginica
4.7	Setosa
9.4	Setosa
10.5	Versicolor
5.8	Virginica
4.8	Setosa
7.2	Versicolor
9.3	Virginica
6.5	Virginica
5.6	Versicolor
8.3	Setosa
12.2	Virginica
10.4	Virginica
6.5	Versicolor
5.6	Setosa
9.1	Virginica
9.3	Virginica
10.2	Versicolor
8.2	Versicolor
8.6	Setosa
7.8	Setosa
6.6	Versicolor
9.2	Virginica
6.8	Setosa
7.6	Versicolor
9.6	Virginica
7.3	Setosa
9.7	Setosa
7.1	Setosa
10.1	Virginica
7.9	Versicolor
7.7	Setosa
9.3	Versicolor
8.8	Setosa
8.9	Virginica
7.4	Virginica
9.2	Versicolor
6.5	Setosa
8.4	Setosa
10.4	Virginica
10.5	Versicolor
7.3	Virginica
6.1	Setosa
9.9	Setosa
6.8	Versicolor
7.7	Setosa
5.5	Versicolor
12.2	Virginica
5.0	Setosa
7.9	Virginica
5.0	Versicolor
7.6	Versicolor
9.0	Setosa
6.6	Versicolor
7.6	Virginica
8.8	Versicolor
9.1	Setosa
6.9	Setosa
6.2	Virginica
10.7	Virginica
7.1	Versicolor
9.4	Virginica
11.3	Virginica
7.5	Setosa
10.1	Versicolor
6.9	Setosa
7.5	Virginica
5.9	Virginica
5.4	Setosa
9.4	Setosa
8.5	Setosa
7.0	Setosa
10.2	Versicolor
9.8	Virginica
10.7	Virginica
10.8	Virginica
9.7	Virginica
8.4	Versicolor
6.4	Setosa
6.6	Setosa
5.6	Setosa
6.2	Versicolor
6.6	Versicolor
5.7	Virginica
10.8	Virginica
9.3	Versicolor
7.1	Versicolor
10.2	Virginica
8.7	Virginica
9.0	Virginica
6.3	Virginica
8.3	Versicolor
8.2	Versicolor
8.5	Virginica
5.5	Versicolor
8.1	Setosa
6.0	Virginica
9.2	Setosa
7.6	Setosa
8.4	Virginica
10.3	Virginica
8.7	Virginica
