petal.length	petal.width	variety
10.9	6.5	Virginica
2.7	4.4	Setosa
6.8	5.6	Versicolor
8.6	5.0	Versicolor
6.0	5.0	Versicolor
8.6	6.9	Virginica
1.4	4.3	Setosa
5.7	4.7	Setosa
4.0	1.7	Setosa
7.1	3.4	Virginica
8.0	2.5	Versicolor
9.6	5.9	Virginica
5.4	5.9	Versicolor
2.9	4.7	Setosa
1.4	4.2	Setosa
3.8	1.2	Setosa
6.0	5.2	Virginica
7.5	4.3	Versicolor
4.3	5.0	Versicolor
4.1	1.2	Setosa
4.9	2.8	Setosa
4.1	3.9	Setosa
9.0	1.3	Versicolor
9.5	5.0	Virginica
6.2	3.7	Setosa
8.3	4.3	Virginica
1.4	4.2	Setosa
4.0	1.2	Setosa
7.6	4.6	Virginica
5.1	5.6	Versicolor
7.1	4.5	Virginica
6.8	1.0	Versicolor
6.0	2.8	Versicolor
4.9	1.1	Setosa
7.5	2.7	Versicolor
2.4	1.3	Setosa
9.4	5.5	Versicolor
6.6	4.4	Virginica
6.3	5.4	Versicolor
8.0	6.0	Versicolor
10.1	6.2	Virginica
4.9	2.1	Setosa
9.0	3.1	Virginica
10.4	3.6	Virginica
5.5	2.9	Setosa
7.2	3.0	Versicolor
3.7	1.7	Setosa
7.2	1.2	Versicolor
8.1	4.8	Versicolor
3.0	0.2	Setosa
5.9	0.4	Setosa
8.8	4.3	Virginica
4.4	4.6	Versicolor
4.7	5.8	Versicolor
8.1	3.3	Virginica
5.6	1.5	Versicolor
8.2	4.7	Virginica
8.6	6.3	Virginica
5.9	2.2	Setosa
10.3	4.8	Virginica
8.0	1.7	Versicolor
6.0	1.8	Versicolor
2.0	0.1	Setosa
7.2	4.0	Versicolor
5.4	1.2	Setosa
4.5	4.0	Versicolor
7.9	5.8	Virginica
5.5	2.2	Setosa
3.0	1.2	Setosa
6.1	3.7	Setosa
4.3	3.8	Setosa
6.0	0.1	Setosa
2.8	4.9	Setosa
7.4	5.9	Versicolor
5.5	0.4	Setosa
7.6	6.5	Virginica
8.6	6.6	Virginica
7.4	5.8	Versicolor
6.4	3.5	Virginica
4.3	3.7	Setosa
9.1	6.3	Virginica
3.1	3.7	Setosa
5.8	3.2	Setosa
2.7	1.8	Setosa
9.1	2.8	Versicolor
6.4	3.0	Versicolor
4.9	5.8	Virginica
7.7	5.5	Versicolor
1.9	3.7	Setosa
6.1	1.4	Versicolor
4.5	4.3	Setosa
7.3	3.8	Versicolor
8.1	5.9	Virginica
9.0	2.8	Virginica
4.2	0.5	Setosa
4.4	2.7	Setosa
5.8	2.2	Virginica
3.5	1.1	Versicolor
7.7	5.8	Virginica
7.7	1.4	Versicolor
8.4	2.6	Virginica
6.0	4.0	Versicolor
5.5	4.9	Setosa
4.3	0.7	Setosa
1.5	4.2	Setosa
