sepal.width	petal.length	petal.width	variety
5.0	5.6	2.4	Versicolor
5.8	7.6	2.9	Virginica
6.2	5.3	3.9	Virginica
5.5	5.0	5.2	Virginica
4.9	3.4	4.7	Setosa
6.7	7.6	3.4	Virginica
7.2	9.9	5.8	Virginica
4.5	11.1	2.6	Virginica
3.9	8.8	3.8	Virginica
7.0	3.7	2.2	Setosa
5.0	1.9	4.8	Setosa
7.4	1.5	1.7	Setosa
7.4	5.9	2.7	Setosa
5.3	3.4	2.4	Setosa
6.5	8.0	6.2	Versicolor
8.4	4.8	3.4	Setosa
5.4	7.6	5.3	Virginica
8.1	6.6	5.5	Virginica
4.4	9.9	3.3	Virginica
4.3	6.6	5.7	Virginica
4.5	8.1	2.3	Virginica
6.3	5.0	3.8	Versicolor
6.8	3.4	0.7	Setosa
3.3	5.3	2.5	Versicolor
7.5	4.7	4.5	Versicolor
6.2	5.9	4.7	Versicolor
3.5	2.9	4.3	Setosa
4.6	4.7	5.0	Versicolor
7.0	4.9	1.7	Setosa
3.7	7.6	6.1	Versicolor
4.5	4.1	3.1	Setosa
5.0	9.3	2.1	Virginica
3.2	7.5	5.5	Versicolor
5.3	1.7	1.5	Setosa
7.8	9.7	6.0	Virginica
4.6	8.1	6.8	Virginica
3.7	5.8	6.8	Virginica
4.7	3.0	4.2	Setosa
6.6	6.0	4.2	Versicolor
5.6	1.4	3.1	Setosa
7.7	8.1	3.5	Virginica
4.7	5.9	4.7	Setosa
3.2	8.5	6.0	Virginica
6.5	5.7	4.7	Versicolor
2.7	6.1	3.4	Virginica
4.0	5.3	4.8	Setosa
5.8	3.1	0.7	Setosa
5.7	4.1	4.5	Versicolor
3.1	10.0	3.3	Virginica
3.1	10.1	5.4	Virginica
3.4	3.0	4.2	Setosa
4.4	5.7	4.9	Versicolor
6.0	8.1	5.8	Virginica
3.3	5.0	3.3	Versicolor
3.5	8.3	2.3	Virginica
6.1	5.4	6.0	Versicolor
7.8	2.2	3.8	Setosa
6.2	1.5	3.9	Setosa
6.3	7.1	5.4	Virginica
6.9	5.0	2.1	Versicolor
3.5	2.9	4.7	Setosa
6.2	5.3	2.7	Setosa
7.5	6.4	4.3	Virginica
5.4	4.3	2.8	Versicolor
4.0	7.5	4.0	Versicolor
6.9	4.4	3.3	Setosa
5.3	5.6	5.0	Versicolor
6.6	3.5	4.1	Setosa
4.2	2.1	4.7	Setosa
6.7	5.4	1.4	Versicolor
2.3	5.4	3.8	Versicolor
6.0	2.0	1.7	Setosa
4.8	8.5	4.5	Virginica
7.9	1.6	1.7	Setosa
3.0	9.5	4.0	Virginica
3.1	1.5	4.7	Setosa
5.8	5.2	5.7	Versicolor
3.1	9.1	4.4	Virginica
6.5	5.7	2.8	Virginica
3.4	7.8	5.6	Versicolor
7.2	1.7	0.7	Setosa
4.9	4.2	1.8	Versicolor
6.8	6.8	5.9	Versicolor
6.0	4.9	5.0	Versicolor
6.9	4.2	4.7	Setosa
6.5	5.0	4.0	Versicolor
4.9	5.6	5.8	Versicolor
3.5	5.8	1.7	Setosa
7.4	6.6	5.3	Versicolor
8.4	3.5	1.9	Setosa
3.4	7.5	3.5	Versicolor
4.8	9.4	3.0	Virginica
5.2	4.9	5.3	Virginica
3.5	1.6	3.6	Setosa
3.2	7.7	3.3	Versicolor
7.3	6.1	3.3	Versicolor
5.5	7.8	5.3	Virginica
4.1	4.5	5.0	Versicolor
6.3	4.0	3.3	Setosa
5.1	4.9	3.4	Versicolor
4.6	1.5	4.7	Setosa
5.6	1.5	4.7	Setosa
3.3	5.3	3.8	Virginica
5.5	3.6	1.2	Setosa
3.7	10.5	5.3	Virginica
